Pallet: "pallet_balances", Extrinsic: "transfer", Lowest values: [], Highest values: [], Steps: 50, Repeat: 200
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
51800,1749,0,0,0,0,0
46720,1790,0,0,0,0,0
57490,1480,0,0,0,0,0
45809,1490,0,0,0,0,0
45760,1510,0,0,0,0,0
45860,1470,0,0,0,0,0
46419,2010,0,0,0,0,0
56960,1510,0,0,0,0,0
45809,1490,0,0,0,0,0
46210,1500,0,0,0,0,0
45939,1450,0,0,0,0,0
45700,1450,0,0,0,0,0
45820,1510,0,0,0,0,0
46229,1420,0,0,0,0,0
45810,1470,0,0,0,0,0
45729,1490,0,0,0,0,0
45350,1470,0,0,0,0,0
45860,1460,0,0,0,0,0
50879,1500,0,0,0,0,0
45590,1440,0,0,0,0,0
45349,1460,0,0,0,0,0
45640,1480,0,0,0,0,0
45350,1480,0,0,0,0,0
45529,1520,0,0,0,0,0
45850,1500,0,0,0,0,0
45610,1490,0,0,0,0,0
45649,1510,0,0,0,0,0
45390,1460,0,0,0,0,0
45589,1430,0,0,0,0,0
45850,1480,0,0,0,0,0
51630,1550,0,0,0,0,0
45829,1490,0,0,0,0,0
45590,1480,0,0,0,0,0
45399,1500,0,0,0,0,0
45760,1500,0,0,0,0,0
45240,1460,0,0,0,0,0
45359,1400,0,0,0,0,0
45560,1520,0,0,0,0,0
45599,1530,0,0,0,0,0
45220,1490,0,0,0,0,0
45790,1500,0,0,0,0,0
45949,1480,0,0,0,0,0
45660,1480,0,0,0,0,0
45480,1500,0,0,0,0,0
45749,1530,0,0,0,0,0
45780,1500,0,0,0,0,0
45299,1500,0,0,0,0,0
45840,1520,0,0,0,0,0
45990,1490,0,0,0,0,0
45499,1430,0,0,0,0,0
46340,1470,0,0,0,0,0
46059,1420,0,0,0,0,0
45830,1450,0,0,0,0,0
45720,1540,0,0,0,0,0
50889,1480,0,0,0,0,0
46360,1470,0,0,0,0,0
45409,1470,0,0,0,0,0
45830,1520,0,0,0,0,0
45120,1510,0,0,0,0,0
45619,1440,0,0,0,0,0
45700,1510,0,0,0,0,0
45540,1470,0,0,0,0,0
45739,1460,0,0,0,0,0
45430,1480,0,0,0,0,0
45569,1520,0,0,0,0,0
45820,1510,0,0,0,0,0
45700,1490,0,0,0,0,0
45519,1470,0,0,0,0,0
45330,1560,0,0,0,0,0
45649,1480,0,0,0,0,0
45540,1410,0,0,0,0,0
45320,1470,0,0,0,0,0
45319,1420,0,0,0,0,0
45530,1429,0,0,0,0,0
45620,1500,0,0,0,0,0
45579,1530,0,0,0,0,0
45670,1550,0,0,0,0,0
45639,1560,0,0,0,0,0
46620,1540,0,0,0,0,0
45590,1470,0,0,0,0,0
45509,1490,0,0,0,0,0
45660,1490,0,0,0,0,0
45579,1500,0,0,0,0,0
45839,1520,0,0,0,0,0
45660,1490,0,0,0,0,0
45589,1500,0,0,0,0,0
45450,1510,0,0,0,0,0
45500,1460,0,0,0,0,0
45599,1480,0,0,0,0,0
45760,1520,0,0,0,0,0
45540,1500,0,0,0,0,0
45559,1470,0,0,0,0,0
45830,1500,0,0,0,0,0
45510,1470,0,0,0,0,0
45249,1540,0,0,0,0,0
45720,1470,0,0,0,0,0
45870,1520,0,0,0,0,0
45569,1520,0,0,0,0,0
45520,1550,0,0,0,0,0
45989,1510,0,0,0,0,0
45750,1530,0,0,0,0,0
45690,1490,0,0,0,0,0
45849,1560,0,0,0,0,0
45630,1479,0,0,0,0,0
45820,1490,0,0,0,0,0
45849,1490,0,0,0,0,0
45700,1500,0,0,0,0,0
45599,1450,0,0,0,0,0
45490,1470,0,0,0,0,0
45390,1500,0,0,0,0,0
45429,1510,0,0,0,0,0
45850,1500,0,0,0,0,0
45379,1460,0,0,0,0,0
45790,1470,0,0,0,0,0
45490,1490,0,0,0,0,0
45179,1540,0,0,0,0,0
45540,1480,0,0,0,0,0
45480,1440,0,0,0,0,0
45359,1460,0,0,0,0,0
45990,1470,0,0,0,0,0
45449,1500,0,0,0,0,0
45670,1490,0,0,0,0,0
45440,1500,0,0,0,0,0
45639,1440,0,0,0,0,0
45460,1480,0,0,0,0,0
45490,1450,0,0,0,0,0
46060,1610,0,0,0,0,0
45750,1460,0,0,0,0,0
46029,1490,0,0,0,0,0
45670,1390,0,0,0,0,0
45159,1480,0,0,0,0,0
45650,1410,0,0,0,0,0
45410,1460,0,0,0,0,0
45619,1430,0,0,0,0,0
45290,1520,0,0,0,0,0
45890,1500,0,0,0,0,0
45459,1520,0,0,0,0,0
46070,1510,0,0,0,0,0
45579,1360,0,0,0,0,0
45660,1360,0,0,0,0,0
45250,1470,0,0,0,0,0
45389,1500,0,0,0,0,0
45300,1480,0,0,0,0,0
45750,1480,0,0,0,0,0
45669,1400,0,0,0,0,0
46090,1470,0,0,0,0,0
45859,1410,0,0,0,0,0
45790,1450,0,0,0,0,0
45550,1480,0,0,0,0,0
45629,6420,0,0,0,0,0
45550,1510,0,0,0,0,0
45759,1450,0,0,0,0,0
45320,1440,0,0,0,0,0
45750,1470,0,0,0,0,0
45349,1530,0,0,0,0,0
45160,1610,0,0,0,0,0
45760,1490,0,0,0,0,0
45469,1460,0,0,0,0,0
45730,1470,0,0,0,0,0
45420,1480,0,0,0,0,0
45319,1430,0,0,0,0,0
45290,1490,0,0,0,0,0
45420,1490,0,0,0,0,0
45519,1460,0,0,0,0,0
45170,1430,0,0,0,0,0
45590,1370,0,0,0,0,0
45069,1490,0,0,0,0,0
46240,1449,0,0,0,0,0
45780,1520,0,0,0,0,0
45519,1480,0,0,0,0,0
45470,1480,0,0,0,0,0
45629,1460,0,0,0,0,0
45499,1470,0,0,0,0,0
45710,1480,0,0,0,0,0
45509,1550,0,0,0,0,0
46100,1430,0,0,0,0,0
45910,1350,0,0,0,0,0
45519,1470,0,0,0,0,0
45510,1470,0,0,0,0,0
45459,1510,0,0,0,0,0
44890,1420,0,0,0,0,0
45510,1450,0,0,0,0,0
45809,1410,0,0,0,0,0
45520,1430,0,0,0,0,0
45340,1450,0,0,0,0,0
45309,1490,0,0,0,0,0
45390,1430,0,0,0,0,0
45609,1440,0,0,0,0,0
45430,1460,0,0,0,0,0
45700,1540,0,0,0,0,0
45189,1450,0,0,0,0,0
45610,1500,0,0,0,0,0
45830,1520,0,0,0,0,0
45669,1460,0,0,0,0,0
45450,1410,0,0,0,0,0
45649,1400,0,0,0,0,0
45490,1400,0,0,0,0,0
45370,1470,0,0,0,0,0
45939,1450,0,0,0,0,0
45650,1450,0,0,0,0,0

Raw Storage Info
========
Storage: System Account (r:1 w:1)

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    45.61
              µs

Reads = 1
Writes = 1

Min Squares Analysis
========
