Pallet: "pallet_balances", Extrinsic: "transfer", Lowest values: [], Highest values: [], Steps: 50, Repeat: 200
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
78000,2340,0,0,0,0,0
72190,2110,0,0,0,0,0
70900,2020,0,0,0,0,0
71059,2100,0,0,0,0,0
71059,2090,0,0,0,0,0
71169,1990,0,0,0,0,0
71190,2050,0,0,0,0,0
71220,2010,0,0,0,0,0
71179,2050,0,0,0,0,0
71699,2020,0,0,0,0,0
71509,2040,0,0,0,0,0
71560,1970,0,0,0,0,0
71220,2040,0,0,0,0,0
71149,1910,0,0,0,0,0
71929,2030,0,0,0,0,0
78049,2060,0,0,0,0,0
71229,2050,0,0,0,0,0
70830,2030,0,0,0,0,0
70880,1970,0,0,0,0,0
76289,1990,0,0,0,0,0
72079,2040,0,0,0,0,0
70649,1970,0,0,0,0,0
71450,2020,0,0,0,0,0
71080,2020,0,0,0,0,0
70469,2000,0,0,0,0,0
71529,1980,0,0,0,0,0
70980,2020,0,0,0,0,0
70670,1980,0,0,0,0,0
70299,1910,0,0,0,0,0
71989,1960,0,0,0,0,0
70789,1980,0,0,0,0,0
70710,1990,0,0,0,0,0
70719,2010,0,0,0,0,0
76379,2000,0,0,0,0,0
71109,2040,0,0,0,0,0
70639,2050,0,0,0,0,0
71020,2010,0,0,0,0,0
70810,2060,0,0,0,0,0
70929,2030,0,0,0,0,0
70739,2020,0,0,0,0,0
71009,2040,0,0,0,0,0
70900,1980,0,0,0,0,0
70830,2000,0,0,0,0,0
70949,1999,0,0,0,0,0
70929,2040,0,0,0,0,0
71059,1990,0,0,0,0,0
70800,2260,0,0,0,0,0
70480,2010,0,0,0,0,0
70559,2090,0,0,0,0,0
70959,1980,0,0,0,0,0
70499,2000,0,0,0,0,0
82889,2040,0,0,0,0,0
70340,2010,0,0,0,0,0
70690,1990,0,0,0,0,0
71149,2000,0,0,0,0,0
70919,2550,0,0,0,0,0
70309,2050,0,0,0,0,0
70670,2120,0,0,0,0,0
70590,2100,0,0,0,0,0
70380,2100,0,0,0,0,0
70089,2060,0,0,0,0,0
70909,2050,0,0,0,0,0
70609,2070,0,0,0,0,0
70560,2010,0,0,0,0,0
70680,2070,0,0,0,0,0
70739,1980,0,0,0,0,0
