Pallet: "pallet_balances", Extrinsic: "transfer", Lowest values: [], Highest values: [], Steps: 50, Repeat: 200
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
55440,1900,0,0,0,0,0
50669,1630,0,0,0,0,0
49550,1600,0,0,0,0,0
50220,1500,0,0,0,0,0
50200,1580,0,0,0,0,0
49980,1610,0,0,0,0,0
49539,1510,0,0,0,0,0
50090,1570,0,0,0,0,0
50409,1600,0,0,0,0,0
49870,1510,0,0,0,0,0
49399,1550,0,0,0,0,0
49620,1580,0,0,0,0,0
49549,1610,0,0,0,0,0
49700,1580,0,0,0,0,0
50089,1630,0,0,0,0,0
50200,1700,0,0,0,0,0
49699,1590,0,0,0,0,0
50140,1700,0,0,0,0,0
49279,1590,0,0,0,0,0
49920,1520,0,0,0,0,0
49749,1550,0,0,0,0,0
49980,1670,0,0,0,0,0
49779,1680,0,0,0,0,0
49520,1610,0,0,0,0,0
49539,1580,0,0,0,0,0
49600,1590,0,0,0,0,0
49489,1590,0,0,0,0,0
49720,1590,0,0,0,0,0
50169,1620,0,0,0,0,0
49370,1570,0,0,0,0,0
49859,1580,0,0,0,0,0
49390,1560,0,0,0,0,0
49479,1640,0,0,0,0,0
50160,1520,0,0,0,0,0
49649,1660,0,0,0,0,0
49380,1610,0,0,0,0,0
49879,1590,0,0,0,0,0
49320,1670,0,0,0,0,0
50049,1630,0,0,0,0,0
50100,1580,0,0,0,0,0
49889,1600,0,0,0,0,0
50220,1640,0,0,0,0,0
50079,1600,0,0,0,0,0
49640,1580,0,0,0,0,0
50419,1550,0,0,0,0,0
49360,1650,0,0,0,0,0
49209,1530,0,0,0,0,0
49480,1580,0,0,0,0,0
49109,1600,0,0,0,0,0
49630,1550,0,0,0,0,0
49330,1570,0,0,0,0,0
49900,1580,0,0,0,0,0
49590,1570,0,0,0,0,0
49279,1560,0,0,0,0,0
49510,1550,0,0,0,0,0
50029,1640,0,0,0,0,0
49660,1580,0,0,0,0,0
49539,1600,0,0,0,0,0
49380,1580,0,0,0,0,0
49469,1610,0,0,0,0,0
49520,1610,0,0,0,0,0
