Pallet: "pallet_balances", Extrinsic: "transfer", Lowest values: [], Highest values: [], Steps: 50, Repeat: 200
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
75369,2390,0,0,0,0,0
83949,2180,0,0,0,0,0
70279,2020,0,0,0,0,0
69640,2020,0,0,0,0,0
69860,2000,0,0,0,0,0
69929,1970,0,0,0,0,0
69839,1980,0,0,0,0,0
70329,1950,0,0,0,0,0
70169,2080,0,0,0,0,0
69840,2030,0,0,0,0,0
69800,2020,0,0,0,0,0
69790,1990,0,0,0,0,0
69909,2040,0,0,0,0,0
69889,2010,0,0,0,0,0
69469,1960,0,0,0,0,0
69470,2000,0,0,0,0,0
70130,1990,0,0,0,0,0
69639,1940,0,0,0,0,0
68909,1970,0,0,0,0,0
69599,8770,0,0,0,0,0
70169,1970,0,0,0,0,0
69420,2050,0,0,0,0,0
74840,1880,0,0,0,0,0
70280,1990,0,0,0,0,0
69789,1930,0,0,0,0,0
69569,1950,0,0,0,0,0
70029,1980,0,0,0,0,0
69840,1950,0,0,0,0,0
69950,1980,0,0,0,0,0
69650,1960,0,0,0,0,0
69769,2030,0,0,0,0,0
72239,1940,0,0,0,0,0
69519,2010,0,0,0,0,0
69539,2070,0,0,0,0,0
69540,2020,0,0,0,0,0
70160,2030,0,0,0,0,0
70009,2080,0,0,0,0,0
69889,2110,0,0,0,0,0
70669,2050,0,0,0,0,0
70409,1950,0,0,0,0,0
69460,2080,0,0,0,0,0
69850,1980,0,0,0,0,0
69320,1920,0,0,0,0,0
69789,2020,0,0,0,0,0
69649,2010,0,0,0,0,0
69999,1950,0,0,0,0,0
69649,2030,0,0,0,0,0
69830,2000,0,0,0,0,0
69690,2020,0,0,0,0,0
70149,1970,0,0,0,0,0
69889,2000,0,0,0,0,0
70199,2040,0,0,0,0,0
69819,1950,0,0,0,0,0
69770,2060,0,0,0,0,0
69700,2070,0,0,0,0,0
69749,2010,0,0,0,0,0
69229,2120,0,0,0,0,0
70059,2040,0,0,0,0,0
69229,2550,0,0,0,0,0
81519,1970,0,0,0,0,0
69969,2070,0,0,0,0,0
70190,2000,0,0,0,0,0
70260,2110,0,0,0,0,0
70040,2030,0,0,0,0,0
70599,2040,0,0,0,0,0
70549,1990,0,0,0,0,0
69929,2110,0,0,0,0,0
70049,2140,0,0,0,0,0
70360,2020,0,0,0,0,0
69940,1990,0,0,0,0,0
70409,1990,0,0,0,0,0
70189,2020,0,0,0,0,0
70019,2100,0,0,0,0,0
70079,2010,0,0,0,0,0
70110,2160,0,0,0,0,0
70460,2100,0,0,0,0,0
70260,1990,0,0,0,0,0
69859,2019,0,0,0,0,0
70179,2020,0,0,0,0,0
70189,2000,0,0,0,0,0
70629,2030,0,0,0,0,0
70060,1950,0,0,0,0,0
