Pallet: "pallet_balances", Extrinsic: "transfer", Lowest values: [], Highest values: [], Steps: 50, Repeat: 200
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
53370,1870,0,0,0,0,0
48039,1580,0,0,0,0,0
47350,1490,0,0,0,0,0
47059,1610,0,0,0,0,0
47260,1600,0,0,0,0,0
46859,1540,0,0,0,0,0
46300,1590,0,0,0,0,0
47030,1590,0,0,0,0,0
46749,1610,0,0,0,0,0
47020,1580,0,0,0,0,0
46629,1570,0,0,0,0,0
47100,1610,0,0,0,0,0
47429,1570,0,0,0,0,0
47410,1590,0,0,0,0,0
46819,1560,0,0,0,0,0
48790,1610,0,0,0,0,0
48159,1540,0,0,0,0,0
47320,1600,0,0,0,0,0
46900,1510,0,0,0,0,0
46880,1550,0,0,0,0,0
46740,1560,0,0,0,0,0
47049,1560,0,0,0,0,0
46970,1480,0,0,0,0,0
46329,1580,0,0,0,0,0
47260,1580,0,0,0,0,0
46909,1600,0,0,0,0,0
47120,1570,0,0,0,0,0
47230,1580,0,0,0,0,0
47060,1470,0,0,0,0,0
47040,1490,0,0,0,0,0
47099,1530,0,0,0,0,0
46520,1500,0,0,0,0,0
46889,1530,0,0,0,0,0
46690,1490,0,0,0,0,0
46509,1570,0,0,0,0,0
46810,1480,0,0,0,0,0
46950,1520,0,0,0,0,0
46759,1490,0,0,0,0,0
47520,1680,0,0,0,0,0
46739,1550,0,0,0,0,0
46880,1530,0,0,0,0,0
47319,1910,0,0,0,0,0
46600,1480,0,0,0,0,0
46519,1460,0,0,0,0,0
46340,1549,0,0,0,0,0
46699,1540,0,0,0,0,0
46480,1580,0,0,0,0,0
46490,1510,0,0,0,0,0
46459,1510,0,0,0,0,0
46260,1520,0,0,0,0,0
46639,1530,0,0,0,0,0
46650,1560,0,0,0,0,0
46740,1560,0,0,0,0,0
46740,1540,0,0,0,0,0
46800,1500,0,0,0,0,0
46859,1530,0,0,0,0,0
46510,1540,0,0,0,0,0
47009,1490,0,0,0,0,0
46600,1570,0,0,0,0,0
49279,1540,0,0,0,0,0
46680,1530,0,0,0,0,0
47110,1500,0,0,0,0,0
47300,1520,0,0,0,0,0
46830,1530,0,0,0,0,0
46839,1570,0,0,0,0,0
47000,1550,0,0,0,0,0
46849,1510,0,0,0,0,0
46650,1530,0,0,0,0,0
46969,1530,0,0,0,0,0
47280,1550,0,0,0,0,0
46710,1530,0,0,0,0,0
47010,1540,0,0,0,0,0
46770,1560,0,0,0,0,0
46719,1530,0,0,0,0,0
46640,1510,0,0,0,0,0
46889,1530,0,0,0,0,0
46210,1510,0,0,0,0,0
46179,1530,0,0,0,0,0
46760,1520,0,0,0,0,0
46770,1520,0,0,0,0,0
46459,1550,0,0,0,0,0
47190,1480,0,0,0,0,0
47649,1600,0,0,0,0,0
47360,1550,0,0,0,0,0
47239,1580,0,0,0,0,0
46930,1650,0,0,0,0,0
47689,1580,0,0,0,0,0
47490,1470,0,0,0,0,0
47790,1660,0,0,0,0,0
47619,1530,0,0,0,0,0
46620,1530,0,0,0,0,0
46469,1500,0,0,0,0,0
47330,1590,0,0,0,0,0
46459,1600,0,0,0,0,0
51440,1530,0,0,0,0,0
46969,1530,0,0,0,0,0
46570,1480,0,0,0,0,0
46360,1500,0,0,0,0,0
46639,1480,0,0,0,0,0
46470,1570,0,0,0,0,0
46609,1530,0,0,0,0,0
46860,1520,0,0,0,0,0
46199,1560,0,0,0,0,0
46360,1570,0,0,0,0,0
46940,1540,0,0,0,0,0
46899,1550,0,0,0,0,0
46330,1500,0,0,0,0,0
46209,1520,0,0,0,0,0
47150,1510,0,0,0,0,0
47839,1610,0,0,0,0,0
46730,1550,0,0,0,0,0
46229,1550,0,0,0,0,0
46200,1510,0,0,0,0,0
46250,1530,0,0,0,0,0
46419,1500,0,0,0,0,0
46870,1500,0,0,0,0,0
47069,1500,0,0,0,0,0
46350,1480,0,0,0,0,0
46509,1470,0,0,0,0,0
46520,1470,0,0,0,0,0
46609,1490,0,0,0,0,0
46850,1490,0,0,0,0,0
46730,1480,0,0,0,0,0
46649,1530,0,0,0,0,0
47010,1560,0,0,0,0,0
47669,1600,0,0,0,0,0
47150,1610,0,0,0,0,0
47169,1530,0,0,0,0,0
46620,1559,0,0,0,0,0
46599,1570,0,0,0,0,0
46040,1520,0,0,0,0,0
47360,1500,0,0,0,0,0
47009,1600,0,0,0,0,0
47330,1490,0,0,0,0,0
46729,1530,0,0,0,0,0
46560,1530,0,0,0,0,0
47229,1510,0,0,0,0,0
47020,1570,0,0,0,0,0
46759,1530,0,0,0,0,0
46230,1550,0,0,0,0,0
46720,1480,0,0,0,0,0
47120,1560,0,0,0,0,0
46990,1540,0,0,0,0,0
47259,1540,0,0,0,0,0
46430,1530,0,0,0,0,0
47009,1520,0,0,0,0,0
46190,1540,0,0,0,0,0
46829,1570,0,0,0,0,0
47420,1530,0,0,0,0,0
46910,1580,0,0,0,0,0
46639,1600,0,0,0,0,0
47250,1500,0,0,0,0,0
46189,1590,0,0,0,0,0
46830,1510,0,0,0,0,0
46659,1540,0,0,0,0,0
46670,1540,0,0,0,0,0
46929,1520,0,0,0,0,0
46240,1590,0,0,0,0,0
46740,1510,0,0,0,0,0
46579,1510,0,0,0,0,0
46140,1520,0,0,0,0,0
46749,1480,0,0,0,0,0
46910,1500,0,0,0,0,0
47099,1590,0,0,0,0,0
46480,1500,0,0,0,0,0
46800,1550,0,0,0,0,0
46280,1510,0,0,0,0,0
46440,1510,0,0,0,0,0
46229,1560,0,0,0,0,0
46850,1540,0,0,0,0,0
46619,1540,0,0,0,0,0
46830,1550,0,0,0,0,0
46590,1500,0,0,0,0,0
46470,1540,0,0,0,0,0
46360,1530,0,0,0,0,0
46359,1520,0,0,0,0,0
46560,1550,0,0,0,0,0
47179,1560,0,0,0,0,0
46970,1539,0,0,0,0,0
47109,1640,0,0,0,0,0
46940,1510,0,0,0,0,0
46300,1550,0,0,0,0,0
47100,1550,0,0,0,0,0
47000,1530,0,0,0,0,0
46359,1480,0,0,0,0,0
46990,1520,0,0,0,0,0
46559,1510,0,0,0,0,0
46590,1579,0,0,0,0,0
46679,1580,0,0,0,0,0
46440,1570,0,0,0,0,0
46370,1500,0,0,0,0,0
46529,1580,0,0,0,0,0
46740,1530,0,0,0,0,0
46629,1580,0,0,0,0,0
47350,1510,0,0,0,0,0
48039,1520,0,0,0,0,0
47190,1560,0,0,0,0,0
47000,1560,0,0,0,0,0
46830,1610,0,0,0,0,0
47480,1560,0,0,0,0,0

Raw Storage Info
========
Storage: System Account (r:1 w:1)

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    46.81
              µs

Reads = 1
Writes = 1

Min Squares Analysis
========
-- Extrinsic Time --

Model:
Time ~=    46.81
              µs

Reads = 1
Writes = 1

Pallet: "pallet_balances", Extrinsic: "transfer_keep_alive", Lowest values: [], Highest values: [], Steps: 50, Repeat: 200
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
40479,1760,0,0,0,0,0
36520,1550,0,0,0,0,0
36000,1530,0,0,0,0,0
36049,1550,0,0,0,0,0
35680,1510,0,0,0,0,0
36010,1490,0,0,0,0,0
35700,1500,0,0,0,0,0
35589,1480,0,0,0,0,0
35670,1480,0,0,0,0,0
35620,1520,0,0,0,0,0
35900,1520,0,0,0,0,0
35589,1580,0,0,0,0,0
35530,1490,0,0,0,0,0
35700,1510,0,0,0,0,0
36180,1470,0,0,0,0,0
35509,1490,0,0,0,0,0
35740,1530,0,0,0,0,0
35700,1490,0,0,0,0,0
35630,1590,0,0,0,0,0
35449,1510,0,0,0,0,0
36020,1510,0,0,0,0,0
35790,1490,0,0,0,0,0
35960,1520,0,0,0,0,0
36379,1600,0,0,0,0,0
35710,1530,0,0,0,0,0
35710,1530,0,0,0,0,0
40909,1880,0,0,0,0,0
38220,1490,0,0,0,0,0
35460,1480,0,0,0,0,0
35689,1510,0,0,0,0,0
35489,1490,0,0,0,0,0
35400,1500,0,0,0,0,0
35860,1510,0,0,0,0,0
36419,1520,0,0,0,0,0
36040,1450,0,0,0,0,0
35500,1490,0,0,0,0,0
35840,1530,0,0,0,0,0
35679,1500,0,0,0,0,0
35830,1500,0,0,0,0,0
35890,1470,0,0,0,0,0
35900,1480,0,0,0,0,0
35759,1490,0,0,0,0,0
35280,1520,0,0,0,0,0
35840,1469,0,0,0,0,0
35790,1480,0,0,0,0,0
35359,1470,0,0,0,0,0
35610,1490,0,0,0,0,0
35800,1520,0,0,0,0,0
35320,1410,0,0,0,0,0
35849,1530,0,0,0,0,0
35790,1500,0,0,0,0,0
35590,1480,0,0,0,0,0
35690,1600,0,0,0,0,0
35429,1490,0,0,0,0,0
35370,1490,0,0,0,0,0
35660,1460,0,0,0,0,0
35650,1500,0,0,0,0,0
35639,1490,0,0,0,0,0
35390,1500,0,0,0,0,0
35690,1490,0,0,0,0,0
35630,1580,0,0,0,0,0
35449,1500,0,0,0,0,0
36459,1520,0,0,0,0,0
36500,1500,0,0,0,0,0
36020,1500,0,0,0,0,0
35629,1540,0,0,0,0,0
36850,1550,0,0,0,0,0
36610,1550,0,0,0,0,0
35740,1490,0,0,0,0,0
35609,1510,0,0,0,0,0
35970,1460,0,0,0,0,0
35360,1509,0,0,0,0,0
35750,1480,0,0,0,0,0
35609,1510,0,0,0,0,0
35830,1480,0,0,0,0,0
35760,1449,0,0,0,0,0
36230,1510,0,0,0,0,0
35759,1480,0,0,0,0,0
35900,1540,0,0,0,0,0
35670,1470,0,0,0,0,0
35769,1490,0,0,0,0,0
35419,1470,0,0,0,0,0
35610,1600,0,0,0,0,0
35730,1520,0,0,0,0,0
35700,1500,0,0,0,0,0
35339,1480,0,0,0,0,0
35670,1490,0,0,0,0,0
35570,1560,0,0,0,0,0
36010,1470,0,0,0,0,0
36319,1460,0,0,0,0,0
35690,1460,0,0,0,0,0
35370,1500,0,0,0,0,0
35800,1490,0,0,0,0,0
35609,1470,0,0,0,0,0
34960,1510,0,0,0,0,0
35700,1500,0,0,0,0,0
35790,1460,0,0,0,0,0
35909,1470,0,0,0,0,0
35920,1450,0,0,0,0,0
36000,1530,0,0,0,0,0
35490,1480,0,0,0,0,0
35439,1480,0,0,0,0,0
35330,1470,0,0,0,0,0
35390,1450,0,0,0,0,0
36340,1540,0,0,0,0,0
35769,1500,0,0,0,0,0
35650,1470,0,0,0,0,0
36240,1430,0,0,0,0,0
35840,1480,0,0,0,0,0
35779,1480,0,0,0,0,0
35899,1460,0,0,0,0,0
35580,1510,0,0,0,0,0
35720,1490,0,0,0,0,0
35750,1470,0,0,0,0,0
35839,1480,0,0,0,0,0
35540,1450,0,0,0,0,0
35320,1480,0,0,0,0,0
35440,1490,0,0,0,0,0
35470,1470,0,0,0,0,0
35429,1470,0,0,0,0,0
35230,1480,0,0,0,0,0
35520,1490,0,0,0,0,0
35880,1480,0,0,0,0,0
35239,1470,0,0,0,0,0
35589,1510,0,0,0,0,0
35970,1520,0,0,0,0,0
35370,1520,0,0,0,0,0
35710,1490,0,0,0,0,0
35949,1490,0,0,0,0,0
35380,1550,0,0,0,0,0
35690,1450,0,0,0,0,0
42290,1510,0,0,0,0,0
35489,1480,0,0,0,0,0
34840,1490,0,0,0,0,0
35550,1500,0,0,0,0,0
38330,1490,0,0,0,0,0
35549,1490,0,0,0,0,0
35780,1480,0,0,0,0,0
35640,1450,0,0,0,0,0
35680,1510,0,0,0,0,0
35609,1480,0,0,0,0,0
38019,1480,0,0,0,0,0
35370,1470,0,0,0,0,0
35880,1510,0,0,0,0,0
35429,1480,0,0,0,0,0
35549,1490,0,0,0,0,0
35290,1450,0,0,0,0,0
35180,1450,0,0,0,0,0
35420,1520,0,0,0,0,0
35379,1490,0,0,0,0,0
35630,1480,0,0,0,0,0
34960,1480,0,0,0,0,0
35580,1530,0,0,0,0,0
35209,1510,0,0,0,0,0
35210,1490,0,0,0,0,0
35380,1550,0,0,0,0,0
35670,1480,0,0,0,0,0
35469,1500,0,0,0,0,0
35539,1600,0,0,0,0,0
35270,1530,0,0,0,0,0
35280,1500,0,0,0,0,0
35419,1490,0,0,0,0,0
39459,1480,0,0,0,0,0
35380,1470,0,0,0,0,0
35630,1490,0,0,0,0,0
35730,1490,0,0,0,0,0
35569,1480,0,0,0,0,0
35320,1450,0,0,0,0,0
35300,1479,0,0,0,0,0
35180,1530,0,0,0,0,0
35569,1450,0,0,0,0,0
35550,1470,0,0,0,0,0
35430,1460,0,0,0,0,0
35340,1480,0,0,0,0,0
34649,1490,0,0,0,0,0
35090,1500,0,0,0,0,0
36220,1510,0,0,0,0,0
36300,1480,0,0,0,0,0
35499,1500,0,0,0,0,0
35450,1500,0,0,0,0,0
35890,1540,0,0,0,0,0
35240,1470,0,0,0,0,0
35499,1490,0,0,0,0,0
35609,1540,0,0,0,0,0
35300,1450,0,0,0,0,0
35570,1520,0,0,0,0,0
36489,1570,0,0,0,0,0
35230,1490,0,0,0,0,0
35310,1480,0,0,0,0,0
35760,1460,0,0,0,0,0
35259,1490,0,0,0,0,0
35599,1490,0,0,0,0,0
35200,1480,0,0,0,0,0
35230,1500,0,0,0,0,0
35350,1450,0,0,0,0,0
35409,1470,0,0,0,0,0
35690,1490,0,0,0,0,0
35690,1439,0,0,0,0,0
35670,1510,0,0,0,0,0
35319,1500,0,0,0,0,0

Raw Storage Info
========
Storage: System Account (r:1 w:1)

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    35.64
              µs

Reads = 1
Writes = 1

Min Squares Analysis
========
-- Extrinsic Time --

Model:
Time ~=    35.64
              µs

Reads = 1
Writes = 1

Pallet: "pallet_balances", Extrinsic: "set_balance_creating", Lowest values: [], Highest values: [], Steps: 50, Repeat: 200
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
25920,1750,0,0,0,0,0
22510,1590,0,0,0,0,0
22000,1490,0,0,0,0,0
22370,1490,0,0,0,0,0
22219,1490,0,0,0,0,0
22290,1500,0,0,0,0,0
22230,1480,0,0,0,0,0
21880,1520,0,0,0,0,0
21940,1440,0,0,0,0,0
21970,1450,0,0,0,0,0
21970,1470,0,0,0,0,0
21769,1490,0,0,0,0,0
22460,1600,0,0,0,0,0
22030,1470,0,0,0,0,0
22220,1430,0,0,0,0,0
21850,1470,0,0,0,0,0
21940,1460,0,0,0,0,0
21989,1440,0,0,0,0,0
22039,1460,0,0,0,0,0
22040,1430,0,0,0,0,0
21600,1490,0,0,0,0,0
21820,1450,0,0,0,0,0
21960,1440,0,0,0,0,0
21820,1480,0,0,0,0,0
21759,1550,0,0,0,0,0
22350,1500,0,0,0,0,0
22680,1490,0,0,0,0,0
21890,1450,0,0,0,0,0
21940,1440,0,0,0,0,0
21950,1450,0,0,0,0,0
21650,1470,0,0,0,0,0
22069,1480,0,0,0,0,0
21830,1520,0,0,0,0,0
22170,1510,0,0,0,0,0
21870,1520,0,0,0,0,0
22190,1540,0,0,0,0,0
21980,1490,0,0,0,0,0
22070,1480,0,0,0,0,0
22159,1450,0,0,0,0,0
21750,1480,0,0,0,0,0
22400,1490,0,0,0,0,0
22010,1500,0,0,0,0,0
21900,1440,0,0,0,0,0
22120,1460,0,0,0,0,0
22530,1450,0,0,0,0,0
22190,1530,0,0,0,0,0
21879,1470,0,0,0,0,0
22130,1450,0,0,0,0,0
22290,1450,0,0,0,0,0
22260,1500,0,0,0,0,0
21880,1500,0,0,0,0,0
21960,1450,0,0,0,0,0
21800,1410,0,0,0,0,0
21599,1440,0,0,0,0,0
22300,1540,0,0,0,0,0
22930,1660,0,0,0,0,0
22100,1480,0,0,0,0,0
22150,1490,0,0,0,0,0
22040,1460,0,0,0,0,0
21989,1460,0,0,0,0,0
22230,1520,0,0,0,0,0
22090,1490,0,0,0,0,0
22050,1500,0,0,0,0,0
22110,1490,0,0,0,0,0
21810,1470,0,0,0,0,0
21919,1440,0,0,0,0,0
22099,1510,0,0,0,0,0
21920,1500,0,0,0,0,0
22090,1500,0,0,0,0,0
22140,1510,0,0,0,0,0
22210,1440,0,0,0,0,0
21860,1470,0,0,0,0,0
21969,1430,0,0,0,0,0
21980,1510,0,0,0,0,0
21720,1550,0,0,0,0,0
22110,1530,0,0,0,0,0
22010,1500,0,0,0,0,0
22010,1560,0,0,0,0,0
21559,1470,0,0,0,0,0
21769,1540,0,0,0,0,0
22130,1510,0,0,0,0,0
21780,1550,0,0,0,0,0
22250,1500,0,0,0,0,0
35240,1550,0,0,0,0,0
22029,1530,0,0,0,0,0
21740,1500,0,0,0,0,0
22290,1440,0,0,0,0,0
21670,1520,0,0,0,0,0
21930,1480,0,0,0,0,0
21750,1450,0,0,0,0,0
21950,1500,0,0,0,0,0
21989,1540,0,0,0,0,0
21700,1450,0,0,0,0,0
21720,1530,0,0,0,0,0
21800,1500,0,0,0,0,0
21430,1510,0,0,0,0,0
21920,1440,0,0,0,0,0
22059,1490,0,0,0,0,0
21939,1450,0,0,0,0,0
21830,1520,0,0,0,0,0
21840,1480,0,0,0,0,0
21630,1540,0,0,0,0,0
22150,1540,0,0,0,0,0
21830,1490,0,0,0,0,0
21819,1460,0,0,0,0,0
21640,1500,0,0,0,0,0
22500,1490,0,0,0,0,0
22060,1530,0,0,0,0,0
21850,1530,0,0,0,0,0
22270,1470,0,0,0,0,0
22259,1460,0,0,0,0,0
22109,1450,0,0,0,0,0
21970,1540,0,0,0,0,0
22020,1590,0,0,0,0,0
21690,1450,0,0,0,0,0
22210,1490,0,0,0,0,0
21749,1490,0,0,0,0,0
22060,1450,0,0,0,0,0
21560,1510,0,0,0,0,0
21990,1460,0,0,0,0,0
22110,1470,0,0,0,0,0
22000,1500,0,0,0,0,0
22150,1480,0,0,0,0,0
21479,1480,0,0,0,0,0
22250,1500,0,0,0,0,0
22320,1520,0,0,0,0,0
21920,1440,0,0,0,0,0
21690,1450,0,0,0,0,0
22250,1460,0,0,0,0,0
22079,1470,0,0,0,0,0
21870,1450,0,0,0,0,0
21870,1460,0,0,0,0,0
22040,1480,0,0,0,0,0
21690,1490,0,0,0,0,0
21920,1500,0,0,0,0,0
21670,1460,0,0,0,0,0
21869,1490,0,0,0,0,0
21830,1490,0,0,0,0,0
21850,1450,0,0,0,0,0
21790,1540,0,0,0,0,0
22070,1500,0,0,0,0,0
21770,1500,0,0,0,0,0
22209,1500,0,0,0,0,0
21630,1480,0,0,0,0,0
21880,1520,0,0,0,0,0
21820,1500,0,0,0,0,0
21690,1470,0,0,0,0,0
21500,1500,0,0,0,0,0
21670,1520,0,0,0,0,0
21929,1500,0,0,0,0,0
21650,1520,0,0,0,0,0
21420,1550,0,0,0,0,0
21900,1500,0,0,0,0,0
21440,1490,0,0,0,0,0
21890,1510,0,0,0,0,0
21840,1480,0,0,0,0,0
21799,1420,0,0,0,0,0
21760,1510,0,0,0,0,0
21830,1480,0,0,0,0,0
21920,1490,0,0,0,0,0
22240,1520,0,0,0,0,0
21800,1480,0,0,0,0,0
21910,1460,0,0,0,0,0
22439,1500,0,0,0,0,0
22250,1510,0,0,0,0,0
22000,1500,0,0,0,0,0
22300,1539,0,0,0,0,0
22450,1500,0,0,0,0,0
22160,1430,0,0,0,0,0
21889,1440,0,0,0,0,0
22090,1500,0,0,0,0,0
34130,1560,0,0,0,0,0
22190,1460,0,0,0,0,0
21980,1490,0,0,0,0,0
22050,1470,0,0,0,0,0
22029,1480,0,0,0,0,0
22510,1490,0,0,0,0,0
22270,1470,0,0,0,0,0
21940,1480,0,0,0,0,0
22290,1490,0,0,0,0,0
21970,1490,0,0,0,0,0
22049,1520,0,0,0,0,0
21800,1500,0,0,0,0,0
21730,1560,0,0,0,0,0
21840,1490,0,0,0,0,0
21640,1540,0,0,0,0,0
21830,1500,0,0,0,0,0
22230,1490,0,0,0,0,0
21749,1420,0,0,0,0,0
23190,1480,0,0,0,0,0
21900,1460,0,0,0,0,0
22010,1510,0,0,0,0,0
21790,1510,0,0,0,0,0
21570,1480,0,0,0,0,0
21579,1460,0,0,0,0,0
22519,1550,0,0,0,0,0
22060,1440,0,0,0,0,0
21990,1510,0,0,0,0,0
22050,1510,0,0,0,0,0
22280,1540,0,0,0,0,0

Raw Storage Info
========
Storage: System Account (r:1 w:1)

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    21.97
              µs

Reads = 1
Writes = 1

Min Squares Analysis
========
-- Extrinsic Time --

Model:
Time ~=    21.97
              µs

Reads = 1
Writes = 1

Pallet: "pallet_balances", Extrinsic: "set_balance_killing", Lowest values: [], Highest values: [], Steps: 50, Repeat: 200
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
29649,1810,0,0,0,0,0
26030,1550,0,0,0,0,0
25520,1510,0,0,0,0,0
26070,1470,0,0,0,0,0
25410,1600,0,0,0,0,0
25820,1490,0,0,0,0,0
25210,1450,0,0,0,0,0
25480,1460,0,0,0,0,0
28170,1470,0,0,0,0,0
25810,1520,0,0,0,0,0
25339,1420,0,0,0,0,0
25650,1480,0,0,0,0,0
25470,1490,0,0,0,0,0
25850,1510,0,0,0,0,0
25650,1500,0,0,0,0,0
25799,1470,0,0,0,0,0
25599,1550,0,0,0,0,0
25750,1520,0,0,0,0,0
25350,1510,0,0,0,0,0
25550,1510,0,0,0,0,0
25470,1450,0,0,0,0,0
25599,1460,0,0,0,0,0
29720,1880,0,0,0,0,0
31340,1550,0,0,0,0,0
25590,1460,0,0,0,0,0
25649,1480,0,0,0,0,0
25290,1480,0,0,0,0,0
25580,1520,0,0,0,0,0
25310,1450,0,0,0,0,0
31720,1840,0,0,0,0,0
25590,1500,0,0,0,0,0
25390,1470,0,0,0,0,0
24960,1379,0,0,0,0,0
25550,1480,0,0,0,0,0
25189,1400,0,0,0,0,0
25050,1470,0,0,0,0,0
25260,1440,0,0,0,0,0
25140,1460,0,0,0,0,0
25250,1460,0,0,0,0,0
25380,1540,0,0,0,0,0
25349,1430,0,0,0,0,0
25499,1520,0,0,0,0,0
25500,1400,0,0,0,0,0
25460,1470,0,0,0,0,0
25210,1490,0,0,0,0,0
25580,1540,0,0,0,0,0
25149,1500,0,0,0,0,0
25570,1450,0,0,0,0,0
25230,1400,0,0,0,0,0
25170,1560,0,0,0,0,0
25160,1790,0,0,0,0,0
32089,1490,0,0,0,0,0
25500,1450,0,0,0,0,0
25520,1470,0,0,0,0,0
25250,1460,0,0,0,0,0
25290,1480,0,0,0,0,0
25459,1440,0,0,0,0,0
25590,1760,0,0,0,0,0
31730,1460,0,0,0,0,0
25690,1510,0,0,0,0,0
25329,1470,0,0,0,0,0
26150,1500,0,0,0,0,0
25390,1480,0,0,0,0,0
27720,1460,0,0,0,0,0
25440,1450,0,0,0,0,0
25489,1500,0,0,0,0,0
25450,1430,0,0,0,0,0
25290,1420,0,0,0,0,0
25340,1420,0,0,0,0,0
25430,1480,0,0,0,0,0
25200,1420,0,0,0,0,0
25429,1440,0,0,0,0,0
25310,1420,0,0,0,0,0
25390,1480,0,0,0,0,0
25400,1470,0,0,0,0,0
25260,1470,0,0,0,0,0
25220,1460,0,0,0,0,0
25379,1470,0,0,0,0,0
25310,1490,0,0,0,0,0
32090,1890,0,0,0,0,0
25420,1450,0,0,0,0,0
25589,1450,0,0,0,0,0
25480,1430,0,0,0,0,0
25410,1470,0,0,0,0,0
25240,1429,0,0,0,0,0
25660,1810,0,0,0,0,0
32169,1750,0,0,0,0,0
25390,1430,0,0,0,0,0
25600,1450,0,0,0,0,0
37070,1570,0,0,0,0,0
25359,1370,0,0,0,0,0
25780,1450,0,0,0,0,0
25540,1470,0,0,0,0,0
25510,1450,0,0,0,0,0
25270,1540,0,0,0,0,0
25390,1560,0,0,0,0,0
25399,1490,0,0,0,0,0
25530,1540,0,0,0,0,0
25600,1490,0,0,0,0,0
25570,1499,0,0,0,0,0
25770,1490,0,0,0,0,0
25339,1460,0,0,0,0,0
25569,1480,0,0,0,0,0
25340,1510,0,0,0,0,0
25580,1550,0,0,0,0,0
25490,1510,0,0,0,0,0
25500,1520,0,0,0,0,0
31389,1860,0,0,0,0,0
25520,1520,0,0,0,0,0
25290,1450,0,0,0,0,0
25410,1480,0,0,0,0,0
25429,1500,0,0,0,0,0
25319,1470,0,0,0,0,0
25140,1470,0,0,0,0,0
31790,1830,0,0,0,0,0
25890,1510,0,0,0,0,0
25669,1540,0,0,0,0,0
25460,1550,0,0,0,0,0
25590,1460,0,0,0,0,0
25880,1490,0,0,0,0,0
25400,1480,0,0,0,0,0
26399,1490,0,0,0,0,0
25450,1500,0,0,0,0,0
25450,1470,0,0,0,0,0
25290,1520,0,0,0,0,0
25310,1470,0,0,0,0,0
25390,1480,0,0,0,0,0
25079,1480,0,0,0,0,0
25330,1520,0,0,0,0,0
25580,1490,0,0,0,0,0
25670,1500,0,0,0,0,0
25410,1490,0,0,0,0,0
25419,1510,0,0,0,0,0
25709,1520,0,0,0,0,0
25530,1480,0,0,0,0,0
25580,1470,0,0,0,0,0
25930,1460,0,0,0,0,0
25360,1520,0,0,0,0,0
25469,1480,0,0,0,0,0
25319,1460,0,0,0,0,0
25050,1410,0,0,0,0,0
25220,1440,0,0,0,0,0
25330,1440,0,0,0,0,0
25500,1460,0,0,0,0,0
25419,1490,0,0,0,0,0
25000,1500,0,0,0,0,0
25120,1570,0,0,0,0,0
25350,1490,0,0,0,0,0
