Pallet: "pallet_balances", Extrinsic: "transfer", Lowest values: [], Highest values: [], Steps: 50, Repeat: 200
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
55310,1890,0,0,0,0,0
50020,1550,0,0,0,0,0
49969,1570,0,0,0,0,0
49310,1540,0,0,0,0,0
49399,1590,0,0,0,0,0
49250,1560,0,0,0,0,0
54319,1610,0,0,0,0,0
49740,1500,0,0,0,0,0
49289,1470,0,0,0,0,0
50770,1620,0,0,0,0,0
49329,1580,0,0,0,0,0
49270,1520,0,0,0,0,0
49289,1580,0,0,0,0,0
50070,1470,0,0,0,0,0
49489,1560,0,0,0,0,0
49570,1500,0,0,0,0,0
49579,1480,0,0,0,0,0
49550,1490,0,0,0,0,0
49089,1500,0,0,0,0,0
49410,1530,0,0,0,0,0
49899,1550,0,0,0,0,0
49190,1500,0,0,0,0,0
49709,1540,0,0,0,0,0
49190,1510,0,0,0,0,0
49610,1460,0,0,0,0,0
50010,1570,0,0,0,0,0
49670,1540,0,0,0,0,0
49390,1550,0,0,0,0,0
49580,1540,0,0,0,0,0
49639,1520,0,0,0,0,0
49520,1570,0,0,0,0,0
59359,1610,0,0,0,0,0
49600,1560,0,0,0,0,0
49609,1540,0,0,0,0,0
50050,1570,0,0,0,0,0
49529,1600,0,0,0,0,0
49660,1580,0,0,0,0,0
49399,1540,0,0,0,0,0
48930,1550,0,0,0,0,0
49189,1920,0,0,0,0,0
49680,1550,0,0,0,0,0
49229,1510,0,0,0,0,0
49320,1590,0,0,0,0,0
49749,1520,0,0,0,0,0
49940,1570,0,0,0,0,0
49689,1550,0,0,0,0,0
49480,1520,0,0,0,0,0
49099,1520,0,0,0,0,0
49320,1570,0,0,0,0,0
49369,1520,0,0,0,0,0
49520,1550,0,0,0,0,0
49489,1560,0,0,0,0,0
49390,1560,0,0,0,0,0
48979,1560,0,0,0,0,0
49250,1510,0,0,0,0,0
48949,1570,0,0,0,0,0
49150,1500,0,0,0,0,0
