Pallet: "frame_benchmarking", Extrinsic: "addition", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
i,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
0,289,1112,0,0,0,0,0
0,148,964,0,0,0,0,0
0,128,930,0,0,0,0,0
0,143,944,0,0,0,0,0
0,131,934,0,0,0,0,0
0,138,936,0,0,0,0,0
0,137,959,0,0,0,0,0
0,124,943,0,0,0,0,0
0,125,936,0,0,0,0,0
0,128,902,0,0,0,0,0
0,124,921,0,0,0,0,0
0,137,940,0,0,0,0,0
0,131,924,0,0,0,0,0
0,133,936,0,0,0,0,0
0,135,920,0,0,0,0,0
0,136,954,0,0,0,0,0
0,131,973,0,0,0,0,0
0,134,934,0,0,0,0,0
0,132,947,0,0,0,0,0
0,124,936,0,0,0,0,0
20000,303,1166,0,0,0,0,0
20000,136,964,0,0,0,0,0
20000,156,906,0,0,0,0,0
20000,136,891,0,0,0,0,0
20000,141,896,0,0,0,0,0
20000,146,945,0,0,0,0,0
20000,138,915,0,0,0,0,0
20000,137,887,0,0,0,0,0
20000,139,957,0,0,0,0,0
20000,132,926,0,0,0,0,0
20000,132,930,0,0,0,0,0
20000,133,931,0,0,0,0,0
20000,137,880,0,0,0,0,0
20000,137,949,0,0,0,0,0
20000,153,906,0,0,0,0,0
20000,147,908,0,0,0,0,0
20000,134,890,0,0,0,0,0
20000,144,913,0,0,0,0,0
20000,146,932,0,0,0,0,0
20000,146,907,0,0,0,0,0
40000,279,1169,0,0,0,0,0
40000,145,992,0,0,0,0,0
40000,113,955,0,0,0,0,0
40000,146,983,0,0,0,0,0
40000,130,920,0,0,0,0,0
40000,144,952,0,0,0,0,0
40000,138,908,0,0,0,0,0
40000,143,952,0,0,0,0,0
40000,147,946,0,0,0,0,0
40000,130,973,0,0,0,0,0
40000,130,981,0,0,0,0,0
40000,152,992,0,0,0,0,0
40000,137,998,0,0,0,0,0
40000,128,949,0,0,0,0,0
40000,132,919,0,0,0,0,0
40000,141,936,0,0,0,0,0
40000,139,955,0,0,0,0,0
40000,135,942,0,0,0,0,0
40000,139,932,0,0,0,0,0
40000,138,959,0,0,0,0,0
60000,240,1145,0,0,0,0,0
60000,163,996,0,0,0,0,0
60000,162,938,0,0,0,0,0
60000,153,980,0,0,0,0,0
60000,152,936,0,0,0,0,0
60000,158,947,0,0,0,0,0
60000,162,959,0,0,0,0,0
60000,144,953,0,0,0,0,0
60000,155,959,0,0,0,0,0
60000,150,961,0,0,0,0,0
60000,156,954,0,0,0,0,0
60000,155,960,0,0,0,0,0
60000,151,965,0,0,0,0,0
60000,135,940,0,0,0,0,0
60000,135,935,0,0,0,0,0
60000,133,942,0,0,0,0,0
60000,135,952,0,0,0,0,0
60000,135,951,0,0,0,0,0
60000,133,975,0,0,0,0,0
60000,134,977,0,0,0,0,0
80000,294,1151,0,0,0,0,0
80000,136,968,0,0,0,0,0
80000,137,923,0,0,0,0,0
80000,149,933,0,0,0,0,0
80000,140,929,0,0,0,0,0
80000,120,956,0,0,0,0,0
80000,138,935,0,0,0,0,0
80000,140,942,0,0,0,0,0
80000,141,938,0,0,0,0,0
80000,164,916,0,0,0,0,0
80000,133,954,0,0,0,0,0
80000,141,955,0,0,0,0,0
80000,148,958,0,0,0,0,0
80000,142,958,0,0,0,0,0
80000,123,911,0,0,0,0,0
80000,133,922,0,0,0,0,0
80000,148,935,0,0,0,0,0
80000,145,925,0,0,0,0,0
80000,138,916,0,0,0,0,0
80000,144,924,0,0,0,0,0
100000,270,1145,0,0,0,0,0
100000,142,991,0,0,0,0,0
100000,154,990,0,0,0,0,0
100000,155,994,0,0,0,0,0
100000,155,963,0,0,0,0,0
100000,154,932,0,0,0,0,0
100000,164,982,0,0,0,0,0
100000,151,978,0,0,0,0,0
100000,144,988,0,0,0,0,0
100000,122,941,0,0,0,0,0
100000,150,972,0,0,0,0,0
100000,149,942,0,0,0,0,0
100000,147,943,0,0,0,0,0
100000,165,975,0,0,0,0,0
100000,165,963,0,0,0,0,0
100000,128,961,0,0,0,0,0
100000,155,938,0,0,0,0,0
100000,142,927,0,0,0,0,0
100000,134,956,0,0,0,0,0
100000,128,940,0,0,0,0,0
120000,337,1194,0,0,0,0,0
120000,162,915,0,0,0,0,0
120000,161,974,0,0,0,0,0
120000,149,912,0,0,0,0,0
120000,120,917,0,0,0,0,0
120000,132,966,0,0,0,0,0
120000,147,951,0,0,0,0,0
120000,119,908,0,0,0,0,0
120000,134,970,0,0,0,0,0
120000,153,935,0,0,0,0,0
120000,153,989,0,0,0,0,0
120000,142,970,0,0,0,0,0
120000,127,990,0,0,0,0,0
120000,134,951,0,0,0,0,0
120000,140,921,0,0,0,0,0
120000,150,943,0,0,0,0,0
120000,149,933,0,0,0,0,0
120000,157,927,0,0,0,0,0
120000,148,977,0,0,0,0,0
120000,138,947,0,0,0,0,0
140000,299,1168,0,0,0,0,0
140000,149,1016,0,0,0,0,0
140000,144,974,0,0,0,0,0
140000,140,964,0,0,0,0,0
140000,138,940,0,0,0,0,0
140000,143,965,0,0,0,0,0
140000,158,944,0,0,0,0,0
140000,151,957,0,0,0,0,0
140000,138,968,0,0,0,0,0
140000,132,968,0,0,0,0,0
140000,137,950,0,0,0,0,0
140000,145,961,0,0,0,0,0
140000,144,934,0,0,0,0,0
140000,138,944,0,0,0,0,0
140000,124,983,0,0,0,0,0
140000,123,963,0,0,0,0,0
140000,133,915,0,0,0,0,0
140000,132,963,0,0,0,0,0
140000,120,956,0,0,0,0,0
140000,118,938,0,0,0,0,0
160000,302,1216,0,0,0,0,0
160000,139,973,0,0,0,0,0
160000,140,991,0,0,0,0,0
160000,140,973,0,0,0,0,0
160000,139,974,0,0,0,0,0
160000,138,940,0,0,0,0,0
160000,143,955,0,0,0,0,0
160000,133,970,0,0,0,0,0
160000,133,941,0,0,0,0,0
160000,133,998,0,0,0,0,0
160000,128,949,0,0,0,0,0
160000,132,956,0,0,0,0,0
160000,140,928,0,0,0,0,0
160000,147,943,0,0,0,0,0
160000,143,976,0,0,0,0,0
160000,137,944,0,0,0,0,0
160000,140,963,0,0,0,0,0
160000,129,936,0,0,0,0,0
160000,133,972,0,0,0,0,0
160000,133,945,0,0,0,0,0
180000,288,1139,0,0,0,0,0
180000,138,949,0,0,0,0,0
180000,148,950,0,0,0,0,0
180000,135,926,0,0,0,0,0
180000,161,905,0,0,0,0,0
180000,158,928,0,0,0,0,0
180000,158,923,0,0,0,0,0
180000,149,899,0,0,0,0,0
180000,129,921,0,0,0,0,0
180000,159,985,0,0,0,0,0
180000,138,937,0,0,0,0,0
180000,153,954,0,0,0,0,0
180000,125,915,0,0,0,0,0
180000,123,919,0,0,0,0,0
180000,157,940,0,0,0,0,0
180000,123,953,0,0,0,0,0
180000,127,933,0,0,0,0,0
180000,149,939,0,0,0,0,0
180000,149,959,0,0,0,0,0
180000,115,948,0,0,0,0,0
200000,241,1101,0,0,0,0,0
200000,163,954,0,0,0,0,0
200000,137,989,0,0,0,0,0
200000,136,968,0,0,0,0,0
200000,138,919,0,0,0,0,0
200000,137,980,0,0,0,0,0
200000,143,980,0,0,0,0,0
200000,141,971,0,0,0,0,0
200000,159,975,0,0,0,0,0
200000,159,951,0,0,0,0,0
200000,150,975,0,0,0,0,0
200000,157,978,0,0,0,0,0
200000,152,938,0,0,0,0,0
200000,157,971,0,0,0,0,0
200000,155,931,0,0,0,0,0
200000,169,928,0,0,0,0,0
200000,159,943,0,0,0,0,0
200000,160,924,0,0,0,0,0
200000,132,979,0,0,0,0,0
200000,138,958,0,0,0,0,0
220000,275,1133,0,0,0,0,0
220000,130,1012,0,0,0,0,0
220000,164,966,0,0,0,0,0
220000,153,970,0,0,0,0,0
220000,170,928,0,0,0,0,0
220000,164,917,0,0,0,0,0
220000,165,930,0,0,0,0,0
220000,134,938,0,0,0,0,0
220000,138,944,0,0,0,0,0
220000,130,936,0,0,0,0,0
220000,152,913,0,0,0,0,0
220000,152,946,0,0,0,0,0
220000,179,950,0,0,0,0,0
