Pallet: "frame_system", Extrinsic: "remark", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
b,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
0,657,1121,0,0,0,0,0
0,340,936,0,0,0,0,0
0,283,964,0,0,0,0,0
0,287,878,0,0,0,0,0
0,288,964,0,0,0,0,0
0,292,938,0,0,0,0,0
0,300,942,0,0,0,0,0
0,309,948,0,0,0,0,0
0,333,958,0,0,0,0,0
0,289,960,0,0,0,0,0
0,291,898,0,0,0,0,0
0,313,944,0,0,0,0,0
0,312,935,0,0,0,0,0
0,346,925,0,0,0,0,0
0,319,924,0,0,0,0,0
0,294,916,0,0,0,0,0
0,300,911,0,0,0,0,0
0,334,959,0,0,0,0,0
0,312,902,0,0,0,0,0
0,305,950,0,0,0,0,0
78643,32566,1262,0,0,0,0,0
78643,30881,997,0,0,0,0,0
78643,30921,923,0,0,0,0,0
78643,30936,978,0,0,0,0,0
78643,30919,948,0,0,0,0,0
78643,30892,937,0,0,0,0,0
78643,30910,906,0,0,0,0,0
78643,30883,1004,0,0,0,0,0
78643,30915,974,0,0,0,0,0
78643,30907,958,0,0,0,0,0
78643,30890,1007,0,0,0,0,0
78643,30902,986,0,0,0,0,0
78643,30861,965,0,0,0,0,0
78643,30883,970,0,0,0,0,0
78643,30854,957,0,0,0,0,0
78643,30885,935,0,0,0,0,0
78643,30875,938,0,0,0,0,0
78643,30892,1024,0,0,0,0,0
78643,30883,984,0,0,0,0,0
78643,30942,958,0,0,0,0,0
157286,62883,1265,0,0,0,0,0
157286,61241,976,0,0,0,0,0
157286,61256,1024,0,0,0,0,0
157286,61187,1016,0,0,0,0,0
157286,61175,991,0,0,0,0,0
157286,61176,1000,0,0,0,0,0
157286,61171,1017,0,0,0,0,0
157286,61236,1023,0,0,0,0,0
157286,61154,1016,0,0,0,0,0
157286,61193,996,0,0,0,0,0
157286,61184,1027,0,0,0,0,0
157286,61207,1014,0,0,0,0,0
157286,61163,971,0,0,0,0,0
157286,61208,984,0,0,0,0,0
157286,61187,976,0,0,0,0,0
157286,61164,1011,0,0,0,0,0
157286,61145,1003,0,0,0,0,0
157286,61170,1040,0,0,0,0,0
157286,61164,984,0,0,0,0,0
157286,61130,1012,0,0,0,0,0
235929,91250,1073,0,0,0,0,0
235929,89460,941,0,0,0,0,0
235929,89474,985,0,0,0,0,0
235929,89394,976,0,0,0,0,0
235929,89370,958,0,0,0,0,0
235929,89424,946,0,0,0,0,0
235929,89384,981,0,0,0,0,0
235929,89402,973,0,0,0,0,0
235929,89468,953,0,0,0,0,0
235929,89361,975,0,0,0,0,0
235929,89327,1002,0,0,0,0,0
235929,89328,992,0,0,0,0,0
235929,89326,967,0,0,0,0,0
235929,89388,963,0,0,0,0,0
235929,127114,948,0,0,0,0,0
235929,89402,942,0,0,0,0,0
235929,89385,975,0,0,0,0,0
235929,89385,971,0,0,0,0,0
235929,89363,919,0,0,0,0,0
235929,89362,975,0,0,0,0,0
314572,124276,1300,0,0,0,0,0
314572,121783,1016,0,0,0,0,0
314572,121802,983,0,0,0,0,0
314572,121681,1031,0,0,0,0,0
314572,121684,951,0,0,0,0,0
314572,121701,957,0,0,0,0,0
314572,121684,961,0,0,0,0,0
314572,121683,951,0,0,0,0,0
314572,121654,1047,0,0,0,0,0
314572,121741,998,0,0,0,0,0
314572,121643,975,0,0,0,0,0
314572,121656,999,0,0,0,0,0
314572,121699,992,0,0,0,0,0
314572,121622,990,0,0,0,0,0
314572,121666,985,0,0,0,0,0
314572,121645,971,0,0,0,0,0
314572,121690,999,0,0,0,0,0
314572,121745,1038,0,0,0,0,0
314572,121695,982,0,0,0,0,0
314572,121688,989,0,0,0,0,0
393215,150314,1251,0,0,0,0,0
393215,148623,1023,0,0,0,0,0
393215,175318,996,0,0,0,0,0
393215,165650,983,0,0,0,0,0
393215,148624,980,0,0,0,0,0
393215,148522,962,0,0,0,0,0
393215,148491,1029,0,0,0,0,0
393215,148560,943,0,0,0,0,0
393215,216772,998,0,0,0,0,0
393215,148476,942,0,0,0,0,0
393215,148444,981,0,0,0,0,0
393215,148528,957,0,0,0,0,0
393215,148465,979,0,0,0,0,0
393215,148535,948,0,0,0,0,0
393215,161590,1004,0,0,0,0,0
393215,148548,959,0,0,0,0,0
393215,148568,937,0,0,0,0,0
393215,148556,974,0,0,0,0,0
393215,148469,958,0,0,0,0,0
393215,148512,1020,0,0,0,0,0
471858,184248,1309,0,0,0,0,0
471858,182209,1029,0,0,0,0,0
471858,182146,995,0,0,0,0,0
471858,182113,1048,0,0,0,0,0
471858,182101,1002,0,0,0,0,0
471858,182083,960,0,0,0,0,0
471858,182117,984,0,0,0,0,0
471858,182132,980,0,0,0,0,0
471858,182167,968,0,0,0,0,0
471858,183874,1006,0,0,0,0,0
471858,182140,977,0,0,0,0,0
471858,182161,987,0,0,0,0,0
471858,182128,969,0,0,0,0,0
471858,182136,956,0,0,0,0,0
471858,194466,959,0,0,0,0,0
471858,178066,959,0,0,0,0,0
471858,178044,973,0,0,0,0,0
471858,178046,1013,0,0,0,0,0
471858,178088,964,0,0,0,0,0
