Pallet: "pallet_assets", Extrinsic: "create", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
25933,1533,0,0,0,0,0
22812,1430,0,0,0,0,0
22127,1379,0,0,0,0,0
22736,1392,0,0,0,0,0
22134,1399,0,0,0,0,0
21850,1407,0,0,0,0,0
21625,1360,0,0,0,0,0
21783,1424,0,0,0,0,0
21650,1425,0,0,0,0,0
22004,1387,0,0,0,0,0
21514,1370,0,0,0,0,0
21317,1359,0,0,0,0,0
21693,1372,0,0,0,0,0
21592,1403,0,0,0,0,0
21537,1527,0,0,0,0,0
21848,1391,0,0,0,0,0
21712,1348,0,0,0,0,0
21791,1359,0,0,0,0,0
21766,1399,0,0,0,0,0
21824,1370,0,0,0,0,0

Raw Storage Info
========
Storage: Assets Asset (r:1 w:1)

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    21.79
              µs

Reads = 1
Writes = 1

Min Squares Analysis
========
-- Extrinsic Time --

Model:
Time ~=    21.79
              µs

Reads = 1
Writes = 1

Pallet: "pallet_assets", Extrinsic: "force_create", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
17224,1507,0,0,0,0,0
12440,1259,0,0,0,0,0
12139,1197,0,0,0,0,0
11826,1215,0,0,0,0,0
11920,1380,0,0,0,0,0
11900,1230,0,0,0,0,0
11917,1159,0,0,0,0,0
11790,1205,0,0,0,0,0
11666,1183,0,0,0,0,0
11407,1150,0,0,0,0,0
11569,1181,0,0,0,0,0
11449,1148,0,0,0,0,0
11433,1137,0,0,0,0,0
11488,1124,0,0,0,0,0
11770,1195,0,0,0,0,0
11605,1169,0,0,0,0,0
11430,1164,0,0,0,0,0
11589,1162,0,0,0,0,0
11428,1166,0,0,0,0,0
11403,1173,0,0,0,0,0

Raw Storage Info
========
Storage: Assets Asset (r:1 w:1)

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    11.66
              µs

Reads = 1
Writes = 1

Min Squares Analysis
========
-- Extrinsic Time --

Model:
Time ~=    11.66
              µs

Reads = 1
Writes = 1

Pallet: "pallet_assets", Extrinsic: "destroy", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
c,s,a,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
0,5000,500,80840860,5622,0,0,0,0,0
0,5000,500,79991380,5862,0,0,0,0,0
0,5000,500,79584306,5113,0,0,0,0,0
0,5000,500,79714186,5192,0,0,0,0,0
0,5000,500,79562405,4957,0,0,0,0,0
0,5000,500,79945123,4941,0,0,0,0,0
0,5000,500,80329814,5037,0,0,0,0,0
0,5000,500,79960367,5011,0,0,0,0,0
0,5000,500,79313421,5066,0,0,0,0,0
0,5000,500,80532916,5182,0,0,0,0,0
0,5000,500,79392170,5267,0,0,0,0,0
0,5000,500,80131205,6006,0,0,0,0,0
0,5000,500,79536491,6224,0,0,0,0,0
0,5000,500,79664046,5895,0,0,0,0,0
0,5000,500,80240630,5433,0,0,0,0,0
0,5000,500,79880635,5621,0,0,0,0,0
0,5000,500,79093060,5015,0,0,0,0,0
0,5000,500,79227440,4973,0,0,0,0,0
0,5000,500,79925680,19045,0,0,0,0,0
0,5000,500,80232131,5772,0,0,0,0,0
100,5000,500,83227100,5245,0,0,0,0,0
100,5000,500,84384302,5103,0,0,0,0,0
100,5000,500,83930876,5156,0,0,0,0,0
100,5000,500,83555020,5198,0,0,0,0,0
100,5000,500,82842615,5652,0,0,0,0,0
100,5000,500,83500871,5329,0,0,0,0,0
100,5000,500,83303001,5668,0,0,0,0,0
100,5000,500,82605695,5005,0,0,0,0,0
100,5000,500,83842035,5198,0,0,0,0,0
100,5000,500,84315159,4607,0,0,0,0,0
100,5000,500,83405022,5050,0,0,0,0,0
100,5000,500,84770828,5154,0,0,0,0,0
100,5000,500,82689057,5396,0,0,0,0,0
100,5000,500,83724688,4991,0,0,0,0,0
100,5000,500,84584094,5304,0,0,0,0,0
100,5000,500,83984521,5161,0,0,0,0,0
100,5000,500,83634299,5086,0,0,0,0,0
100,5000,500,83173635,5247,0,0,0,0,0
100,5000,500,84292628,5717,0,0,0,0,0
100,5000,500,84280405,5069,0,0,0,0,0
200,5000,500,81057444,5161,0,0,0,0,0
200,5000,500,81536372,5781,0,0,0,0,0
200,5000,500,81880665,6041,0,0,0,0,0
200,5000,500,82377452,5334,0,0,0,0,0
200,5000,500,81505550,5694,0,0,0,0,0
200,5000,500,81318768,5992,0,0,0,0,0
200,5000,500,80848281,5732,0,0,0,0,0
200,5000,500,80763512,5596,0,0,0,0,0
200,5000,500,82568512,6293,0,0,0,0,0
200,5000,500,81656694,5735,0,0,0,0,0
200,5000,500,82201233,5807,0,0,0,0,0
200,5000,500,81237637,5330,0,0,0,0,0
200,5000,500,82029128,5732,0,0,0,0,0
200,5000,500,82159582,5243,0,0,0,0,0
200,5000,500,80946452,6203,0,0,0,0,0
200,5000,500,81894844,5421,0,0,0,0,0
200,5000,500,82048525,5968,0,0,0,0,0
200,5000,500,81147399,5301,0,0,0,0,0
200,5000,500,82014173,6183,0,0,0,0,0
200,5000,500,82020238,6172,0,0,0,0,0
300,5000,500,84939340,5553,0,0,0,0,0
300,5000,500,83824419,5759,0,0,0,0,0
300,5000,500,84957564,5045,0,0,0,0,0
300,5000,500,84753719,5772,0,0,0,0,0
300,5000,500,84892744,5726,0,0,0,0,0
300,5000,500,83961488,5026,0,0,0,0,0
300,5000,500,85363953,5331,0,0,0,0,0
300,5000,500,84581775,5920,0,0,0,0,0
300,5000,500,84797866,5250,0,0,0,0,0
300,5000,500,84006446,5564,0,0,0,0,0
300,5000,500,85877158,5468,0,0,0,0,0
300,5000,500,84446497,5645,0,0,0,0,0
300,5000,500,86239928,6109,0,0,0,0,0
300,5000,500,85475196,5696,0,0,0,0,0
300,5000,500,85740145,5598,0,0,0,0,0
300,5000,500,86438040,5828,0,0,0,0,0
300,5000,500,85644198,5873,0,0,0,0,0
300,5000,500,84891701,5954,0,0,0,0,0
300,5000,500,84484608,5773,0,0,0,0,0
300,5000,500,84718735,5472,0,0,0,0,0
400,5000,500,86436028,5914,0,0,0,0,0
400,5000,500,86829866,6536,0,0,0,0,0
400,5000,500,87388636,5398,0,0,0,0,0
400,5000,500,87077960,6393,0,0,0,0,0
400,5000,500,86082212,5807,0,0,0,0,0
400,5000,500,86013108,5656,0,0,0,0,0
400,5000,500,86586399,5336,0,0,0,0,0
400,5000,500,86461147,5377,0,0,0,0,0
400,5000,500,87163419,5484,0,0,0,0,0
400,5000,500,85410375,5948,0,0,0,0,0
400,5000,500,87473536,5681,0,0,0,0,0
400,5000,500,86798498,5434,0,0,0,0,0
400,5000,500,86588409,5382,0,0,0,0,0
400,5000,500,86069608,6315,0,0,0,0,0
400,5000,500,86504083,5739,0,0,0,0,0
400,5000,500,86274638,5679,0,0,0,0,0
400,5000,500,87797733,5912,0,0,0,0,0
400,5000,500,86079586,5749,0,0,0,0,0
400,5000,500,86657149,5952,0,0,0,0,0
400,5000,500,88560673,5613,0,0,0,0,0
500,5000,500,88475316,5746,0,0,0,0,0
500,5000,500,89234616,5313,0,0,0,0,0
500,5000,500,87620655,6560,0,0,0,0,0
500,5000,500,88013109,5582,0,0,0,0,0
500,5000,500,88866985,5244,0,0,0,0,0
500,5000,500,89100254,5361,0,0,0,0,0
500,5000,500,88618821,5864,0,0,0,0,0
500,5000,500,87960005,5357,0,0,0,0,0
500,5000,500,89341498,5952,0,0,0,0,0
500,5000,500,88438592,5961,0,0,0,0,0
500,5000,500,92058106,5309,0,0,0,0,0
500,5000,500,91197310,5050,0,0,0,0,0
500,5000,500,88729076,6454,0,0,0,0,0
500,5000,500,88747627,6353,0,0,0,0,0
500,5000,500,88799356,6157,0,0,0,0,0
500,5000,500,88645440,5676,0,0,0,0,0
500,5000,500,87746246,5570,0,0,0,0,0
500,5000,500,90103108,6670,0,0,0,0,0
500,5000,500,89332163,5994,0,0,0,0,0
500,5000,500,89863522,5413,0,0,0,0,0
600,5000,500,89602934,6176,0,0,0,0,0
600,5000,500,89792211,5493,0,0,0,0,0
600,5000,500,91236795,5335,0,0,0,0,0
600,5000,500,90620954,5545,0,0,0,0,0
