Pallet: "pallet_bounties", Extrinsic: "propose_bounty", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
d,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
0,25238,1546,0,0,0,0,0
0,23418,1331,0,0,0,0,0
0,22736,1372,0,0,0,0,0
0,22911,1348,0,0,0,0,0
0,22659,1342,0,0,0,0,0
0,22678,1367,0,0,0,0,0
0,22419,1377,0,0,0,0,0
0,22304,1315,0,0,0,0,0
0,22411,1384,0,0,0,0,0
0,22427,1353,0,0,0,0,0
0,22160,1330,0,0,0,0,0
0,22657,1333,0,0,0,0,0
0,22891,1310,0,0,0,0,0
0,22345,1275,0,0,0,0,0
0,22032,1332,0,0,0,0,0
0,22554,1310,0,0,0,0,0
0,22714,1313,0,0,0,0,0
0,24244,1333,0,0,0,0,0
0,22499,1318,0,0,0,0,0
0,22709,1334,0,0,0,0,0
6,25478,1579,0,0,0,0,0
6,23269,1407,0,0,0,0,0
6,23321,1359,0,0,0,0,0
6,23132,1382,0,0,0,0,0
6,22832,1453,0,0,0,0,0
6,22928,1370,0,0,0,0,0
6,23108,1412,0,0,0,0,0
6,22529,1345,0,0,0,0,0
6,22588,1375,0,0,0,0,0
6,22999,1363,0,0,0,0,0
6,22749,1411,0,0,0,0,0
6,22624,1371,0,0,0,0,0
6,22741,1349,0,0,0,0,0
6,22460,1343,0,0,0,0,0
6,22814,1321,0,0,0,0,0
6,22668,1356,0,0,0,0,0
6,22401,1406,0,0,0,0,0
6,23803,1365,0,0,0,0,0
6,23205,1373,0,0,0,0,0
6,22379,1386,0,0,0,0,0
12,25918,1556,0,0,0,0,0
12,23796,1504,0,0,0,0,0
12,23932,1487,0,0,0,0,0
12,23425,1399,0,0,0,0,0
12,23002,1413,0,0,0,0,0
12,22999,1413,0,0,0,0,0
12,23114,1439,0,0,0,0,0
12,23043,1423,0,0,0,0,0
12,23124,1398,0,0,0,0,0
12,23253,1467,0,0,0,0,0
12,23608,1467,0,0,0,0,0
12,23549,1400,0,0,0,0,0
12,23301,1460,0,0,0,0,0
12,22832,1419,0,0,0,0,0
12,23609,1417,0,0,0,0,0
12,23122,1466,0,0,0,0,0
12,22887,1418,0,0,0,0,0
12,25258,1445,0,0,0,0,0
12,23550,1414,0,0,0,0,0
12,23259,1392,0,0,0,0,0
18,27599,1588,0,0,0,0,0
18,23506,1422,0,0,0,0,0
18,23361,1352,0,0,0,0,0
18,23690,1420,0,0,0,0,0
18,23082,1373,0,0,0,0,0
18,22845,1412,0,0,0,0,0
18,23067,1469,0,0,0,0,0
18,23971,1361,0,0,0,0,0
18,23679,1363,0,0,0,0,0
18,23767,1306,0,0,0,0,0
18,22927,1364,0,0,0,0,0
18,23342,1391,0,0,0,0,0
18,23081,1401,0,0,0,0,0
18,23426,1368,0,0,0,0,0
18,23193,1359,0,0,0,0,0
18,23150,1352,0,0,0,0,0
18,23237,1373,0,0,0,0,0
18,25105,1375,0,0,0,0,0
18,23075,1366,0,0,0,0,0
18,23296,1325,0,0,0,0,0
24,25390,1540,0,0,0,0,0
24,23255,1426,0,0,0,0,0
24,23038,1361,0,0,0,0,0
24,22988,1398,0,0,0,0,0
24,23377,1374,0,0,0,0,0
24,22877,1398,0,0,0,0,0
24,22621,1327,0,0,0,0,0
24,22846,1349,0,0,0,0,0
24,22732,1291,0,0,0,0,0
24,22676,1323,0,0,0,0,0
24,22863,1286,0,0,0,0,0
24,22624,1497,0,0,0,0,0
24,23260,1378,0,0,0,0,0
24,22724,1377,0,0,0,0,0
24,22536,1292,0,0,0,0,0
24,22604,1327,0,0,0,0,0
24,23249,1343,0,0,0,0,0
24,24891,1360,0,0,0,0,0
24,22801,1399,0,0,0,0,0
24,23196,1406,0,0,0,0,0
30,25905,1509,0,0,0,0,0
30,23704,1408,0,0,0,0,0
30,23203,1373,0,0,0,0,0
30,23823,1343,0,0,0,0,0
30,23683,1332,0,0,0,0,0
30,23315,1332,0,0,0,0,0
30,22917,1346,0,0,0,0,0
30,23204,1379,0,0,0,0,0
30,23181,1360,0,0,0,0,0
30,23023,1349,0,0,0,0,0
30,22870,1370,0,0,0,0,0
30,22936,1388,0,0,0,0,0
30,22715,1339,0,0,0,0,0
30,23011,1321,0,0,0,0,0
30,22801,1348,0,0,0,0,0
30,23176,1346,0,0,0,0,0
30,23328,1385,0,0,0,0,0
30,25043,1322,0,0,0,0,0
30,22825,1327,0,0,0,0,0
30,23064,1369,0,0,0,0,0
36,25936,1468,0,0,0,0,0
36,24223,1418,0,0,0,0,0
36,23482,1345,0,0,0,0,0
36,23479,1375,0,0,0,0,0
36,23382,1381,0,0,0,0,0
36,23382,1386,0,0,0,0,0
36,23437,1365,0,0,0,0,0
36,23446,1336,0,0,0,0,0
36,23429,1290,0,0,0,0,0
36,23527,1354,0,0,0,0,0
36,23587,1322,0,0,0,0,0
36,23224,1396,0,0,0,0,0
36,23290,1366,0,0,0,0,0
36,23636,1357,0,0,0,0,0
36,23315,1325,0,0,0,0,0
36,23140,1408,0,0,0,0,0
36,23304,1334,0,0,0,0,0
36,25438,1339,0,0,0,0,0
36,23904,1327,0,0,0,0,0
36,23228,1347,0,0,0,0,0
42,25546,1597,0,0,0,0,0
42,23971,1428,0,0,0,0,0
42,23849,1411,0,0,0,0,0
42,23273,1410,0,0,0,0,0
42,23388,1422,0,0,0,0,0
42,23586,1443,0,0,0,0,0
42,23785,1444,0,0,0,0,0
42,23436,1407,0,0,0,0,0
42,23202,1426,0,0,0,0,0
42,23514,1390,0,0,0,0,0
42,23655,1404,0,0,0,0,0
42,23391,1471,0,0,0,0,0
42,23185,1405,0,0,0,0,0
42,23042,1406,0,0,0,0,0
42,23371,1485,0,0,0,0,0
42,23697,1418,0,0,0,0,0
42,22956,1503,0,0,0,0,0
42,24695,1434,0,0,0,0,0
42,23242,1379,0,0,0,0,0
42,23309,1449,0,0,0,0,0
48,25659,1566,0,0,0,0,0
48,23480,1429,0,0,0,0,0
48,23607,1474,0,0,0,0,0
48,23438,1494,0,0,0,0,0
48,23538,1406,0,0,0,0,0
48,23050,1433,0,0,0,0,0
48,22878,1428,0,0,0,0,0
48,23806,1397,0,0,0,0,0
48,23706,1492,0,0,0,0,0
48,23056,1365,0,0,0,0,0
48,23232,1417,0,0,0,0,0
48,23209,1473,0,0,0,0,0
48,23588,1416,0,0,0,0,0
48,23212,1425,0,0,0,0,0
48,23188,1439,0,0,0,0,0
48,23277,1454,0,0,0,0,0
48,23302,1409,0,0,0,0,0
48,25169,1531,0,0,0,0,0
48,23175,1407,0,0,0,0,0
48,23066,1462,0,0,0,0,0
54,25656,1471,0,0,0,0,0
54,23841,1382,0,0,0,0,0
54,23997,1446,0,0,0,0,0
54,23716,1427,0,0,0,0,0
54,23434,1349,0,0,0,0,0
54,23104,1402,0,0,0,0,0
54,24153,1420,0,0,0,0,0
54,23787,1344,0,0,0,0,0
54,23430,1377,0,0,0,0,0
54,23214,1396,0,0,0,0,0
54,22814,1378,0,0,0,0,0
54,23545,1402,0,0,0,0,0
54,23496,1409,0,0,0,0,0
54,23288,1385,0,0,0,0,0
54,23417,1398,0,0,0,0,0
54,22962,1370,0,0,0,0,0
54,23215,1381,0,0,0,0,0
54,25380,1380,0,0,0,0,0
54,23295,1385,0,0,0,0,0
54,23998,1312,0,0,0,0,0
60,26032,1528,0,0,0,0,0
60,23703,1420,0,0,0,0,0
60,23923,1432,0,0,0,0,0
60,23750,1401,0,0,0,0,0
60,23862,1424,0,0,0,0,0
60,23841,1425,0,0,0,0,0
60,23457,1416,0,0,0,0,0
60,23823,1437,0,0,0,0,0
60,23859,1418,0,0,0,0,0
60,23310,1427,0,0,0,0,0
60,23512,1500,0,0,0,0,0
60,23831,1454,0,0,0,0,0
60,23124,1456,0,0,0,0,0
60,23399,1413,0,0,0,0,0
60,23357,1437,0,0,0,0,0
60,23277,1445,0,0,0,0,0
60,23345,1344,0,0,0,0,0
60,25048,1442,0,0,0,0,0
60,23220,1404,0,0,0,0,0
60,23493,1449,0,0,0,0,0
66,27352,1623,0,0,0,0,0
66,24379,1418,0,0,0,0,0
66,24330,1456,0,0,0,0,0
66,23905,1383,0,0,0,0,0
66,23706,1445,0,0,0,0,0
66,23610,1409,0,0,0,0,0
66,23785,1382,0,0,0,0,0
66,23689,1408,0,0,0,0,0
66,23444,1433,0,0,0,0,0
66,23359,1374,0,0,0,0,0
66,23667,1357,0,0,0,0,0
66,23323,1388,0,0,0,0,0
66,23336,1429,0,0,0,0,0
66,23090,1411,0,0,0,0,0
66,23315,1454,0,0,0,0,0
66,23870,1411,0,0,0,0,0
66,23115,1357,0,0,0,0,0
66,23152,1418,0,0,0,0,0
66,23630,1355,0,0,0,0,0
66,23658,1400,0,0,0,0,0
72,27412,1522,0,0,0,0,0
72,23500,1420,0,0,0,0,0
72,23571,1366,0,0,0,0,0
72,23560,1387,0,0,0,0,0
72,23041,1337,0,0,0,0,0
72,23544,1432,0,0,0,0,0
72,23790,1395,0,0,0,0,0
72,23451,1333,0,0,0,0,0
72,23507,1395,0,0,0,0,0
72,23278,1388,0,0,0,0,0
72,23500,1339,0,0,0,0,0
72,23359,1331,0,0,0,0,0
72,23254,1397,0,0,0,0,0
72,23867,1371,0,0,0,0,0
72,23682,1338,0,0,0,0,0
72,23363,1296,0,0,0,0,0
72,23252,1309,0,0,0,0,0
72,23317,1357,0,0,0,0,0
72,23541,1404,0,0,0,0,0
72,23995,1432,0,0,0,0,0
78,27124,1490,0,0,0,0,0
78,23897,1423,0,0,0,0,0
78,23699,1393,0,0,0,0,0
78,23885,1351,0,0,0,0,0
78,23242,1382,0,0,0,0,0
78,23476,1346,0,0,0,0,0
78,23313,1346,0,0,0,0,0
78,23230,1416,0,0,0,0,0
78,23624,1395,0,0,0,0,0
78,23771,1442,0,0,0,0,0
78,23373,1408,0,0,0,0,0
78,23523,1368,0,0,0,0,0
78,23552,1394,0,0,0,0,0
78,23576,1389,0,0,0,0,0
78,23464,1336,0,0,0,0,0
78,23383,1355,0,0,0,0,0
78,23096,1385,0,0,0,0,0
78,23532,1307,0,0,0,0,0
78,23178,1397,0,0,0,0,0
78,23266,1336,0,0,0,0,0
84,34010,1602,0,0,0,0,0
84,23866,1477,0,0,0,0,0
84,23498,1502,0,0,0,0,0
84,23492,1461,0,0,0,0,0
84,23073,1435,0,0,0,0,0
84,23447,1419,0,0,0,0,0
84,23730,1406,0,0,0,0,0
84,23447,1436,0,0,0,0,0
84,23373,1439,0,0,0,0,0
84,23480,1442,0,0,0,0,0
84,23575,1368,0,0,0,0,0
84,23034,1391,0,0,0,0,0
84,23034,1426,0,0,0,0,0
84,23155,1374,0,0,0,0,0
84,23534,1390,0,0,0,0,0
84,23264,1389,0,0,0,0,0
84,22754,1422,0,0,0,0,0
84,23111,1406,0,0,0,0,0
84,23199,1456,0,0,0,0,0
84,23460,1496,0,0,0,0,0
90,27128,1440,0,0,0,0,0
90,23418,1399,0,0,0,0,0
90,23284,1383,0,0,0,0,0
90,23257,1394,0,0,0,0,0
90,23801,1336,0,0,0,0,0
90,23770,1395,0,0,0,0,0
90,23234,1398,0,0,0,0,0
90,23308,1342,0,0,0,0,0
90,23472,1381,0,0,0,0,0
90,23286,1427,0,0,0,0,0
90,23028,1354,0,0,0,0,0
90,22798,1392,0,0,0,0,0
90,22999,1403,0,0,0,0,0
90,23242,1340,0,0,0,0,0
90,23079,1363,0,0,0,0,0
90,23247,1383,0,0,0,0,0
90,23706,1407,0,0,0,0,0
90,23822,1368,0,0,0,0,0
90,23133,1381,0,0,0,0,0
90,23175,1377,0,0,0,0,0
96,27412,1496,0,0,0,0,0
96,24362,1325,0,0,0,0,0
96,23544,1307,0,0,0,0,0
96,23069,1356,0,0,0,0,0
96,23327,1369,0,0,0,0,0
96,23416,1360,0,0,0,0,0
96,23039,1423,0,0,0,0,0
96,23222,1344,0,0,0,0,0
96,23514,1349,0,0,0,0,0
96,31110,1366,0,0,0,0,0
96,23588,1331,0,0,0,0,0
96,22942,1370,0,0,0,0,0
96,23407,1345,0,0,0,0,0
96,23090,1362,0,0,0,0,0
96,23346,1324,0,0,0,0,0
96,23319,1299,0,0,0,0,0
96,23513,1368,0,0,0,0,0
96,23652,1331,0,0,0,0,0
96,23211,1347,0,0,0,0,0
96,23066,1383,0,0,0,0,0
102,27691,1567,0,0,0,0,0
102,24064,1437,0,0,0,0,0
102,23247,1445,0,0,0,0,0
102,23312,1432,0,0,0,0,0
102,23490,1461,0,0,0,0,0
102,23347,1422,0,0,0,0,0
102,23601,1469,0,0,0,0,0
102,23500,1464,0,0,0,0,0
102,23255,1338,0,0,0,0,0
102,23253,1308,0,0,0,0,0
102,23104,1425,0,0,0,0,0
102,23497,1445,0,0,0,0,0
102,23455,1408,0,0,0,0,0
102,23347,1467,0,0,0,0,0
102,23536,1489,0,0,0,0,0
102,23249,1361,0,0,0,0,0
102,23220,1354,0,0,0,0,0
102,23396,1426,0,0,0,0,0
102,23142,1378,0,0,0,0,0
102,23446,1429,0,0,0,0,0
108,27104,1572,0,0,0,0,0
108,23944,1425,0,0,0,0,0
108,23688,1402,0,0,0,0,0
108,23162,1355,0,0,0,0,0
108,23253,1371,0,0,0,0,0
108,23041,1416,0,0,0,0,0
108,23565,1368,0,0,0,0,0
108,23509,1390,0,0,0,0,0
108,23242,1365,0,0,0,0,0
108,23465,1418,0,0,0,0,0
108,23515,1354,0,0,0,0,0
108,23358,1380,0,0,0,0,0
108,23499,1399,0,0,0,0,0
108,23654,1351,0,0,0,0,0
108,23555,1365,0,0,0,0,0
108,23903,1378,0,0,0,0,0
108,23411,1380,0,0,0,0,0
108,23500,1391,0,0,0,0,0
108,28743,1414,0,0,0,0,0
108,23895,1380,0,0,0,0,0
114,27831,1519,0,0,0,0,0
114,24483,1383,0,0,0,0,0
114,23945,1421,0,0,0,0,0
114,23507,1359,0,0,0,0,0
114,23468,1356,0,0,0,0,0
114,23591,1334,0,0,0,0,0
114,23953,1367,0,0,0,0,0
114,23863,1308,0,0,0,0,0
114,23346,1350,0,0,0,0,0
114,23499,1352,0,0,0,0,0
114,23255,1333,0,0,0,0,0
114,23127,1375,0,0,0,0,0
114,22749,1286,0,0,0,0,0
114,23472,1352,0,0,0,0,0
114,23259,1387,0,0,0,0,0
114,22969,1382,0,0,0,0,0
114,23288,1379,0,0,0,0,0
114,23810,1390,0,0,0,0,0
114,23387,1369,0,0,0,0,0
114,23054,1360,0,0,0,0,0
120,27312,1527,0,0,0,0,0
120,24030,1490,0,0,0,0,0
120,23519,1422,0,0,0,0,0
120,23249,1362,0,0,0,0,0
120,23176,1410,0,0,0,0,0
120,23077,1455,0,0,0,0,0
120,23571,1371,0,0,0,0,0
120,23583,1316,0,0,0,0,0
120,23172,1404,0,0,0,0,0
120,23043,1408,0,0,0,0,0
120,23604,1370,0,0,0,0,0
120,23441,1414,0,0,0,0,0
120,22822,1422,0,0,0,0,0
120,23153,1407,0,0,0,0,0
120,23434,1398,0,0,0,0,0
120,24107,1380,0,0,0,0,0
120,23365,1335,0,0,0,0,0
120,25232,1374,0,0,0,0,0
120,23233,1345,0,0,0,0,0
120,23576,1365,0,0,0,0,0
126,27481,1506,0,0,0,0,0
126,24411,1427,0,0,0,0,0
126,23540,1358,0,0,0,0,0
126,23373,1351,0,0,0,0,0
126,23958,1346,0,0,0,0,0
126,23510,1310,0,0,0,0,0
126,23097,1340,0,0,0,0,0
126,23488,1307,0,0,0,0,0
126,23236,1364,0,0,0,0,0
126,23091,1350,0,0,0,0,0
126,23244,1336,0,0,0,0,0
126,23532,1361,0,0,0,0,0
126,23448,1313,0,0,0,0,0
126,23379,1343,0,0,0,0,0
126,23738,1322,0,0,0,0,0
126,23562,1340,0,0,0,0,0
126,23374,1318,0,0,0,0,0
126,23124,1323,0,0,0,0,0
126,23584,1307,0,0,0,0,0
126,23102,1272,0,0,0,0,0
132,26477,1556,0,0,0,0,0
132,24201,1530,0,0,0,0,0
132,23768,1413,0,0,0,0,0
132,24333,1435,0,0,0,0,0
132,23555,1431,0,0,0,0,0
132,23890,1454,0,0,0,0,0
132,23568,1438,0,0,0,0,0
132,24590,1432,0,0,0,0,0
132,24326,1433,0,0,0,0,0
132,23597,1371,0,0,0,0,0
132,23649,1393,0,0,0,0,0
132,24156,1402,0,0,0,0,0
132,24393,1409,0,0,0,0,0
132,23948,1464,0,0,0,0,0
132,23163,1431,0,0,0,0,0
132,23576,1405,0,0,0,0,0
132,23876,1438,0,0,0,0,0
132,23584,1449,0,0,0,0,0
132,23305,1422,0,0,0,0,0
132,23497,1380,0,0,0,0,0
138,26162,1608,0,0,0,0,0
138,24240,1481,0,0,0,0,0
138,23880,1434,0,0,0,0,0
138,23574,1389,0,0,0,0,0
138,23435,1370,0,0,0,0,0
138,23344,1414,0,0,0,0,0
138,24116,1418,0,0,0,0,0
138,23585,1400,0,0,0,0,0
138,23506,1407,0,0,0,0,0
138,23584,1389,0,0,0,0,0
138,23754,1419,0,0,0,0,0
138,23544,1391,0,0,0,0,0
138,23569,1444,0,0,0,0,0
138,23373,1367,0,0,0,0,0
138,23112,1393,0,0,0,0,0
138,23346,1374,0,0,0,0,0
138,23642,1418,0,0,0,0,0
138,23051,1439,0,0,0,0,0
138,23472,1439,0,0,0,0,0
138,23831,1404,0,0,0,0,0
144,26346,1535,0,0,0,0,0
144,24055,1365,0,0,0,0,0
144,23685,1367,0,0,0,0,0
144,23941,1378,0,0,0,0,0
144,23360,1357,0,0,0,0,0
144,23462,1365,0,0,0,0,0
144,23425,1374,0,0,0,0,0
144,23570,1324,0,0,0,0,0
144,23288,1357,0,0,0,0,0
144,23217,1346,0,0,0,0,0
144,23576,1388,0,0,0,0,0
144,23643,1333,0,0,0,0,0
144,22998,1298,0,0,0,0,0
144,23337,1313,0,0,0,0,0
144,23680,1371,0,0,0,0,0
144,23799,1295,0,0,0,0,0
144,23291,1341,0,0,0,0,0
144,23609,1456,0,0,0,0,0
144,23055,1404,0,0,0,0,0
144,23832,1343,0,0,0,0,0
150,26026,1516,0,0,0,0,0
150,24585,1346,0,0,0,0,0
150,23838,1342,0,0,0,0,0
150,23582,1343,0,0,0,0,0
150,23456,1333,0,0,0,0,0
150,23934,1367,0,0,0,0,0
150,23601,1340,0,0,0,0,0
