Pallet: "pallet_child_bounties", Extrinsic: "add_child_bounty", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
d,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
0,46732,1629,0,0,0,0,0
0,43595,1485,0,0,0,0,0
0,44208,1464,0,0,0,0,0
0,43936,1522,0,0,0,0,0
0,44118,1512,0,0,0,0,0
0,44445,1425,0,0,0,0,0
0,43001,1511,0,0,0,0,0
0,43195,1445,0,0,0,0,0
0,43503,1525,0,0,0,0,0
0,43801,1475,0,0,0,0,0
0,43475,1429,0,0,0,0,0
0,43844,1671,0,0,0,0,0
0,43690,1485,0,0,0,0,0
0,43229,1462,0,0,0,0,0
0,44215,1487,0,0,0,0,0
0,43057,1491,0,0,0,0,0
0,43492,1500,0,0,0,0,0
0,43531,1483,0,0,0,0,0
0,43018,1473,0,0,0,0,0
0,43676,1484,0,0,0,0,0
6,46745,1621,0,0,0,0,0
6,45565,1548,0,0,0,0,0
6,44974,1497,0,0,0,0,0
6,44486,1541,0,0,0,0,0
6,45196,1576,0,0,0,0,0
6,44804,1501,0,0,0,0,0
6,44654,1530,0,0,0,0,0
6,45194,1521,0,0,0,0,0
6,45115,1522,0,0,0,0,0
6,45514,1551,0,0,0,0,0
6,45035,1505,0,0,0,0,0
6,44905,1451,0,0,0,0,0
6,44970,1502,0,0,0,0,0
6,44572,1486,0,0,0,0,0
6,45027,1578,0,0,0,0,0
6,45359,1576,0,0,0,0,0
6,45006,1485,0,0,0,0,0
6,45189,1570,0,0,0,0,0
6,44310,1499,0,0,0,0,0
6,45127,1536,0,0,0,0,0
12,45511,1556,0,0,0,0,0
12,43955,1560,0,0,0,0,0
12,44151,1557,0,0,0,0,0
12,43959,1482,0,0,0,0,0
12,43779,1530,0,0,0,0,0
12,43914,1525,0,0,0,0,0
12,72101,1558,0,0,0,0,0
12,43717,1470,0,0,0,0,0
12,44367,1513,0,0,0,0,0
12,43941,1496,0,0,0,0,0
12,43881,1518,0,0,0,0,0
12,44440,1564,0,0,0,0,0
12,44249,1565,0,0,0,0,0
12,44120,1548,0,0,0,0,0
12,43320,1492,0,0,0,0,0
12,43949,1536,0,0,0,0,0
12,43931,1532,0,0,0,0,0
12,43824,1593,0,0,0,0,0
12,44063,1517,0,0,0,0,0
12,43307,1544,0,0,0,0,0
18,45707,1495,0,0,0,0,0
18,43960,1493,0,0,0,0,0
18,43827,1499,0,0,0,0,0
18,43767,1472,0,0,0,0,0
18,44306,1467,0,0,0,0,0
18,43634,1447,0,0,0,0,0
18,43854,1429,0,0,0,0,0
18,43931,1512,0,0,0,0,0
18,44204,1451,0,0,0,0,0
18,43813,1461,0,0,0,0,0
18,43740,1458,0,0,0,0,0
18,43552,1469,0,0,0,0,0
18,43499,1468,0,0,0,0,0
18,43138,1449,0,0,0,0,0
18,43888,1527,0,0,0,0,0
18,44022,1449,0,0,0,0,0
18,43782,1457,0,0,0,0,0
18,43448,1449,0,0,0,0,0
18,43669,1478,0,0,0,0,0
18,69397,1461,0,0,0,0,0
24,47252,1616,0,0,0,0,0
24,52490,1531,0,0,0,0,0
24,45003,1505,0,0,0,0,0
24,44964,1531,0,0,0,0,0
24,44941,1528,0,0,0,0,0
24,44866,1563,0,0,0,0,0
24,44939,1494,0,0,0,0,0
24,44507,1466,0,0,0,0,0
24,44656,1528,0,0,0,0,0
24,44697,1511,0,0,0,0,0
24,44290,1549,0,0,0,0,0
24,45578,1532,0,0,0,0,0
24,44432,1485,0,0,0,0,0
24,44736,1486,0,0,0,0,0
24,44839,1503,0,0,0,0,0
24,44689,1510,0,0,0,0,0
24,51195,1466,0,0,0,0,0
24,45096,1533,0,0,0,0,0
24,45016,1524,0,0,0,0,0
24,44241,1547,0,0,0,0,0
30,47805,1569,0,0,0,0,0
30,45486,1482,0,0,0,0,0
30,45132,1547,0,0,0,0,0
30,45107,1507,0,0,0,0,0
30,45020,1516,0,0,0,0,0
30,44812,1570,0,0,0,0,0
30,44575,1473,0,0,0,0,0
30,44756,1498,0,0,0,0,0
30,45188,1471,0,0,0,0,0
30,45059,1512,0,0,0,0,0
30,44928,1493,0,0,0,0,0
30,45239,1503,0,0,0,0,0
30,45745,1564,0,0,0,0,0
