Pallet: "pallet_contracts", Extrinsic: "on_initialize", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
2410,1255,0,0,0,0,0
1799,930,0,0,0,0,0
1718,940,0,0,0,0,0
1781,902,0,0,0,0,0
1759,949,0,0,0,0,0
1632,917,0,0,0,0,0
1666,923,0,0,0,0,0
1681,914,0,0,0,0,0
1659,895,0,0,0,0,0
1731,898,0,0,0,0,0
1655,894,0,0,0,0,0
1667,898,0,0,0,0,0
1630,919,0,0,0,0,0
1625,903,0,0,0,0,0
16726,964,0,0,0,0,0
1651,905,0,0,0,0,0
1661,871,0,0,0,0,0
1674,901,0,0,0,0,0
1703,927,0,0,0,0,0
1727,903,0,0,0,0,0

Raw Storage Info
========
Storage: Contracts DeletionQueue (r:1 w:0)

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    1.681
              µs

Reads = 1
Writes = 0

Min Squares Analysis
========
-- Extrinsic Time --

Model:
Time ~=    1.681
              µs

Reads = 1
Writes = 0

Pallet: "pallet_contracts", Extrinsic: "on_initialize_per_trie_key", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
k,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
0,11929,1474,0,0,0,0,0
0,10023,1381,0,0,0,0,0
0,10101,1443,0,0,0,0,0
0,9845,1413,0,0,0,0,0
0,10167,1494,0,0,0,0,0
0,10038,1425,0,0,0,0,0
0,9866,1425,0,0,0,0,0
0,10023,1413,0,0,0,0,0
0,10001,1501,0,0,0,0,0
0,9901,1418,0,0,0,0,0
0,9809,1496,0,0,0,0,0
0,10023,1421,0,0,0,0,0
0,10007,1460,0,0,0,0,0
0,9859,1448,0,0,0,0,0
0,9991,1459,0,0,0,0,0
0,9928,1403,0,0,0,0,0
0,9927,1511,0,0,0,0,0
0,9681,1388,0,0,0,0,0
0,10067,1446,0,0,0,0,0
0,9816,1435,0,0,0,0,0
20,27217,2050,0,0,0,0,0
20,26818,1684,0,0,0,0,0
20,26340,1671,0,0,0,0,0
20,26153,1648,0,0,0,0,0
20,25794,1574,0,0,0,0,0
20,25720,1619,0,0,0,0,0
20,26051,1614,0,0,0,0,0
20,26211,1660,0,0,0,0,0
20,26186,1590,0,0,0,0,0
20,25999,1619,0,0,0,0,0
20,26204,1630,0,0,0,0,0
20,26125,1645,0,0,0,0,0
20,25860,1635,0,0,0,0,0
20,25778,1607,0,0,0,0,0
20,25829,1617,0,0,0,0,0
20,25956,1542,0,0,0,0,0
20,26099,1653,0,0,0,0,0
20,26276,1561,0,0,0,0,0
20,26393,1592,0,0,0,0,0
20,26485,1595,0,0,0,0,0
40,41321,1919,0,0,0,0,0
40,39472,1660,0,0,0,0,0
40,40139,1665,0,0,0,0,0
40,40736,1652,0,0,0,0,0
40,40714,1695,0,0,0,0,0
40,40060,1644,0,0,0,0,0
40,40494,1619,0,0,0,0,0
40,39748,1629,0,0,0,0,0
40,40135,1696,0,0,0,0,0
40,39990,1682,0,0,0,0,0
40,40276,1582,0,0,0,0,0
40,39795,1655,0,0,0,0,0
40,40100,1685,0,0,0,0,0
40,40398,1667,0,0,0,0,0
40,40149,1664,0,0,0,0,0
40,40281,1671,0,0,0,0,0
40,40903,1616,0,0,0,0,0
40,39778,1621,0,0,0,0,0
40,40323,1627,0,0,0,0,0
40,40707,1671,0,0,0,0,0
60,54956,1926,0,0,0,0,0
60,54138,1703,0,0,0,0,0
60,52544,1624,0,0,0,0,0
60,53038,1666,0,0,0,0,0
60,51970,1669,0,0,0,0,0
60,52984,1665,0,0,0,0,0
60,65484,1660,0,0,0,0,0
60,52654,1631,0,0,0,0,0
60,52469,1631,0,0,0,0,0
60,52117,1666,0,0,0,0,0
60,52629,1661,0,0,0,0,0
60,53107,1639,0,0,0,0,0
60,53822,1688,0,0,0,0,0
