Pallet: "pallet_democracy", Extrinsic: "propose", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
43230,1749,0,0,0,0,0
42101,1597,0,0,0,0,0
42677,1623,0,0,0,0,0
42885,1580,0,0,0,0,0
42721,1575,0,0,0,0,0
42436,1720,0,0,0,0,0
41753,1589,0,0,0,0,0
42725,1578,0,0,0,0,0
42364,1564,0,0,0,0,0
42450,1597,0,0,0,0,0
42459,1615,0,0,0,0,0
42085,1552,0,0,0,0,0
42903,1548,0,0,0,0,0
42315,1584,0,0,0,0,0
42160,1612,0,0,0,0,0
41870,1630,0,0,0,0,0
42352,1557,0,0,0,0,0
43006,1578,0,0,0,0,0
42597,1620,0,0,0,0,0
42427,1607,0,0,0,0,0

Raw Storage Info
========
Storage: Democracy PublicPropCount (r:1 w:1)
Storage: Democracy PublicProps (r:1 w:1)
Storage: Democracy Blacklist (r:1 w:0)
Storage: Democracy DepositOf (r:0 w:1)

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    42.45
              µs

Reads = 3
Writes = 3

Min Squares Analysis
========
-- Extrinsic Time --

Model:
Time ~=    42.45
              µs

Reads = 3
Writes = 3

Pallet: "pallet_democracy", Extrinsic: "second", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
s,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
0,26545,1499,0,0,0,0,0
0,24626,1449,0,0,0,0,0
0,24452,1381,0,0,0,0,0
0,24469,1438,0,0,0,0,0
0,24729,1373,0,0,0,0,0
0,24013,1421,0,0,0,0,0
0,23939,1407,0,0,0,0,0
0,24223,1384,0,0,0,0,0
0,24648,14039,0,0,0,0,0
0,23985,1385,0,0,0,0,0
0,39489,1423,0,0,0,0,0
0,23953,1383,0,0,0,0,0
0,24616,1344,0,0,0,0,0
0,23920,1351,0,0,0,0,0
0,24010,1346,0,0,0,0,0
0,23532,1371,0,0,0,0,0
0,23975,1283,0,0,0,0,0
0,26125,1345,0,0,0,0,0
0,24582,1393,0,0,0,0,0
0,24071,1441,0,0,0,0,0
2,26539,1616,0,0,0,0,0
2,25397,1488,0,0,0,0,0
2,25136,1446,0,0,0,0,0
2,25416,1462,0,0,0,0,0
2,25439,1444,0,0,0,0,0
2,24757,1417,0,0,0,0,0
2,25139,1397,0,0,0,0,0
2,25062,1560,0,0,0,0,0
2,25548,1416,0,0,0,0,0
2,25063,1465,0,0,0,0,0
2,24980,1442,0,0,0,0,0
2,24943,1480,0,0,0,0,0
2,25160,1420,0,0,0,0,0
2,24943,1418,0,0,0,0,0
2,24808,1405,0,0,0,0,0
2,24089,1351,0,0,0,0,0
2,24229,1437,0,0,0,0,0
2,24563,1444,0,0,0,0,0
2,24359,1418,0,0,0,0,0
2,24495,1391,0,0,0,0,0
4,27067,1581,0,0,0,0,0
4,26125,1426,0,0,0,0,0
4,25810,1409,0,0,0,0,0
