Pallet: "pallet_elections_phragmen", Extrinsic: "vote_equal", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
v,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
1,23775,1480,0,0,0,0,0
1,22999,1381,0,0,0,0,0
1,23068,1407,0,0,0,0,0
1,22529,1283,0,0,0,0,0
1,22697,1400,0,0,0,0,0
1,22531,1422,0,0,0,0,0
1,22847,1372,0,0,0,0,0
1,22616,1428,0,0,0,0,0
1,22562,1346,0,0,0,0,0
1,22623,1402,0,0,0,0,0
1,22701,1429,0,0,0,0,0
1,22676,1339,0,0,0,0,0
1,22792,1370,0,0,0,0,0
1,22465,1412,0,0,0,0,0
1,22461,1354,0,0,0,0,0
1,22842,1384,0,0,0,0,0
1,22667,1405,0,0,0,0,0
1,22545,1408,0,0,0,0,0
1,22620,1431,0,0,0,0,0
1,22571,1365,0,0,0,0,0
2,24039,1561,0,0,0,0,0
2,23721,1408,0,0,0,0,0
2,23225,1406,0,0,0,0,0
2,23542,1426,0,0,0,0,0
2,22989,1381,0,0,0,0,0
2,22875,1439,0,0,0,0,0
2,23575,1337,0,0,0,0,0
2,23424,1420,0,0,0,0,0
2,23141,1434,0,0,0,0,0
2,23194,1449,0,0,0,0,0
2,23116,1389,0,0,0,0,0
2,23541,1422,0,0,0,0,0
2,23487,1396,0,0,0,0,0
2,23267,1386,0,0,0,0,0
2,23158,1393,0,0,0,0,0
2,22965,1409,0,0,0,0,0
2,23136,1381,0,0,0,0,0
2,22937,1409,0,0,0,0,0
2,23330,1372,0,0,0,0,0
2,23141,1412,0,0,0,0,0
3,24832,1643,0,0,0,0,0
3,24571,1380,0,0,0,0,0
3,24443,1376,0,0,0,0,0
3,23965,1434,0,0,0,0,0
3,24468,1472,0,0,0,0,0
3,24252,1393,0,0,0,0,0
3,24034,1389,0,0,0,0,0
3,24265,1485,0,0,0,0,0
3,24299,1472,0,0,0,0,0
3,24554,1402,0,0,0,0,0
3,24425,1488,0,0,0,0,0
3,24190,1390,0,0,0,0,0
3,24227,1416,0,0,0,0,0
3,24082,1407,0,0,0,0,0
3,24165,1398,0,0,0,0,0
3,24349,1452,0,0,0,0,0
3,24639,1462,0,0,0,0,0
3,24408,1422,0,0,0,0,0
3,24347,1459,0,0,0,0,0
3,24502,1413,0,0,0,0,0
4,24809,1467,0,0,0,0,0
4,24701,1402,0,0,0,0,0
4,24162,1389,0,0,0,0,0
4,24117,1400,0,0,0,0,0
4,23926,1370,0,0,0,0,0
4,24063,1415,0,0,0,0,0
4,24467,1419,0,0,0,0,0
4,24155,1417,0,0,0,0,0
4,24283,1403,0,0,0,0,0
4,23879,1407,0,0,0,0,0
4,23932,1411,0,0,0,0,0
4,24334,1405,0,0,0,0,0
4,23848,1402,0,0,0,0,0
4,23979,1436,0,0,0,0,0
4,24217,1421,0,0,0,0,0
4,24060,1438,0,0,0,0,0
4,24097,1426,0,0,0,0,0
4,24256,1485,0,0,0,0,0
4,24006,1426,0,0,0,0,0
4,24168,1324,0,0,0,0,0
5,25182,1525,0,0,0,0,0
5,25051,1391,0,0,0,0,0
5,24104,1383,0,0,0,0,0
5,24323,1412,0,0,0,0,0
5,24124,1484,0,0,0,0,0
5,24389,1425,0,0,0,0,0
5,24180,1416,0,0,0,0,0
5,24566,1291,0,0,0,0,0
5,24536,1384,0,0,0,0,0
5,24324,1430,0,0,0,0,0
5,24254,1413,0,0,0,0,0
5,24260,1360,0,0,0,0,0
5,24409,1339,0,0,0,0,0
5,24295,1409,0,0,0,0,0
5,24278,1360,0,0,0,0,0
5,24023,1477,0,0,0,0,0
5,24310,1411,0,0,0,0,0
5,24351,1429,0,0,0,0,0
5,24235,1370,0,0,0,0,0
5,24196,1382,0,0,0,0,0
6,26400,1605,0,0,0,0,0
6,25157,1425,0,0,0,0,0
