Pallet: "pallet_gilt", Extrinsic: "place_bid", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
l,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
0,42058,1579,0,0,0,0,0
0,34283,1459,0,0,0,0,0
0,31737,1458,0,0,0,0,0
0,31567,1484,0,0,0,0,0
0,31284,1427,0,0,0,0,0
0,31370,1477,0,0,0,0,0
0,31719,1457,0,0,0,0,0
0,30783,1469,0,0,0,0,0
0,31591,1425,0,0,0,0,0
0,31101,1410,0,0,0,0,0
0,31176,1385,0,0,0,0,0
0,31489,1458,0,0,0,0,0
0,31334,1407,0,0,0,0,0
0,31067,1455,0,0,0,0,0
0,31373,1437,0,0,0,0,0
0,31498,1375,0,0,0,0,0
0,31474,1434,0,0,0,0,0
0,33251,1376,0,0,0,0,0
0,31077,1399,0,0,0,0,0
0,31258,1417,0,0,0,0,0
19,38521,1771,0,0,0,0,0
19,36251,1542,0,0,0,0,0
19,35401,1520,0,0,0,0,0
19,35094,1482,0,0,0,0,0
19,35327,1488,0,0,0,0,0
19,34616,1525,0,0,0,0,0
19,35322,1552,0,0,0,0,0
19,36068,1574,0,0,0,0,0
19,35706,1490,0,0,0,0,0
19,35290,1542,0,0,0,0,0
19,35074,1493,0,0,0,0,0
19,34848,1510,0,0,0,0,0
19,35046,1519,0,0,0,0,0
19,35307,1503,0,0,0,0,0
19,35493,1479,0,0,0,0,0
19,35171,1498,0,0,0,0,0
19,44141,1504,0,0,0,0,0
19,35307,1521,0,0,0,0,0
19,35011,1512,0,0,0,0,0
19,35479,1496,0,0,0,0,0
38,42166,1563,0,0,0,0,0
38,37887,1487,0,0,0,0,0
38,38122,1477,0,0,0,0,0
38,37760,1499,0,0,0,0,0
38,37244,1445,0,0,0,0,0
38,38116,1448,0,0,0,0,0
38,38120,1423,0,0,0,0,0
38,37155,1481,0,0,0,0,0
38,37856,1524,0,0,0,0,0
38,37842,1492,0,0,0,0,0
38,36629,1464,0,0,0,0,0
38,37772,1424,0,0,0,0,0
38,37626,1477,0,0,0,0,0
38,38095,1580,0,0,0,0,0
38,37848,1481,0,0,0,0,0
38,37315,1454,0,0,0,0,0
38,37722,1448,0,0,0,0,0
38,39424,1374,0,0,0,0,0
38,38032,1429,0,0,0,0,0
