Pallet: "pallet_identity", Extrinsic: "add_registrar", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
r,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
1,14084,1486,0,0,0,0,0
1,12497,1261,0,0,0,0,0
1,12527,1293,0,0,0,0,0
1,12019,1303,0,0,0,0,0
1,12366,1248,0,0,0,0,0
1,11884,1270,0,0,0,0,0
1,12293,1277,0,0,0,0,0
1,12171,1248,0,0,0,0,0
1,12208,1226,0,0,0,0,0
1,11880,1244,0,0,0,0,0
1,11979,1232,0,0,0,0,0
1,11956,1248,0,0,0,0,0
1,11961,1185,0,0,0,0,0
1,11914,1198,0,0,0,0,0
1,11814,1222,0,0,0,0,0
1,11699,1260,0,0,0,0,0
1,11647,1231,0,0,0,0,0
1,12138,1228,0,0,0,0,0
1,11920,1223,0,0,0,0,0
1,11795,1193,0,0,0,0,0
2,14759,1533,0,0,0,0,0
2,13363,1410,0,0,0,0,0
2,13239,1362,0,0,0,0,0
2,13210,1371,0,0,0,0,0
2,13260,1366,0,0,0,0,0
2,12856,1346,0,0,0,0,0
2,13123,1307,0,0,0,0,0
2,12899,1370,0,0,0,0,0
2,13186,1402,0,0,0,0,0
2,12739,1360,0,0,0,0,0
2,12928,1354,0,0,0,0,0
2,12919,1361,0,0,0,0,0
2,13078,1317,0,0,0,0,0
2,13144,1326,0,0,0,0,0
2,12971,1386,0,0,0,0,0
2,13218,1335,0,0,0,0,0
2,13022,1351,0,0,0,0,0
2,15177,1288,0,0,0,0,0
2,13119,1297,0,0,0,0,0
2,12902,1345,0,0,0,0,0
3,15731,1527,0,0,0,0,0
3,13779,1371,0,0,0,0,0
3,13358,1340,0,0,0,0,0
3,13867,1314,0,0,0,0,0
3,14044,1343,0,0,0,0,0
3,13648,1324,0,0,0,0,0
3,13583,1303,0,0,0,0,0
3,13779,1312,0,0,0,0,0
3,13895,1300,0,0,0,0,0
3,13591,1319,0,0,0,0,0
3,13923,1420,0,0,0,0,0
3,13691,1398,0,0,0,0,0
3,13845,1357,0,0,0,0,0
3,13568,1305,0,0,0,0,0
3,13652,1369,0,0,0,0,0
3,13598,1352,0,0,0,0,0
3,13659,1351,0,0,0,0,0
3,15819,1347,0,0,0,0,0
3,13717,1376,0,0,0,0,0
3,13776,1368,0,0,0,0,0
4,15596,1593,0,0,0,0,0
4,14267,1492,0,0,0,0,0
4,14237,1416,0,0,0,0,0
4,14031,1392,0,0,0,0,0
4,14300,1343,0,0,0,0,0
4,14216,1386,0,0,0,0,0
4,15062,1390,0,0,0,0,0
4,14313,1402,0,0,0,0,0
4,18503,1420,0,0,0,0,0
4,15743,1309,0,0,0,0,0
4,13806,1354,0,0,0,0,0
4,13897,1329,0,0,0,0,0
4,14067,1376,0,0,0,0,0
