Pallet: "pallet_im_online", Extrinsic: "validate_unsigned_and_then_heartbeat", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
k,e,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
1,100,115255,1506,0,0,0,0,0
1,100,103478,1404,0,0,0,0,0
1,100,103669,1438,0,0,0,0,0
1,100,103295,1474,0,0,0,0,0
1,100,103484,1365,0,0,0,0,0
1,100,102222,1391,0,0,0,0,0
1,100,103504,1441,0,0,0,0,0
1,100,102074,1370,0,0,0,0,0
1,100,102822,1398,0,0,0,0,0
1,100,102819,1321,0,0,0,0,0
1,100,102577,1407,0,0,0,0,0
1,100,102676,1413,0,0,0,0,0
1,100,116495,1292,0,0,0,0,0
1,100,102461,1356,0,0,0,0,0
1,100,103011,1348,0,0,0,0,0
1,100,102996,1391,0,0,0,0,0
1,100,102851,1405,0,0,0,0,0
1,100,103571,1355,0,0,0,0,0
1,100,103467,1423,0,0,0,0,0
1,100,102705,1326,0,0,0,0,0
20,100,114411,1586,0,0,0,0,0
20,100,104653,1444,0,0,0,0,0
20,100,103657,1417,0,0,0,0,0
20,100,102839,1353,0,0,0,0,0
20,100,150964,1467,0,0,0,0,0
20,100,104350,1433,0,0,0,0,0
20,100,103646,1430,0,0,0,0,0
20,100,104102,1450,0,0,0,0,0
20,100,106758,1455,0,0,0,0,0
20,100,104671,1473,0,0,0,0,0
20,100,106290,1391,0,0,0,0,0
20,100,103911,1389,0,0,0,0,0
20,100,103372,1504,0,0,0,0,0
20,100,103828,1442,0,0,0,0,0
20,100,103719,1450,0,0,0,0,0
20,100,103639,1515,0,0,0,0,0
20,100,105934,1534,0,0,0,0,0
20,100,106123,1519,0,0,0,0,0
20,100,103176,1501,0,0,0,0,0
20,100,104287,1375,0,0,0,0,0
39,100,118687,1596,0,0,0,0,0
39,100,107558,1437,0,0,0,0,0
39,100,106891,1412,0,0,0,0,0
39,100,108052,1509,0,0,0,0,0
39,100,108018,1379,0,0,0,0,0
39,100,107550,1449,0,0,0,0,0
39,100,107536,1479,0,0,0,0,0
39,100,107645,1538,0,0,0,0,0
39,100,109356,1536,0,0,0,0,0
39,100,108556,1491,0,0,0,0,0
39,100,140217,1489,0,0,0,0,0
39,100,108282,1488,0,0,0,0,0
39,100,107710,1432,0,0,0,0,0
39,100,107321,1437,0,0,0,0,0
39,100,109989,1496,0,0,0,0,0
39,100,123985,1499,0,0,0,0,0
39,100,123025,1443,0,0,0,0,0
39,100,109182,1461,0,0,0,0,0
39,100,108169,1425,0,0,0,0,0
39,100,107513,1453,0,0,0,0,0
58,100,121211,1571,0,0,0,0,0
58,100,110512,1422,0,0,0,0,0
58,100,109575,1482,0,0,0,0,0
58,100,109666,1521,0,0,0,0,0
58,100,110509,1426,0,0,0,0,0
58,100,110131,1492,0,0,0,0,0
58,100,112238,1550,0,0,0,0,0
58,100,111351,1546,0,0,0,0,0
58,100,110178,1407,0,0,0,0,0
58,100,110012,1409,0,0,0,0,0
58,100,112346,1493,0,0,0,0,0
58,100,111531,1496,0,0,0,0,0
58,100,110524,1378,0,0,0,0,0
58,100,110240,1476,0,0,0,0,0
58,100,125440,1475,0,0,0,0,0
58,100,110191,1477,0,0,0,0,0
58,100,110437,1551,0,0,0,0,0
58,100,112164,1436,0,0,0,0,0
58,100,110341,1559,0,0,0,0,0
58,100,109865,1476,0,0,0,0,0
77,100,125649,1753,0,0,0,0,0
77,100,112503,1496,0,0,0,0,0
77,100,112799,1448,0,0,0,0,0
77,100,112819,1506,0,0,0,0,0
77,100,113097,1454,0,0,0,0,0
77,100,113494,1476,0,0,0,0,0
77,100,113627,1461,0,0,0,0,0
77,100,113100,1520,0,0,0,0,0
77,100,112212,1412,0,0,0,0,0
77,100,113335,1514,0,0,0,0,0
77,100,113170,1552,0,0,0,0,0
77,100,113029,1429,0,0,0,0,0
77,100,112559,1380,0,0,0,0,0
77,100,113167,1496,0,0,0,0,0
77,100,113467,1465,0,0,0,0,0
77,100,113193,1417,0,0,0,0,0
77,100,114746,1505,0,0,0,0,0
77,100,112974,1511,0,0,0,0,0
77,100,113706,1479,0,0,0,0,0
77,100,112644,1474,0,0,0,0,0
96,100,125338,1634,0,0,0,0,0
96,100,115203,1507,0,0,0,0,0
96,100,117612,1566,0,0,0,0,0
96,100,115136,1582,0,0,0,0,0
96,100,115502,1559,0,0,0,0,0
96,100,115525,1497,0,0,0,0,0
96,100,115744,1509,0,0,0,0,0
96,100,115422,1514,0,0,0,0,0
96,100,114667,1459,0,0,0,0,0
96,100,115089,1488,0,0,0,0,0
96,100,115495,1466,0,0,0,0,0
96,100,116196,1424,0,0,0,0,0
96,100,116135,1510,0,0,0,0,0
96,100,116144,1550,0,0,0,0,0
96,100,115024,1537,0,0,0,0,0
96,100,116440,1527,0,0,0,0,0
96,100,116330,1448,0,0,0,0,0
96,100,115783,1478,0,0,0,0,0
96,100,116051,1515,0,0,0,0,0
96,100,116215,1511,0,0,0,0,0
115,100,127630,1617,0,0,0,0,0
115,100,118448,1541,0,0,0,0,0
115,100,118094,1470,0,0,0,0,0
115,100,120856,1521,0,0,0,0,0
115,100,118275,1429,0,0,0,0,0
115,100,117774,1539,0,0,0,0,0
115,100,117672,1487,0,0,0,0,0
115,100,119662,1600,0,0,0,0,0
115,100,118338,1473,0,0,0,0,0
115,100,117137,1509,0,0,0,0,0
115,100,117970,1589,0,0,0,0,0
115,100,118108,1467,0,0,0,0,0
115,100,118698,1549,0,0,0,0,0
115,100,117922,1463,0,0,0,0,0
115,100,118013,1544,0,0,0,0,0
115,100,117419,1535,0,0,0,0,0
115,100,118120,1524,0,0,0,0,0
115,100,118912,1478,0,0,0,0,0
115,100,119510,1563,0,0,0,0,0
115,100,117945,1520,0,0,0,0,0
134,100,128827,1667,0,0,0,0,0
134,100,120857,1544,0,0,0,0,0
134,100,121100,1543,0,0,0,0,0
134,100,120626,1531,0,0,0,0,0
134,100,120405,1558,0,0,0,0,0
134,100,121889,1557,0,0,0,0,0
134,100,120893,1614,0,0,0,0,0
134,100,120337,1511,0,0,0,0,0
134,100,121126,1501,0,0,0,0,0
134,100,120530,1614,0,0,0,0,0
134,100,119740,1518,0,0,0,0,0
134,100,120020,1536,0,0,0,0,0
134,100,119911,1475,0,0,0,0,0
134,100,120442,1459,0,0,0,0,0
134,100,122843,1562,0,0,0,0,0
134,100,119122,1485,0,0,0,0,0
134,100,123000,1549,0,0,0,0,0
134,100,121599,1542,0,0,0,0,0
134,100,120663,1463,0,0,0,0,0
134,100,121237,1467,0,0,0,0,0
153,100,131300,1668,0,0,0,0,0
153,100,123200,1532,0,0,0,0,0
153,100,126200,1498,0,0,0,0,0
153,100,123349,1553,0,0,0,0,0
153,100,158197,1495,0,0,0,0,0
153,100,123283,1540,0,0,0,0,0
153,100,123749,1604,0,0,0,0,0
153,100,123486,1571,0,0,0,0,0
153,100,126876,1555,0,0,0,0,0
153,100,125570,1576,0,0,0,0,0
153,100,122673,1540,0,0,0,0,0
153,100,122700,1519,0,0,0,0,0
153,100,123292,1527,0,0,0,0,0
153,100,125923,1581,0,0,0,0,0
153,100,124419,1551,0,0,0,0,0
153,100,123775,1550,0,0,0,0,0
153,100,123242,1560,0,0,0,0,0
153,100,122686,1554,0,0,0,0,0
153,100,122473,1457,0,0,0,0,0
153,100,123257,1575,0,0,0,0,0
172,100,133234,1666,0,0,0,0,0
172,100,125702,1536,0,0,0,0,0
172,100,125948,1565,0,0,0,0,0
172,100,128288,1527,0,0,0,0,0
172,100,129352,1638,0,0,0,0,0
172,100,126106,1553,0,0,0,0,0
172,100,126689,1534,0,0,0,0,0
172,100,125761,1510,0,0,0,0,0
172,100,125859,1527,0,0,0,0,0
172,100,125315,1543,0,0,0,0,0
172,100,127131,1630,0,0,0,0,0
172,100,125728,1500,0,0,0,0,0
172,100,124921,1538,0,0,0,0,0
172,100,124725,1547,0,0,0,0,0
172,100,125489,1537,0,0,0,0,0
172,100,124702,1563,0,0,0,0,0
172,100,125131,1560,0,0,0,0,0
172,100,127601,1547,0,0,0,0,0
172,100,127774,1483,0,0,0,0,0
172,100,125383,1536,0,0,0,0,0
191,100,137244,1982,0,0,0,0,0
191,100,132050,1611,0,0,0,0,0
191,100,131295,1600,0,0,0,0,0
191,100,132358,1536,0,0,0,0,0
191,100,128053,1504,0,0,0,0,0
191,100,128520,1553,0,0,0,0,0
191,100,127991,1476,0,0,0,0,0
191,100,128607,1526,0,0,0,0,0
191,100,143799,1642,0,0,0,0,0
191,100,130055,1562,0,0,0,0,0
191,100,128855,1589,0,0,0,0,0
191,100,128324,1502,0,0,0,0,0
191,100,128250,1508,0,0,0,0,0
191,100,127228,1514,0,0,0,0,0
191,100,127197,1546,0,0,0,0,0
191,100,128000,1577,0,0,0,0,0
191,100,128654,1482,0,0,0,0,0
191,100,127854,1576,0,0,0,0,0
191,100,128548,1491,0,0,0,0,0
191,100,128741,1523,0,0,0,0,0
210,100,139389,1757,0,0,0,0,0
210,100,130971,1459,0,0,0,0,0
210,100,129289,1601,0,0,0,0,0
210,100,130230,1506,0,0,0,0,0
210,100,129687,1617,0,0,0,0,0
210,100,130020,1596,0,0,0,0,0
210,100,130163,1606,0,0,0,0,0
210,100,130621,1498,0,0,0,0,0
210,100,131576,1580,0,0,0,0,0
210,100,131361,1572,0,0,0,0,0
210,100,129681,1498,0,0,0,0,0
210,100,131265,1532,0,0,0,0,0
210,100,130670,1494,0,0,0,0,0
210,100,130312,1540,0,0,0,0,0
210,100,130341,1529,0,0,0,0,0
210,100,129502,1542,0,0,0,0,0
210,100,131064,1506,0,0,0,0,0
210,100,131090,1481,0,0,0,0,0
210,100,131032,1541,0,0,0,0,0
210,100,129987,1552,0,0,0,0,0
229,100,145285,1804,0,0,0,0,0
229,100,134162,1551,0,0,0,0,0
229,100,133148,1495,0,0,0,0,0
229,100,133872,1527,0,0,0,0,0
229,100,133135,1578,0,0,0,0,0
229,100,133510,1544,0,0,0,0,0
229,100,132905,1551,0,0,0,0,0
229,100,134089,1525,0,0,0,0,0
229,100,132109,1549,0,0,0,0,0
229,100,133543,1507,0,0,0,0,0
229,100,134292,1519,0,0,0,0,0
229,100,132825,1515,0,0,0,0,0
229,100,133102,1487,0,0,0,0,0
229,100,133536,1570,0,0,0,0,0
229,100,134222,1547,0,0,0,0,0
229,100,133657,1617,0,0,0,0,0
229,100,133306,1523,0,0,0,0,0
229,100,133680,1574,0,0,0,0,0
229,100,132930,1582,0,0,0,0,0
229,100,132299,1499,0,0,0,0,0
248,100,144159,1678,0,0,0,0,0
248,100,136266,1638,0,0,0,0,0
248,100,135918,1604,0,0,0,0,0
248,100,135101,1556,0,0,0,0,0
248,100,135691,1568,0,0,0,0,0
248,100,135438,1584,0,0,0,0,0
248,100,135722,1587,0,0,0,0,0
248,100,136057,1572,0,0,0,0,0
248,100,135013,1536,0,0,0,0,0
248,100,141935,1509,0,0,0,0,0
248,100,134700,1545,0,0,0,0,0
248,100,135589,1561,0,0,0,0,0
248,100,135297,1587,0,0,0,0,0
248,100,134671,1556,0,0,0,0,0
248,100,136003,1618,0,0,0,0,0
248,100,135942,1545,0,0,0,0,0
248,100,135353,1542,0,0,0,0,0
248,100,135863,1583,0,0,0,0,0
248,100,134567,1504,0,0,0,0,0
248,100,136234,1504,0,0,0,0,0
267,100,148289,2075,0,0,0,0,0
267,100,139002,1601,0,0,0,0,0
267,100,137282,1573,0,0,0,0,0
267,100,137447,1548,0,0,0,0,0
267,100,137691,1626,0,0,0,0,0
267,100,137626,1608,0,0,0,0,0
267,100,138217,1584,0,0,0,0,0
267,100,138558,1595,0,0,0,0,0
267,100,138598,1648,0,0,0,0,0
267,100,137498,1596,0,0,0,0,0
267,100,137534,1567,0,0,0,0,0
267,100,137963,1536,0,0,0,0,0
267,100,137092,1564,0,0,0,0,0
267,100,138174,1596,0,0,0,0,0
267,100,137905,1525,0,0,0,0,0
267,100,138491,1546,0,0,0,0,0
267,100,137343,1660,0,0,0,0,0
267,100,138314,1568,0,0,0,0,0
267,100,138064,1582,0,0,0,0,0
267,100,137403,1576,0,0,0,0,0
286,100,153304,1803,0,0,0,0,0
286,100,141465,1503,0,0,0,0,0
286,100,139653,1561,0,0,0,0,0
286,100,140092,1541,0,0,0,0,0
286,100,139305,1516,0,0,0,0,0
286,100,140421,1535,0,0,0,0,0
286,100,140873,1557,0,0,0,0,0
286,100,138973,1569,0,0,0,0,0
286,100,145034,1512,0,0,0,0,0
286,100,139564,1524,0,0,0,0,0
286,100,141806,1520,0,0,0,0,0
286,100,140055,1616,0,0,0,0,0
286,100,140761,1569,0,0,0,0,0
286,100,138820,1530,0,0,0,0,0
286,100,140225,1536,0,0,0,0,0
286,100,139577,1533,0,0,0,0,0
286,100,139853,1485,0,0,0,0,0
286,100,139636,1526,0,0,0,0,0
286,100,140297,1569,0,0,0,0,0
286,100,140186,1571,0,0,0,0,0
305,100,155225,1830,0,0,0,0,0
305,100,143991,1653,0,0,0,0,0
305,100,144484,1634,0,0,0,0,0
305,100,142409,1572,0,0,0,0,0
305,100,143410,1640,0,0,0,0,0
305,100,142050,1582,0,0,0,0,0
305,100,142653,1532,0,0,0,0,0
305,100,142465,1531,0,0,0,0,0
305,100,142945,1600,0,0,0,0,0
305,100,142723,1541,0,0,0,0,0
305,100,142972,1561,0,0,0,0,0
305,100,143620,1552,0,0,0,0,0
305,100,142067,1505,0,0,0,0,0
305,100,141879,1554,0,0,0,0,0
305,100,143447,1495,0,0,0,0,0
305,100,143045,1584,0,0,0,0,0
305,100,141738,1496,0,0,0,0,0
305,100,145660,1518,0,0,0,0,0
305,100,142445,1582,0,0,0,0,0
305,100,142170,1544,0,0,0,0,0
324,100,157884,1672,0,0,0,0,0
324,100,148440,1594,0,0,0,0,0
324,100,145376,1611,0,0,0,0,0
324,100,145590,1566,0,0,0,0,0
324,100,144952,1463,0,0,0,0,0
324,100,145606,1576,0,0,0,0,0
324,100,145067,1532,0,0,0,0,0
324,100,145456,1537,0,0,0,0,0
324,100,152260,2043,0,0,0,0,0
324,100,147351,1575,0,0,0,0,0
324,100,145631,1549,0,0,0,0,0
324,100,145471,1527,0,0,0,0,0
324,100,149837,1672,0,0,0,0,0
324,100,146677,1480,0,0,0,0,0
324,100,144810,1380,0,0,0,0,0
324,100,145019,1529,0,0,0,0,0
324,100,144831,1620,0,0,0,0,0
324,100,144135,1438,0,0,0,0,0
324,100,144179,1569,0,0,0,0,0
324,100,144371,1518,0,0,0,0,0
343,100,160521,1671,0,0,0,0,0
343,100,150040,1590,0,0,0,0,0
343,100,148780,1545,0,0,0,0,0
343,100,148198,1602,0,0,0,0,0
343,100,147288,1572,0,0,0,0,0
343,100,150114,1611,0,0,0,0,0
343,100,146311,1533,0,0,0,0,0
343,100,147554,1606,0,0,0,0,0
343,100,147605,1548,0,0,0,0,0
343,100,147584,1506,0,0,0,0,0
343,100,147092,1493,0,0,0,0,0
343,100,146998,1552,0,0,0,0,0
343,100,151535,1840,0,0,0,0,0
343,100,148234,1534,0,0,0,0,0
343,100,147926,1594,0,0,0,0,0
343,100,148976,1512,0,0,0,0,0
343,100,148234,1592,0,0,0,0,0
343,100,147095,1541,0,0,0,0,0
343,100,147259,1580,0,0,0,0,0
343,100,150389,1513,0,0,0,0,0
362,100,162374,1707,0,0,0,0,0
362,100,150819,1459,0,0,0,0,0
362,100,150948,1588,0,0,0,0,0
362,100,149716,1582,0,0,0,0,0
362,100,150243,1604,0,0,0,0,0
362,100,149055,1560,0,0,0,0,0
362,100,149387,1589,0,0,0,0,0
362,100,149994,1503,0,0,0,0,0
362,100,150334,1630,0,0,0,0,0
362,100,156886,1582,0,0,0,0,0
362,100,149653,1491,0,0,0,0,0
362,100,150096,1620,0,0,0,0,0
362,100,149746,1524,0,0,0,0,0
362,100,150565,1513,0,0,0,0,0
362,100,150259,1542,0,0,0,0,0
362,100,150118,1573,0,0,0,0,0
362,100,150548,1501,0,0,0,0,0
362,100,150500,1591,0,0,0,0,0
362,100,151007,1588,0,0,0,0,0
362,100,150831,1533,0,0,0,0,0
381,100,178719,1811,0,0,0,0,0
381,100,153421,1577,0,0,0,0,0
381,100,153974,1581,0,0,0,0,0
381,100,151620,1516,0,0,0,0,0
381,100,151402,1604,0,0,0,0,0
381,100,154105,1572,0,0,0,0,0
381,100,151577,1554,0,0,0,0,0
381,100,152663,1581,0,0,0,0,0
381,100,152305,1583,0,0,0,0,0
381,100,153318,1590,0,0,0,0,0
381,100,155063,1612,0,0,0,0,0
381,100,152799,1554,0,0,0,0,0
381,100,152815,1556,0,0,0,0,0
381,100,152287,1566,0,0,0,0,0
381,100,152587,1520,0,0,0,0,0
381,100,152068,1574,0,0,0,0,0
381,100,153106,1580,0,0,0,0,0
381,100,152779,1572,0,0,0,0,0
381,100,153111,1510,0,0,0,0,0
381,100,157415,1581,0,0,0,0,0
400,100,169008,1830,0,0,0,0,0
400,100,156820,1561,0,0,0,0,0
400,100,170754,1656,0,0,0,0,0
400,100,158082,1593,0,0,0,0,0
400,100,154758,1552,0,0,0,0,0
400,100,155508,1516,0,0,0,0,0
400,100,154754,1502,0,0,0,0,0
400,100,158015,1549,0,0,0,0,0
400,100,156981,1529,0,0,0,0,0
400,100,154889,1539,0,0,0,0,0
400,100,154819,1570,0,0,0,0,0
400,100,154359,1619,0,0,0,0,0
400,100,154979,1494,0,0,0,0,0
400,100,154796,1606,0,0,0,0,0
400,100,154684,1558,0,0,0,0,0
400,100,155922,1559,0,0,0,0,0
400,100,154270,1584,0,0,0,0,0
400,100,154214,1568,0,0,0,0,0
400,100,154986,1568,0,0,0,0,0
400,100,154659,1516,0,0,0,0,0
419,100,169947,2147,0,0,0,0,0
419,100,160698,1642,0,0,0,0,0
419,100,158859,1636,0,0,0,0,0
419,100,157783,1639,0,0,0,0,0
419,100,158243,1599,0,0,0,0,0
419,100,157458,1576,0,0,0,0,0
419,100,156705,1536,0,0,0,0,0
419,100,159030,1533,0,0,0,0,0
419,100,158403,1574,0,0,0,0,0
419,100,157644,1551,0,0,0,0,0
419,100,157484,1536,0,0,0,0,0
419,100,157850,1508,0,0,0,0,0
419,100,157912,1630,0,0,0,0,0
419,100,158217,1516,0,0,0,0,0
419,100,157398,1568,0,0,0,0,0
419,100,157757,1581,0,0,0,0,0
419,100,158422,1593,0,0,0,0,0
419,100,158046,1566,0,0,0,0,0
419,100,158128,1537,0,0,0,0,0
419,100,156145,1459,0,0,0,0,0
438,100,172933,1767,0,0,0,0,0
438,100,162523,1558,0,0,0,0,0
438,100,161773,1525,0,0,0,0,0
438,100,160999,1543,0,0,0,0,0
438,100,160270,1548,0,0,0,0,0
438,100,158947,1574,0,0,0,0,0
438,100,160584,1647,0,0,0,0,0
438,100,159326,1597,0,0,0,0,0
438,100,159123,1557,0,0,0,0,0
438,100,161551,1525,0,0,0,0,0
438,100,159638,1589,0,0,0,0,0
438,100,160082,1552,0,0,0,0,0
438,100,162638,1471,0,0,0,0,0
438,100,158902,1559,0,0,0,0,0
438,100,160405,1558,0,0,0,0,0
438,100,159530,1471,0,0,0,0,0
438,100,160316,1533,0,0,0,0,0
438,100,158556,1584,0,0,0,0,0
438,100,159330,1528,0,0,0,0,0
438,100,159235,1583,0,0,0,0,0
457,100,174958,1882,0,0,0,0,0
457,100,169065,1746,0,0,0,0,0
457,100,163468,1522,0,0,0,0,0
457,100,162976,1596,0,0,0,0,0
457,100,163747,1589,0,0,0,0,0
457,100,162173,1642,0,0,0,0,0
457,100,162008,1572,0,0,0,0,0
457,100,170054,1859,0,0,0,0,0
457,100,166220,1516,0,0,0,0,0
457,100,163128,1617,0,0,0,0,0
457,100,191653,1549,0,0,0,0,0
457,100,165449,1678,0,0,0,0,0
457,100,166803,1577,0,0,0,0,0
457,100,162294,1579,0,0,0,0,0
457,100,174628,1467,0,0,0,0,0
457,100,163677,1628,0,0,0,0,0
457,100,161752,1598,0,0,0,0,0
457,100,162056,1585,0,0,0,0,0
457,100,161704,1649,0,0,0,0,0
457,100,161680,1588,0,0,0,0,0
476,100,176985,1820,0,0,0,0,0
476,100,166899,1565,0,0,0,0,0
476,100,165007,1545,0,0,0,0,0
476,100,165546,1622,0,0,0,0,0
476,100,165358,1517,0,0,0,0,0
476,100,164042,1455,0,0,0,0,0
476,100,164455,1654,0,0,0,0,0
476,100,164911,1537,0,0,0,0,0
476,100,166007,1576,0,0,0,0,0
476,100,165521,1502,0,0,0,0,0
476,100,194372,1618,0,0,0,0,0
476,100,164378,1613,0,0,0,0,0
476,100,164001,1572,0,0,0,0,0
476,100,163862,1551,0,0,0,0,0
476,100,164784,1531,0,0,0,0,0
476,100,165543,1569,0,0,0,0,0
476,100,164666,1695,0,0,0,0,0
476,100,164516,1468,0,0,0,0,0
476,100,164091,1625,0,0,0,0,0
476,100,164170,1576,0,0,0,0,0
495,100,181008,1918,0,0,0,0,0
495,100,171881,1664,0,0,0,0,0
495,100,167232,1560,0,0,0,0,0
495,100,171571,1637,0,0,0,0,0
495,100,167439,1501,0,0,0,0,0
495,100,167484,1574,0,0,0,0,0
495,100,168164,1617,0,0,0,0,0
495,100,167791,1607,0,0,0,0,0
495,100,166205,1551,0,0,0,0,0
495,100,168156,1591,0,0,0,0,0
495,100,166104,1572,0,0,0,0,0
495,100,168245,1572,0,0,0,0,0
495,100,167421,1609,0,0,0,0,0
495,100,168362,1576,0,0,0,0,0
495,100,167619,1583,0,0,0,0,0
495,100,167392,1595,0,0,0,0,0
495,100,167770,1593,0,0,0,0,0
495,100,167442,1583,0,0,0,0,0
495,100,165438,1543,0,0,0,0,0
495,100,167102,1512,0,0,0,0,0
514,100,181679,1892,0,0,0,0,0
514,100,169593,1650,0,0,0,0,0
514,100,170961,1576,0,0,0,0,0
514,100,170201,1623,0,0,0,0,0
514,100,171128,1633,0,0,0,0,0
514,100,169434,1525,0,0,0,0,0
514,100,196080,1611,0,0,0,0,0
514,100,170904,1598,0,0,0,0,0
514,100,169707,1549,0,0,0,0,0
514,100,170850,1535,0,0,0,0,0
514,100,169955,1646,0,0,0,0,0
514,100,168768,1562,0,0,0,0,0
514,100,169020,1518,0,0,0,0,0
514,100,171430,1538,0,0,0,0,0
514,100,171052,1567,0,0,0,0,0
514,100,169761,1550,0,0,0,0,0
514,100,167835,1578,0,0,0,0,0
514,100,170251,1620,0,0,0,0,0
514,100,168867,1569,0,0,0,0,0
514,100,170655,1500,0,0,0,0,0
533,100,185241,1885,0,0,0,0,0
533,100,173197,1646,0,0,0,0,0
533,100,172624,1591,0,0,0,0,0
533,100,172689,1568,0,0,0,0,0
533,100,172811,1585,0,0,0,0,0
533,100,173782,1621,0,0,0,0,0
533,100,171999,1548,0,0,0,0,0
533,100,171382,1515,0,0,0,0,0
533,100,171085,1538,0,0,0,0,0
533,100,171764,1483,0,0,0,0,0
533,100,170807,1550,0,0,0,0,0
533,100,171705,1510,0,0,0,0,0
533,100,170774,1457,0,0,0,0,0
533,100,173453,1543,0,0,0,0,0
533,100,171668,1469,0,0,0,0,0
533,100,170847,1489,0,0,0,0,0
533,100,199713,1518,0,0,0,0,0
533,100,170502,1515,0,0,0,0,0
533,100,185328,1545,0,0,0,0,0
533,100,172643,1531,0,0,0,0,0
552,100,188844,1938,0,0,0,0,0
552,100,174753,1498,0,0,0,0,0
552,100,175722,1615,0,0,0,0,0
552,100,177543,1713,0,0,0,0,0
552,100,176391,1546,0,0,0,0,0
552,100,175667,1532,0,0,0,0,0
552,100,174715,1548,0,0,0,0,0
552,100,176646,1491,0,0,0,0,0
552,100,173914,1539,0,0,0,0,0
552,100,175443,1585,0,0,0,0,0
552,100,174329,1485,0,0,0,0,0
552,100,175208,1547,0,0,0,0,0
552,100,175487,1591,0,0,0,0,0
552,100,175330,1550,0,0,0,0,0
552,100,174932,1557,0,0,0,0,0
552,100,174138,1530,0,0,0,0,0
552,100,175968,1608,0,0,0,0,0
552,100,174260,1500,0,0,0,0,0
552,100,175035,1566,0,0,0,0,0
552,100,174207,1594,0,0,0,0,0
571,100,188852,1998,0,0,0,0,0
571,100,178383,1534,0,0,0,0,0
571,100,177642,1553,0,0,0,0,0
571,100,178928,1561,0,0,0,0,0
571,100,177055,1528,0,0,0,0,0
571,100,177155,1562,0,0,0,0,0
571,100,179919,1555,0,0,0,0,0
571,100,176139,1531,0,0,0,0,0
571,100,178482,1624,0,0,0,0,0
571,100,176349,1491,0,0,0,0,0
571,100,176134,1544,0,0,0,0,0
571,100,176861,1507,0,0,0,0,0
571,100,179948,1578,0,0,0,0,0
571,100,176897,1479,0,0,0,0,0
571,100,178014,1541,0,0,0,0,0
571,100,177105,1503,0,0,0,0,0
571,100,176849,1603,0,0,0,0,0
571,100,177544,1509,0,0,0,0,0
571,100,176279,1497,0,0,0,0,0
571,100,176597,1439,0,0,0,0,0
590,100,194142,1877,0,0,0,0,0
590,100,180513,1647,0,0,0,0,0
590,100,180109,1538,0,0,0,0,0
590,100,181180,1498,0,0,0,0,0
590,100,179722,1506,0,0,0,0,0
590,100,180175,1591,0,0,0,0,0
590,100,179171,1576,0,0,0,0,0
590,100,181186,1562,0,0,0,0,0
590,100,180118,1592,0,0,0,0,0
590,100,180305,1598,0,0,0,0,0
590,100,181803,1562,0,0,0,0,0
590,100,180396,1533,0,0,0,0,0
590,100,181516,1603,0,0,0,0,0
590,100,179663,1644,0,0,0,0,0
590,100,181150,1661,0,0,0,0,0
590,100,180323,1629,0,0,0,0,0
590,100,180144,1535,0,0,0,0,0
590,100,179324,1510,0,0,0,0,0
590,100,179810,1572,0,0,0,0,0
590,100,179001,1599,0,0,0,0,0
609,100,220421,1986,0,0,0,0,0
609,100,182399,1578,0,0,0,0,0
609,100,183482,1531,0,0,0,0,0
609,100,182631,1568,0,0,0,0,0
609,100,182429,1558,0,0,0,0,0
609,100,182455,1520,0,0,0,0,0
609,100,182800,1547,0,0,0,0,0
609,100,182724,1564,0,0,0,0,0
609,100,182266,1554,0,0,0,0,0
609,100,182680,1575,0,0,0,0,0
609,100,181499,1528,0,0,0,0,0
609,100,184435,1556,0,0,0,0,0
609,100,183151,1558,0,0,0,0,0
609,100,182246,1549,0,0,0,0,0
609,100,183439,1588,0,0,0,0,0
609,100,181661,1552,0,0,0,0,0
609,100,182048,1531,0,0,0,0,0
609,100,182368,1495,0,0,0,0,0
