Pallet: "pallet_lottery", Extrinsic: "buy_ticket", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
42639,1616,0,0,0,0,0
38594,1506,0,0,0,0,0
38510,1462,0,0,0,0,0
38183,1484,0,0,0,0,0
37935,1456,0,0,0,0,0
65593,1446,0,0,0,0,0
38475,1452,0,0,0,0,0
38354,1467,0,0,0,0,0
37706,1377,0,0,0,0,0
37784,1407,0,0,0,0,0
38548,1417,0,0,0,0,0
37955,1440,0,0,0,0,0
37950,1464,0,0,0,0,0
37667,1411,0,0,0,0,0
38114,1425,0,0,0,0,0
37790,1422,0,0,0,0,0
38064,1459,0,0,0,0,0
38386,1458,0,0,0,0,0
37759,1434,0,0,0,0,0
37891,1428,0,0,0,0,0

Raw Storage Info
========
Storage: Lottery Lottery (r:1 w:0)
Storage: Lottery CallIndices (r:1 w:0)
Storage: Lottery TicketsCount (r:1 w:1)
Storage: Lottery Participants (r:1 w:1)
Storage: Lottery LotteryIndex (r:1 w:0)
Storage: System Account (r:1 w:1)
Storage: Lottery Tickets (r:0 w:1)

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    38.11
              µs

Reads = 6
Writes = 4

Min Squares Analysis
========
-- Extrinsic Time --

Model:
Time ~=    38.11
              µs

Reads = 6
Writes = 4

Pallet: "pallet_lottery", Extrinsic: "set_calls", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
n,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
0,11298,1216,0,0,0,0,0
0,9291,1137,0,0,0,0,0
0,8739,1087,0,0,0,0,0
0,8811,1035,0,0,0,0,0
0,8713,1089,0,0,0,0,0
0,10232,1081,0,0,0,0,0
0,8674,1102,0,0,0,0,0
0,8554,1087,0,0,0,0,0
0,8558,1016,0,0,0,0,0
0,8502,1052,0,0,0,0,0
0,8445,1059,0,0,0,0,0
0,8506,1038,0,0,0,0,0
0,8606,1079,0,0,0,0,0
0,8439,1020,0,0,0,0,0
0,8298,1017,0,0,0,0,0
0,8306,1065,0,0,0,0,0
0,8483,1049,0,0,0,0,0
0,9923,1011,0,0,0,0,0
0,21449,1038,0,0,0,0,0
0,8760,1071,0,0,0,0,0
1,12331,1377,0,0,0,0,0
1,9908,1185,0,0,0,0,0
1,9631,1098,0,0,0,0,0
1,9830,1118,0,0,0,0,0
1,9633,1140,0,0,0,0,0
1,11303,1122,0,0,0,0,0
1,9794,1121,0,0,0,0,0
1,9506,1108,0,0,0,0,0
1,9547,1110,0,0,0,0,0
1,9839,1131,0,0,0,0,0
1,9577,1144,0,0,0,0,0
1,9540,1119,0,0,0,0,0
1,9732,1093,0,0,0,0,0
1,9666,1094,0,0,0,0,0
1,9485,1067,0,0,0,0,0
1,9463,1085,0,0,0,0,0
1,9713,1133,0,0,0,0,0
1,9688,1122,0,0,0,0,0
1,9585,1070,0,0,0,0,0
1,9328,1117,0,0,0,0,0
2,12612,1354,0,0,0,0,0
2,10299,1220,0,0,0,0,0
2,10052,1242,0,0,0,0,0
2,9734,1201,0,0,0,0,0
2,9936,1207,0,0,0,0,0
