Pallet: "pallet_membership", Extrinsic: "add_member", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
m,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
1,17833,1453,0,0,0,0,0
1,14463,1389,0,0,0,0,0
1,14437,1305,0,0,0,0,0
1,14108,1241,0,0,0,0,0
1,14005,1258,0,0,0,0,0
1,13929,1246,0,0,0,0,0
1,13991,1219,0,0,0,0,0
1,14205,1252,0,0,0,0,0
1,13747,1318,0,0,0,0,0
1,13867,1337,0,0,0,0,0
1,13539,1330,0,0,0,0,0
1,14464,1266,0,0,0,0,0
1,14166,1269,0,0,0,0,0
1,13873,1276,0,0,0,0,0
1,13921,1244,0,0,0,0,0
1,13751,1295,0,0,0,0,0
1,13893,1255,0,0,0,0,0
1,14094,1214,0,0,0,0,0
1,13796,1265,0,0,0,0,0
1,13984,1244,0,0,0,0,0
2,16489,1463,0,0,0,0,0
2,14718,1388,0,0,0,0,0
2,14390,1341,0,0,0,0,0
2,14488,1322,0,0,0,0,0
2,14897,1321,0,0,0,0,0
2,14680,1328,0,0,0,0,0
2,14468,1312,0,0,0,0,0
2,14715,1336,0,0,0,0,0
2,14270,1301,0,0,0,0,0
2,14300,1667,0,0,0,0,0
2,14909,1290,0,0,0,0,0
2,14230,1282,0,0,0,0,0
2,14875,1285,0,0,0,0,0
2,14666,1316,0,0,0,0,0
2,14522,1312,0,0,0,0,0
2,14105,1323,0,0,0,0,0
2,14655,1276,0,0,0,0,0
2,14393,1303,0,0,0,0,0
2,31838,1338,0,0,0,0,0
2,14884,1369,0,0,0,0,0
3,17116,1500,0,0,0,0,0
3,15050,1396,0,0,0,0,0
3,14870,1325,0,0,0,0,0
3,14982,1299,0,0,0,0,0
3,14671,1299,0,0,0,0,0
3,14651,1275,0,0,0,0,0
3,14787,1349,0,0,0,0,0
3,14804,1306,0,0,0,0,0
3,14522,1296,0,0,0,0,0
3,14707,1230,0,0,0,0,0
3,14464,1326,0,0,0,0,0
3,14535,1294,0,0,0,0,0
3,14535,1222,0,0,0,0,0
3,14568,1229,0,0,0,0,0
3,14565,1232,0,0,0,0,0
3,14674,1347,0,0,0,0,0
3,14555,1328,0,0,0,0,0
3,14523,1300,0,0,0,0,0
3,14485,1235,0,0,0,0,0
3,14772,1258,0,0,0,0,0
4,16997,1503,0,0,0,0,0
4,15726,1391,0,0,0,0,0
4,15422,1371,0,0,0,0,0
4,15223,1407,0,0,0,0,0
4,15469,1427,0,0,0,0,0
4,15180,1298,0,0,0,0,0
4,15476,1323,0,0,0,0,0
4,15092,1323,0,0,0,0,0
4,15164,1372,0,0,0,0,0
4,22311,1417,0,0,0,0,0
4,15221,1298,0,0,0,0,0
4,15239,1265,0,0,0,0,0
4,14874,1298,0,0,0,0,0
4,15112,1286,0,0,0,0,0
4,14921,1273,0,0,0,0,0
4,14859,1333,0,0,0,0,0
4,15137,1296,0,0,0,0,0
4,14949,1328,0,0,0,0,0
4,15089,1253,0,0,0,0,0
4,15120,1289,0,0,0,0,0
5,17136,1491,0,0,0,0,0
5,15662,1449,0,0,0,0,0
5,15206,1334,0,0,0,0,0
5,14925,1357,0,0,0,0,0
5,14980,1339,0,0,0,0,0
5,14955,1339,0,0,0,0,0
5,14612,1308,0,0,0,0,0
5,14842,1342,0,0,0,0,0
5,15109,1287,0,0,0,0,0
5,15209,1246,0,0,0,0,0
5,15186,1297,0,0,0,0,0
5,14721,1266,0,0,0,0,0
5,14791,1376,0,0,0,0,0
5,14792,1286,0,0,0,0,0
5,14799,1246,0,0,0,0,0
5,14943,1322,0,0,0,0,0
5,14737,1256,0,0,0,0,0
5,15045,1288,0,0,0,0,0
5,14431,1483,0,0,0,0,0
5,14938,1374,0,0,0,0,0
6,17289,1547,0,0,0,0,0
6,15653,1439,0,0,0,0,0
6,15268,1346,0,0,0,0,0
6,15081,1374,0,0,0,0,0
6,15258,1411,0,0,0,0,0
6,14928,1370,0,0,0,0,0
6,14754,1383,0,0,0,0,0
6,14915,1294,0,0,0,0,0
6,14746,1322,0,0,0,0,0
6,14949,1342,0,0,0,0,0
6,14673,1309,0,0,0,0,0
6,14663,1273,0,0,0,0,0
6,14987,1348,0,0,0,0,0
6,14757,1341,0,0,0,0,0
6,14929,1332,0,0,0,0,0
6,14942,1351,0,0,0,0,0
6,14674,1312,0,0,0,0,0
6,14960,1297,0,0,0,0,0
6,14902,1318,0,0,0,0,0
6,15014,1330,0,0,0,0,0
7,16924,1477,0,0,0,0,0
7,15444,1335,0,0,0,0,0
7,15583,1297,0,0,0,0,0
