Pallet: "pallet_multisig", Extrinsic: "as_multi_threshold_1", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
z,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
0,21057,1395,0,0,0,0,0
0,16765,1177,0,0,0,0,0
0,16866,1212,0,0,0,0,0
0,16959,1168,0,0,0,0,0
0,17073,1225,0,0,0,0,0
0,16847,1258,0,0,0,0,0
0,16668,1213,0,0,0,0,0
0,21756,1211,0,0,0,0,0
0,16918,1184,0,0,0,0,0
0,16674,1110,0,0,0,0,0
0,16892,1266,0,0,0,0,0
0,17291,1224,0,0,0,0,0
0,16957,1186,0,0,0,0,0
0,16647,1149,0,0,0,0,0
0,16514,1256,0,0,0,0,0
0,16299,1146,0,0,0,0,0
0,16437,1221,0,0,0,0,0
0,16421,1118,0,0,0,0,0
0,16734,1131,0,0,0,0,0
0,16352,1211,0,0,0,0,0
200,20735,1385,0,0,0,0,0
200,16955,1211,0,0,0,0,0
200,16845,1189,0,0,0,0,0
200,16508,1198,0,0,0,0,0
200,16742,1234,0,0,0,0,0
200,17144,1130,0,0,0,0,0
200,16892,1152,0,0,0,0,0
200,16845,1130,0,0,0,0,0
200,16919,1147,0,0,0,0,0
200,16869,1151,0,0,0,0,0
200,17023,1106,0,0,0,0,0
200,16803,1194,0,0,0,0,0
200,16613,1102,0,0,0,0,0
200,16719,1177,0,0,0,0,0
200,16870,1189,0,0,0,0,0
200,16944,1176,0,0,0,0,0
200,16650,1108,0,0,0,0,0
200,16613,1216,0,0,0,0,0
200,16834,1226,0,0,0,0,0
200,17005,1183,0,0,0,0,0
400,21680,1456,0,0,0,0,0
400,17021,1143,0,0,0,0,0
400,16892,1155,0,0,0,0,0
400,16952,1135,0,0,0,0,0
400,17050,1233,0,0,0,0,0
400,17040,1186,0,0,0,0,0
400,17098,1128,0,0,0,0,0
400,17370,1251,0,0,0,0,0
400,16978,1200,0,0,0,0,0
400,17082,1204,0,0,0,0,0
400,16988,1168,0,0,0,0,0
400,17464,1184,0,0,0,0,0
400,17107,1272,0,0,0,0,0
400,17104,1166,0,0,0,0,0
400,16936,1206,0,0,0,0,0
400,17104,1157,0,0,0,0,0
400,16967,1195,0,0,0,0,0
400,16832,1194,0,0,0,0,0
400,16822,1193,0,0,0,0,0
400,16943,1111,0,0,0,0,0
600,21462,1308,0,0,0,0,0
600,16759,1284,0,0,0,0,0
600,17155,1125,0,0,0,0,0
600,17102,1118,0,0,0,0,0
600,17160,1201,0,0,0,0,0
600,17064,1194,0,0,0,0,0
600,17339,1236,0,0,0,0,0
600,17008,1178,0,0,0,0,0
600,17031,1123,0,0,0,0,0
600,17149,1181,0,0,0,0,0
600,17370,1236,0,0,0,0,0
600,17316,1165,0,0,0,0,0
600,17244,1238,0,0,0,0,0
600,17307,1188,0,0,0,0,0
600,17323,1110,0,0,0,0,0
600,17136,1175,0,0,0,0,0
600,16923,1251,0,0,0,0,0
600,17034,1165,0,0,0,0,0
600,16637,1169,0,0,0,0,0
600,17071,1131,0,0,0,0,0
800,21375,1345,0,0,0,0,0
800,17360,1207,0,0,0,0,0
800,17014,1172,0,0,0,0,0
800,17180,1180,0,0,0,0,0
800,17200,1269,0,0,0,0,0
800,17012,1170,0,0,0,0,0
800,17289,1159,0,0,0,0,0
800,17295,1229,0,0,0,0,0
800,17223,1202,0,0,0,0,0
800,16329,1126,0,0,0,0,0
800,17373,1248,0,0,0,0,0
800,17329,1168,0,0,0,0,0
800,17381,1229,0,0,0,0,0
800,17073,1188,0,0,0,0,0
800,17225,1110,0,0,0,0,0
800,17326,1217,0,0,0,0,0
800,17499,1224,0,0,0,0,0
800,16947,1182,0,0,0,0,0
800,17078,1165,0,0,0,0,0
800,17171,1136,0,0,0,0,0
1000,21732,1222,0,0,0,0,0
1000,17311,1133,0,0,0,0,0
1000,17008,1185,0,0,0,0,0
1000,17029,1173,0,0,0,0,0
1000,17228,1230,0,0,0,0,0
1000,17437,1130,0,0,0,0,0
1000,17589,1207,0,0,0,0,0
1000,17149,1091,0,0,0,0,0
1000,17362,1193,0,0,0,0,0
1000,17243,1137,0,0,0,0,0
1000,17314,1177,0,0,0,0,0
1000,17416,1156,0,0,0,0,0
1000,17607,1219,0,0,0,0,0
1000,17364,1189,0,0,0,0,0
1000,17576,1226,0,0,0,0,0
1000,17104,1136,0,0,0,0,0
1000,17087,1110,0,0,0,0,0
1000,17295,1231,0,0,0,0,0
1000,17023,1194,0,0,0,0,0
1000,17371,1131,0,0,0,0,0
1200,19424,1263,0,0,0,0,0
1200,17285,1187,0,0,0,0,0
1200,17247,1152,0,0,0,0,0
1200,17382,1208,0,0,0,0,0
1200,17498,1152,0,0,0,0,0
1200,17439,1149,0,0,0,0,0
1200,17373,1233,0,0,0,0,0
1200,17424,1119,0,0,0,0,0
1200,17068,1198,0,0,0,0,0
1200,17016,1208,0,0,0,0,0
1200,17295,1194,0,0,0,0,0
1200,17239,1156,0,0,0,0,0
