Pallet: "pallet_preimage", Extrinsic: "note_preimage", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
s,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
0,26741,1512,0,0,0,0,0
0,24741,1366,0,0,0,0,0
0,24008,1283,0,0,0,0,0
0,23943,1305,0,0,0,0,0
0,24136,1337,0,0,0,0,0
0,24315,1351,0,0,0,0,0
0,24309,1364,0,0,0,0,0
0,24127,1345,0,0,0,0,0
0,23904,1311,0,0,0,0,0
0,23957,1376,0,0,0,0,0
0,23938,1363,0,0,0,0,0
0,24232,1283,0,0,0,0,0
0,24056,1326,0,0,0,0,0
0,24102,1340,0,0,0,0,0
0,23855,1348,0,0,0,0,0
0,23683,1387,0,0,0,0,0
0,24335,1366,0,0,0,0,0
0,25458,1494,0,0,0,0,0
0,24535,1324,0,0,0,0,0
0,23701,1316,0,0,0,0,0
83886,182935,1594,0,0,0,0,0
83886,160985,1394,0,0,0,0,0
83886,159913,1445,0,0,0,0,0
83886,159482,1373,0,0,0,0,0
83886,159390,1402,0,0,0,0,0
83886,159148,1393,0,0,0,0,0
83886,159198,1412,0,0,0,0,0
83886,159249,1536,0,0,0,0,0
83886,159293,1413,0,0,0,0,0
83886,168934,1374,0,0,0,0,0
83886,155718,1402,0,0,0,0,0
83886,155875,1334,0,0,0,0,0
83886,155334,1359,0,0,0,0,0
83886,155960,1365,0,0,0,0,0
83886,155599,1360,0,0,0,0,0
83886,155315,1385,0,0,0,0,0
83886,155989,1370,0,0,0,0,0
83886,157858,1436,0,0,0,0,0
83886,155598,1343,0,0,0,0,0
83886,155576,1391,0,0,0,0,0
167772,327244,1557,0,0,0,0,0
167772,287950,1459,0,0,0,0,0
167772,286245,1429,0,0,0,0,0
167772,285671,1495,0,0,0,0,0
167772,286697,1436,0,0,0,0,0
167772,285433,1454,0,0,0,0,0
167772,285704,1377,0,0,0,0,0
167772,285259,1491,0,0,0,0,0
167772,285803,1421,0,0,0,0,0
167772,286174,1457,0,0,0,0,0
167772,285764,1429,0,0,0,0,0
167772,286262,1418,0,0,0,0,0
167772,285731,1418,0,0,0,0,0
167772,323233,1411,0,0,0,0,0
167772,285919,1384,0,0,0,0,0
167772,285319,1419,0,0,0,0,0
167772,284970,1406,0,0,0,0,0
167772,288848,1429,0,0,0,0,0
167772,322785,1415,0,0,0,0,0
167772,286200,1452,0,0,0,0,0
251658,478353,1588,0,0,0,0,0
251658,418060,1472,0,0,0,0,0
251658,416637,1382,0,0,0,0,0
251658,453715,1494,0,0,0,0,0
251658,446816,1471,0,0,0,0,0
251658,415942,1463,0,0,0,0,0
251658,415919,1522,0,0,0,0,0
251658,416252,1550,0,0,0,0,0
251658,415648,1458,0,0,0,0,0
251658,416019,1498,0,0,0,0,0
251658,452988,1500,0,0,0,0,0
251658,415492,1507,0,0,0,0,0
251658,416270,1487,0,0,0,0,0
251658,416067,1411,0,0,0,0,0
251658,415768,1489,0,0,0,0,0
251658,415706,1432,0,0,0,0,0
251658,416468,1446,0,0,0,0,0
251658,455142,1562,0,0,0,0,0
251658,416008,1449,0,0,0,0,0
251658,415411,1523,0,0,0,0,0
335544,627726,1585,0,0,0,0,0
335544,546678,1484,0,0,0,0,0
335544,544626,1481,0,0,0,0,0
335544,544798,1384,0,0,0,0,0
335544,544171,1511,0,0,0,0,0
335544,572527,1391,0,0,0,0,0
335544,545007,1446,0,0,0,0,0
335544,580735,1398,0,0,0,0,0
335544,544599,1489,0,0,0,0,0
335544,571459,1347,0,0,0,0,0
335544,544799,1398,0,0,0,0,0
335544,544589,1431,0,0,0,0,0
335544,544277,1481,0,0,0,0,0
335544,544079,1410,0,0,0,0,0
335544,544797,1444,0,0,0,0,0
335544,580478,1376,0,0,0,0,0
335544,545108,1392,0,0,0,0,0
335544,546199,1417,0,0,0,0,0
335544,545328,1430,0,0,0,0,0
335544,544503,1352,0,0,0,0,0
419430,782355,1839,0,0,0,0,0
419430,675805,1459,0,0,0,0,0
419430,674352,1532,0,0,0,0,0
419430,673996,1392,0,0,0,0,0
419430,713879,1470,0,0,0,0,0
419430,673868,1468,0,0,0,0,0
419430,713168,1449,0,0,0,0,0
419430,674208,1479,0,0,0,0,0
419430,674140,1492,0,0,0,0,0
419430,674130,1409,0,0,0,0,0
419430,674291,1471,0,0,0,0,0
419430,674325,1425,0,0,0,0,0
419430,674172,1424,0,0,0,0,0
419430,674411,1512,0,0,0,0,0
419430,674042,1474,0,0,0,0,0
419430,713646,1461,0,0,0,0,0
419430,674048,1437,0,0,0,0,0
419430,712683,1468,0,0,0,0,0
419430,674800,1422,0,0,0,0,0
419430,673761,1451,0,0,0,0,0
503316,932774,1734,0,0,0,0,0
503316,846947,1571,0,0,0,0,0
503316,802933,1442,0,0,0,0,0
503316,803218,1458,0,0,0,0,0
503316,830574,1479,0,0,0,0,0
503316,803388,1534,0,0,0,0,0
503316,803173,1551,0,0,0,0,0
503316,802919,1444,0,0,0,0,0
503316,803319,1507,0,0,0,0,0
503316,802196,1461,0,0,0,0,0
503316,838130,1482,0,0,0,0,0
503316,802563,1474,0,0,0,0,0
503316,835907,1421,0,0,0,0,0
503316,802502,1462,0,0,0,0,0
503316,835343,1469,0,0,0,0,0
503316,802492,1467,0,0,0,0,0
503316,803046,1448,0,0,0,0,0
503316,804483,1387,0,0,0,0,0
503316,803355,1472,0,0,0,0,0
503316,802592,1441,0,0,0,0,0
587202,1087982,1832,0,0,0,0,0
587202,979230,1543,0,0,0,0,0
587202,935856,1566,0,0,0,0,0
587202,934639,1551,0,0,0,0,0
587202,977359,1550,0,0,0,0,0
587202,935508,1519,0,0,0,0,0
587202,935410,1571,0,0,0,0,0
587202,935299,1538,0,0,0,0,0
587202,935009,1552,0,0,0,0,0
587202,967872,1535,0,0,0,0,0
587202,933867,1504,0,0,0,0,0
587202,934884,1496,0,0,0,0,0
587202,970827,1461,0,0,0,0,0
587202,934958,1527,0,0,0,0,0
587202,935728,1504,0,0,0,0,0
587202,934568,1607,0,0,0,0,0
587202,935344,1475,0,0,0,0,0
587202,973091,1544,0,0,0,0,0
587202,962097,1486,0,0,0,0,0
587202,934930,1533,0,0,0,0,0
671088,1249226,1898,0,0,0,0,0
671088,1068674,1441,0,0,0,0,0
671088,1064872,1530,0,0,0,0,0
671088,1106031,1514,0,0,0,0,0
671088,1064700,21505,0,0,0,0,0
671088,1062385,1504,0,0,0,0,0
671088,1096743,1501,0,0,0,0,0
671088,1063928,1474,0,0,0,0,0
671088,1064682,1361,0,0,0,0,0
671088,1064703,1516,0,0,0,0,0
671088,1067593,1473,0,0,0,0,0
671088,1063310,1452,0,0,0,0,0
671088,1064129,1437,0,0,0,0,0
671088,1066552,1486,0,0,0,0,0
671088,1064378,1468,0,0,0,0,0
671088,1064894,1440,0,0,0,0,0
671088,1122421,1561,0,0,0,0,0
671088,1070594,1512,0,0,0,0,0
671088,1064699,1438,0,0,0,0,0
671088,1064466,1426,0,0,0,0,0
754974,1395994,2003,0,0,0,0,0
754974,1199117,1508,0,0,0,0,0
754974,1221106,1485,0,0,0,0,0
754974,1234216,1464,0,0,0,0,0
754974,1232667,1510,0,0,0,0,0
754974,1194254,1603,0,0,0,0,0
754974,1194561,1512,0,0,0,0,0
754974,1196147,1570,0,0,0,0,0
754974,1224637,1525,0,0,0,0,0
754974,1225031,1585,0,0,0,0,0
754974,1194587,1565,0,0,0,0,0
754974,1195609,1502,0,0,0,0,0
754974,1223603,1501,0,0,0,0,0
754974,1223975,1518,0,0,0,0,0
754974,1224738,1429,0,0,0,0,0
754974,1195958,1546,0,0,0,0,0
754974,1194065,1504,0,0,0,0,0
754974,1195979,1561,0,0,0,0,0
754974,1248228,1420,0,0,0,0,0
754974,1195016,1599,0,0,0,0,0
838860,1588502,1796,0,0,0,0,0
838860,1369827,1492,0,0,0,0,0
838860,1362043,1453,0,0,0,0,0
838860,1346200,1497,0,0,0,0,0
838860,1325627,1559,0,0,0,0,0
838860,1325905,16010,0,0,0,0,0
838860,1325611,1445,0,0,0,0,0
838860,1325456,1477,0,0,0,0,0
838860,1325629,1544,0,0,0,0,0
838860,1328947,1403,0,0,0,0,0
838860,1327561,1560,0,0,0,0,0
838860,1329003,1519,0,0,0,0,0
838860,1326091,1488,0,0,0,0,0
838860,1324746,1483,0,0,0,0,0
838860,1409256,1541,0,0,0,0,0
838860,1322730,1462,0,0,0,0,0
838860,1324698,1535,0,0,0,0,0
838860,1329385,1426,0,0,0,0,0
838860,1326902,1532,0,0,0,0,0
838860,1326394,1555,0,0,0,0,0
922746,1743647,1848,0,0,0,0,0
922746,1503049,1493,0,0,0,0,0
922746,1499059,1486,0,0,0,0,0
922746,1492116,1429,0,0,0,0,0
922746,1488516,1415,0,0,0,0,0
922746,1490296,1479,0,0,0,0,0
922746,1495625,1455,0,0,0,0,0
922746,1492023,1420,0,0,0,0,0
922746,1462786,1375,0,0,0,0,0
922746,1457990,1537,0,0,0,0,0
922746,1458182,1457,0,0,0,0,0
922746,1457461,1525,0,0,0,0,0
922746,1459265,1505,0,0,0,0,0
922746,1457787,16064,0,0,0,0,0
922746,1457950,1516,0,0,0,0,0
922746,1458201,1507,0,0,0,0,0
922746,1458021,1414,0,0,0,0,0
922746,1463404,1417,0,0,0,0,0
922746,1458892,1467,0,0,0,0,0
922746,1457758,1416,0,0,0,0,0
1006632,1860609,1952,0,0,0,0,0
1006632,1598536,1468,0,0,0,0,0
1006632,1591439,1525,0,0,0,0,0
1006632,1629304,1608,0,0,0,0,0
1006632,1644518,1445,0,0,0,0,0
1006632,1620806,1469,0,0,0,0,0
1006632,1591474,1462,0,0,0,0,0
1006632,1590625,1420,0,0,0,0,0
1006632,1618813,1507,0,0,0,0,0
1006632,1594951,1426,0,0,0,0,0
1006632,1592872,1467,0,0,0,0,0
1006632,1597660,1439,0,0,0,0,0
1006632,1595509,1502,0,0,0,0,0
1006632,1589515,1465,0,0,0,0,0
1006632,1589099,1499,0,0,0,0,0
1006632,1587018,1497,0,0,0,0,0
1006632,1588393,1453,0,0,0,0,0
1006632,1593966,1517,0,0,0,0,0
1006632,1586776,1476,0,0,0,0,0
1006632,1590544,1496,0,0,0,0,0
1090518,2025109,2052,0,0,0,0,0
1090518,1769935,1445,0,0,0,0,0
1090518,1762334,1463,0,0,0,0,0
1090518,1766553,1497,0,0,0,0,0
1090518,1725201,1464,0,0,0,0,0
1090518,1725730,1439,0,0,0,0,0
1090518,1811937,1571,0,0,0,0,0
1090518,1726134,1514,0,0,0,0,0
1090518,1728864,1489,0,0,0,0,0
1090518,1755411,1504,0,0,0,0,0
1090518,1773144,1503,0,0,0,0,0
1090518,1730986,1529,0,0,0,0,0
1090518,1724128,1459,0,0,0,0,0
1090518,1724346,1575,0,0,0,0,0
1090518,1729652,1554,0,0,0,0,0
1090518,1726135,1544,0,0,0,0,0
1090518,1729610,1534,0,0,0,0,0
1090518,1729829,1498,0,0,0,0,0
1090518,1730690,1566,0,0,0,0,0
1090518,1727097,1526,0,0,0,0,0
1174404,2175222,1879,0,0,0,0,0
1174404,1871145,1567,0,0,0,0,0
1174404,1905435,1542,0,0,0,0,0
1174404,1902080,1504,0,0,0,0,0
1174404,1863718,1499,0,0,0,0,0
1174404,1893802,1580,0,0,0,0,0
1174404,1860452,1734,0,0,0,0,0
1174404,1871066,1585,0,0,0,0,0
1174404,1909012,1571,0,0,0,0,0
1174404,1928588,1560,0,0,0,0,0
1174404,1862711,1569,0,0,0,0,0
1174404,1889946,1523,0,0,0,0,0
1174404,1899407,1592,0,0,0,0,0
1174404,1861679,1584,0,0,0,0,0
1174404,1857894,1601,0,0,0,0,0
1174404,1858738,1491,0,0,0,0,0
1174404,1859164,1495,0,0,0,0,0
1174404,1869787,1455,0,0,0,0,0
1174404,1888221,1542,0,0,0,0,0
1174404,1859521,1614,0,0,0,0,0
1258290,2313916,1826,0,0,0,0,0
1258290,2045243,1594,0,0,0,0,0
1258290,2002890,1564,0,0,0,0,0
1258290,1999907,1599,0,0,0,0,0
1258290,2033630,1563,0,0,0,0,0
1258290,2063657,1508,0,0,0,0,0
1258290,2001293,1556,0,0,0,0,0
1258290,2001015,1544,0,0,0,0,0
1258290,2021023,1655,0,0,0,0,0
1258290,1996883,1582,0,0,0,0,0
1258290,2003277,1435,0,0,0,0,0
1258290,2000121,1494,0,0,0,0,0
1258290,1997752,1477,0,0,0,0,0
1258290,1995751,1432,0,0,0,0,0
1258290,2029802,1519,0,0,0,0,0
1258290,1996331,1473,0,0,0,0,0
1258290,1995452,1512,0,0,0,0,0
1258290,2004576,1531,0,0,0,0,0
1258290,2000479,1543,0,0,0,0,0
