Pallet: "pallet_proxy", Extrinsic: "proxy", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
p,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
1,15633,1457,0,0,0,0,0
1,13498,1364,0,0,0,0,0
1,13549,1336,0,0,0,0,0
1,13336,1282,0,0,0,0,0
1,13206,1302,0,0,0,0,0
1,13113,1334,0,0,0,0,0
1,13107,1338,0,0,0,0,0
1,13143,1278,0,0,0,0,0
1,12847,1316,0,0,0,0,0
1,16794,1361,0,0,0,0,0
1,13193,1325,0,0,0,0,0
1,13014,1280,0,0,0,0,0
1,12828,1344,0,0,0,0,0
1,13165,1251,0,0,0,0,0
1,13058,1283,0,0,0,0,0
1,12809,1289,0,0,0,0,0
1,12854,1294,0,0,0,0,0
1,14909,1323,0,0,0,0,0
1,12808,1335,0,0,0,0,0
1,13349,1343,0,0,0,0,0
2,15316,1423,0,0,0,0,0
2,13738,1300,0,0,0,0,0
2,13973,1337,0,0,0,0,0
2,13590,1251,0,0,0,0,0
2,12976,1230,0,0,0,0,0
2,13134,1213,0,0,0,0,0
2,13265,1263,0,0,0,0,0
2,13167,1296,0,0,0,0,0
2,13235,1268,0,0,0,0,0
2,13272,1280,0,0,0,0,0
2,12949,1239,0,0,0,0,0
2,13203,1296,0,0,0,0,0
2,13029,1257,0,0,0,0,0
2,12866,1278,0,0,0,0,0
2,13208,1288,0,0,0,0,0
2,12981,1295,0,0,0,0,0
2,12926,1291,0,0,0,0,0
2,13480,1248,0,0,0,0,0
2,13270,1260,0,0,0,0,0
2,13098,1249,0,0,0,0,0
3,15941,1568,0,0,0,0,0
3,14380,1336,0,0,0,0,0
3,13960,1370,0,0,0,0,0
3,13895,1293,0,0,0,0,0
3,13673,1364,0,0,0,0,0
3,14229,1358,0,0,0,0,0
3,13698,1350,0,0,0,0,0
3,13579,1353,0,0,0,0,0
3,13566,1385,0,0,0,0,0
3,19680,1480,0,0,0,0,0
3,13637,1358,0,0,0,0,0
3,13537,1398,0,0,0,0,0
3,13628,1332,0,0,0,0,0
3,13654,1350,0,0,0,0,0
3,13584,1346,0,0,0,0,0
3,13250,1356,0,0,0,0,0
3,13775,1297,0,0,0,0,0
3,13869,1358,0,0,0,0,0
3,13401,1393,0,0,0,0,0
3,13354,1373,0,0,0,0,0
4,16341,1463,0,0,0,0,0
4,14471,1289,0,0,0,0,0
4,14198,1293,0,0,0,0,0
4,14003,1266,0,0,0,0,0
4,13834,1310,0,0,0,0,0
4,13866,1299,0,0,0,0,0
4,13695,1303,0,0,0,0,0
4,13682,1252,0,0,0,0,0
4,13792,1272,0,0,0,0,0
4,13922,1283,0,0,0,0,0
4,14051,1266,0,0,0,0,0
