Pallet: "pallet_tips", Extrinsic: "report_awesome", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
r,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
0,29579,1636,0,0,0,0,0
0,25575,1464,0,0,0,0,0
0,24948,1424,0,0,0,0,0
0,25198,1469,0,0,0,0,0
0,24816,1438,0,0,0,0,0
0,25093,1512,0,0,0,0,0
0,24886,1434,0,0,0,0,0
0,25337,1422,0,0,0,0,0
0,24622,1445,0,0,0,0,0
0,24877,1482,0,0,0,0,0
0,24538,1469,0,0,0,0,0
0,25119,1465,0,0,0,0,0
0,24589,1480,0,0,0,0,0
0,24675,1457,0,0,0,0,0
0,24491,1453,0,0,0,0,0
0,24519,1473,0,0,0,0,0
0,24821,1452,0,0,0,0,0
0,26701,1402,0,0,0,0,0
0,24606,1422,0,0,0,0,0
0,25398,1479,0,0,0,0,0
6,29615,1516,0,0,0,0,0
6,25791,1447,0,0,0,0,0
6,25300,1412,0,0,0,0,0
6,24967,1392,0,0,0,0,0
6,24923,1424,0,0,0,0,0
6,24848,1407,0,0,0,0,0
6,25018,1382,0,0,0,0,0
6,25260,1385,0,0,0,0,0
6,25181,1375,0,0,0,0,0
6,24810,1429,0,0,0,0,0
6,25301,1384,0,0,0,0,0
6,25576,1397,0,0,0,0,0
6,25104,1395,0,0,0,0,0
6,24487,1460,0,0,0,0,0
6,25006,1389,0,0,0,0,0
6,24665,1339,0,0,0,0,0
6,24827,1378,0,0,0,0,0
6,26658,1393,0,0,0,0,0
6,24781,1317,0,0,0,0,0
6,24843,1371,0,0,0,0,0
12,29542,1518,0,0,0,0,0
12,25512,1385,0,0,0,0,0
12,25424,1398,0,0,0,0,0
12,25026,1391,0,0,0,0,0
12,24945,1375,0,0,0,0,0
12,25299,1360,0,0,0,0,0
12,24834,1370,0,0,0,0,0
12,24949,1417,0,0,0,0,0
12,24825,1400,0,0,0,0,0
12,24751,1363,0,0,0,0,0
12,24631,1345,0,0,0,0,0
12,24585,1354,0,0,0,0,0
12,24435,1347,0,0,0,0,0
12,24697,1315,0,0,0,0,0
12,25505,1370,0,0,0,0,0
12,24978,1346,0,0,0,0,0
12,24652,1355,0,0,0,0,0
12,26778,1373,0,0,0,0,0
12,24825,1349,0,0,0,0,0
12,24872,1345,0,0,0,0,0
18,29127,1520,0,0,0,0,0
18,25341,1374,0,0,0,0,0
18,25553,1378,0,0,0,0,0
18,25099,1398,0,0,0,0,0
18,25332,1439,0,0,0,0,0
18,24953,1422,0,0,0,0,0
18,24649,1395,0,0,0,0,0
18,24653,1381,0,0,0,0,0
18,24464,1386,0,0,0,0,0
18,24494,1410,0,0,0,0,0
18,24585,1356,0,0,0,0,0
18,24896,1389,0,0,0,0,0
18,24408,1372,0,0,0,0,0
18,24753,1360,0,0,0,0,0
18,24883,1358,0,0,0,0,0
18,24831,1392,0,0,0,0,0
18,25005,1385,0,0,0,0,0
18,26750,1444,0,0,0,0,0
18,24643,1397,0,0,0,0,0
18,28810,1370,0,0,0,0,0
24,30066,1527,0,0,0,0,0
24,26291,1388,0,0,0,0,0
24,25498,1421,0,0,0,0,0
24,25479,1350,0,0,0,0,0
24,25161,1372,0,0,0,0,0
24,24909,1339,0,0,0,0,0
24,24674,1379,0,0,0,0,0
24,25056,1353,0,0,0,0,0
24,25227,1420,0,0,0,0,0
24,24979,1380,0,0,0,0,0
24,24988,1398,0,0,0,0,0
24,25172,1416,0,0,0,0,0
24,25265,1380,0,0,0,0,0
24,24609,1351,0,0,0,0,0
24,24963,1359,0,0,0,0,0
24,25187,1362,0,0,0,0,0
24,25227,1417,0,0,0,0,0
24,26926,1398,0,0,0,0,0
24,25662,1371,0,0,0,0,0
24,25536,1382,0,0,0,0,0
30,30105,1551,0,0,0,0,0
30,26409,1423,0,0,0,0,0
30,25755,1474,0,0,0,0,0
30,25751,1391,0,0,0,0,0
30,25503,1385,0,0,0,0,0
30,24971,1421,0,0,0,0,0
30,25174,1412,0,0,0,0,0
30,25474,1413,0,0,0,0,0
30,25119,1377,0,0,0,0,0
30,26239,1409,0,0,0,0,0
30,25376,1414,0,0,0,0,0
30,25026,1334,0,0,0,0,0
30,25374,1386,0,0,0,0,0
30,24903,1401,0,0,0,0,0
30,25845,1437,0,0,0,0,0
30,25352,1364,0,0,0,0,0
30,25084,2205,0,0,0,0,0
30,27875,1448,0,0,0,0,0
30,25019,1438,0,0,0,0,0
30,25155,1375,0,0,0,0,0
36,29384,1555,0,0,0,0,0
36,25991,1387,0,0,0,0,0
36,25815,1427,0,0,0,0,0
36,25414,1408,0,0,0,0,0
36,25112,1431,0,0,0,0,0
36,24954,1373,0,0,0,0,0
36,25131,1386,0,0,0,0,0
36,25328,1388,0,0,0,0,0
36,25406,1389,0,0,0,0,0
36,25246,1440,0,0,0,0,0
36,25024,1385,0,0,0,0,0
36,24861,1346,0,0,0,0,0
36,25136,1401,0,0,0,0,0
36,25372,1358,0,0,0,0,0
36,25078,1354,0,0,0,0,0
36,25192,1385,0,0,0,0,0
36,25124,1465,0,0,0,0,0
36,27411,1488,0,0,0,0,0
36,25069,1434,0,0,0,0,0
36,24892,2181,0,0,0,0,0
42,30139,1492,0,0,0,0,0
42,26117,1415,0,0,0,0,0
42,25562,1412,0,0,0,0,0
42,25174,1444,0,0,0,0,0
42,25113,1395,0,0,0,0,0
42,24702,1397,0,0,0,0,0
42,25027,1424,0,0,0,0,0
42,24802,1427,0,0,0,0,0
42,24918,1404,0,0,0,0,0
42,24633,1417,0,0,0,0,0
42,24803,1404,0,0,0,0,0
42,24920,1386,0,0,0,0,0
42,25059,1409,0,0,0,0,0
42,25202,1407,0,0,0,0,0
42,24746,1369,0,0,0,0,0
42,24709,1401,0,0,0,0,0
42,24885,1441,0,0,0,0,0
42,26828,1336,0,0,0,0,0
42,24750,1359,0,0,0,0,0
42,24803,1395,0,0,0,0,0
48,29408,1527,0,0,0,0,0
48,25570,1443,0,0,0,0,0
48,25380,1382,0,0,0,0,0
48,25613,1373,0,0,0,0,0
48,24918,1373,0,0,0,0,0
48,25050,1352,0,0,0,0,0
48,24784,1376,0,0,0,0,0
48,25007,1378,0,0,0,0,0
48,24896,1400,0,0,0,0,0
48,25661,1439,0,0,0,0,0
48,24802,1334,0,0,0,0,0
48,25148,1381,0,0,0,0,0
48,24872,1426,0,0,0,0,0
48,25083,1388,0,0,0,0,0
48,25071,1394,0,0,0,0,0
48,25071,1356,0,0,0,0,0
48,24652,1384,0,0,0,0,0
48,26877,1360,0,0,0,0,0
48,24612,1407,0,0,0,0,0
48,24781,1375,0,0,0,0,0
54,29739,1559,0,0,0,0,0
54,25632,1393,0,0,0,0,0
54,25411,1407,0,0,0,0,0
54,25137,1443,0,0,0,0,0
