Pallet: "pallet_transaction_storage", Extrinsic: "store", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
l,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
1,40174,1506,0,0,0,0,0
1,34972,1388,0,0,0,0,0
1,34642,1352,0,0,0,0,0
1,34110,1356,0,0,0,0,0
1,34027,1332,0,0,0,0,0
1,33601,1315,0,0,0,0,0
1,33852,1309,0,0,0,0,0
1,34143,1310,0,0,0,0,0
1,34012,1301,0,0,0,0,0
1,33489,1351,0,0,0,0,0
1,33677,1302,0,0,0,0,0
1,33794,1291,0,0,0,0,0
1,34128,1371,0,0,0,0,0
1,34386,1338,0,0,0,0,0
1,33928,1333,0,0,0,0,0
1,33888,1321,0,0,0,0,0
1,33914,1380,0,0,0,0,0
1,35617,1341,0,0,0,0,0
1,34006,1322,0,0,0,0,0
1,33503,1349,0,0,0,0,0
167773,1049780,1665,0,0,0,0,0
167773,873668,1501,0,0,0,0,0
167773,862011,1460,0,0,0,0,0
167773,864295,1477,0,0,0,0,0
167773,875516,1559,0,0,0,0,0
167773,866014,1428,0,0,0,0,0
167773,867310,1539,0,0,0,0,0
167773,899956,1535,0,0,0,0,0
167773,865635,1525,0,0,0,0,0
167773,866549,1436,0,0,0,0,0
167773,865086,1522,0,0,0,0,0
167773,911626,1530,0,0,0,0,0
167773,865385,1461,0,0,0,0,0
167773,865543,1456,0,0,0,0,0
167773,866844,1521,0,0,0,0,0
167773,904528,1503,0,0,0,0,0
167773,894197,1513,0,0,0,0,0
167773,868410,1437,0,0,0,0,0
167773,866412,1487,0,0,0,0,0
167773,904739,1581,0,0,0,0,0
335545,1991414,1735,0,0,0,0,0
335545,1792447,1493,0,0,0,0,0
335545,1717679,1536,0,0,0,0,0
335545,1727754,1471,0,0,0,0,0
335545,1690960,1464,0,0,0,0,0
335545,1728845,1516,0,0,0,0,0
335545,1688100,1484,0,0,0,0,0
335545,1726658,1467,0,0,0,0,0
335545,1691224,1470,0,0,0,0,0
335545,1723421,1437,0,0,0,0,0
335545,1689972,1515,0,0,0,0,0
335545,1726870,1453,0,0,0,0,0
335545,1689800,1459,0,0,0,0,0
335545,1719451,1497,0,0,0,0,0
335545,1689634,1450,0,0,0,0,0
335545,1721410,1513,0,0,0,0,0
335545,1689637,1418,0,0,0,0,0
335545,1697886,1473,0,0,0,0,0
335545,1690431,1451,0,0,0,0,0
335545,1694652,1485,0,0,0,0,0
503317,3003849,1924,0,0,0,0,0
503317,2517370,1602,0,0,0,0,0
503317,2512389,1539,0,0,0,0,0
503317,2475225,1504,0,0,0,0,0
503317,2520414,1537,0,0,0,0,0
503317,2515873,1533,0,0,0,0,0
503317,2473952,1548,0,0,0,0,0
503317,2483599,1524,0,0,0,0,0
503317,2507173,1549,0,0,0,0,0
503317,2526848,1564,0,0,0,0,0
503317,2473895,1590,0,0,0,0,0
503317,2505958,1552,0,0,0,0,0
503317,2477081,1559,0,0,0,0,0
503317,2477961,1470,0,0,0,0,0
503317,2533725,1535,0,0,0,0,0
503317,2483635,1535,0,0,0,0,0
503317,2470178,4639,0,0,0,0,0
503317,2475603,1527,0,0,0,0,0
503317,2478826,1496,0,0,0,0,0
503317,2478957,1545,0,0,0,0,0
671089,4003715,1920,0,0,0,0,0
671089,3355614,1532,0,0,0,0,0
671089,3346334,1569,0,0,0,0,0
671089,3350038,1502,0,0,0,0,0
671089,3348222,1519,0,0,0,0,0
671089,3313121,1607,0,0,0,0,0
671089,3353918,1555,0,0,0,0,0
671089,3322216,1576,0,0,0,0,0
671089,3310098,1595,0,0,0,0,0
671089,3401683,1524,0,0,0,0,0
671089,3315300,1552,0,0,0,0,0
671089,3313930,1569,0,0,0,0,0
671089,3357536,1539,0,0,0,0,0
671089,3302376,1511,0,0,0,0,0
671089,3370720,1509,0,0,0,0,0
671089,3315554,1518,0,0,0,0,0
671089,3337729,1511,0,0,0,0,0
671089,3315819,1522,0,0,0,0,0
671089,3312220,1522,0,0,0,0,0
671089,3316739,1567,0,0,0,0,0
838861,5102317,2036,0,0,0,0,0
838861,4202259,1592,0,0,0,0,0
838861,4193017,1604,0,0,0,0,0
838861,4233867,1653,0,0,0,0,0
838861,4195835,1669,0,0,0,0,0
838861,4162842,1559,0,0,0,0,0
838861,4162559,1580,0,0,0,0,0
838861,4163536,1567,0,0,0,0,0
838861,4156381,1532,0,0,0,0,0
838861,4229813,1707,0,0,0,0,0
838861,4292114,1591,0,0,0,0,0
838861,4243592,1711,0,0,0,0,0
838861,4169816,1610,0,0,0,0,0
838861,4168688,1614,0,0,0,0,0
838861,4201277,1494,0,0,0,0,0
838861,4285851,1689,0,0,0,0,0
838861,4195404,1646,0,0,0,0,0
838861,4171248,1620,0,0,0,0,0
838861,4158696,1616,0,0,0,0,0
838861,4173911,1589,0,0,0,0,0
1006633,6152359,2330,0,0,0,0,0
1006633,5095593,1751,0,0,0,0,0
1006633,5105717,1926,0,0,0,0,0
1006633,5097527,1729,0,0,0,0,0
1006633,5069642,1769,0,0,0,0,0
1006633,5171690,1699,0,0,0,0,0
1006633,5033501,1733,0,0,0,0,0
1006633,5052061,1814,0,0,0,0,0
1006633,5083130,1852,0,0,0,0,0
1006633,5046078,1798,0,0,0,0,0
1006633,5053630,1879,0,0,0,0,0
1006633,5016857,1947,0,0,0,0,0
1006633,5017002,1775,0,0,0,0,0
1006633,5020072,1739,0,0,0,0,0
1006633,5014617,1740,0,0,0,0,0
1006633,5064297,1720,0,0,0,0,0
1006633,5013034,1860,0,0,0,0,0
1006633,5029190,1838,0,0,0,0,0
1006633,5020257,1736,0,0,0,0,0
1006633,5018449,1788,0,0,0,0,0
1174405,7250034,2142,0,0,0,0,0
1174405,6172800,1888,0,0,0,0,0
1174405,6074694,1874,0,0,0,0,0
1174405,6088662,1926,0,0,0,0,0
1174405,6136808,1807,0,0,0,0,0
1174405,6122479,1830,0,0,0,0,0
1174405,6058008,1719,0,0,0,0,0
1174405,6127106,1985,0,0,0,0,0
1174405,6091055,1923,0,0,0,0,0
1174405,6134722,1795,0,0,0,0,0
1174405,6045600,1784,0,0,0,0,0
1174405,6049960,1991,0,0,0,0,0
1174405,6113379,1859,0,0,0,0,0
1174405,6048749,1857,0,0,0,0,0
1174405,5999812,2087,0,0,0,0,0
1174405,6029752,1930,0,0,0,0,0
1174405,6046044,1823,0,0,0,0,0
1174405,6060873,1905,0,0,0,0,0
1174405,6007701,1954,0,0,0,0,0
1174405,6079885,1836,0,0,0,0,0
