Pallet: "pallet_treasury", Extrinsic: "propose_spend", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
26288,1541,0,0,0,0,0
22324,1375,0,0,0,0,0
21838,1435,0,0,0,0,0
22356,1424,0,0,0,0,0
22090,1492,0,0,0,0,0
22182,1427,0,0,0,0,0
21792,1425,0,0,0,0,0
21911,1375,0,0,0,0,0
21741,1429,0,0,0,0,0
21640,1385,0,0,0,0,0
21736,1408,0,0,0,0,0
21623,1433,0,0,0,0,0
21363,1359,0,0,0,0,0
21457,1357,0,0,0,0,0
21752,1417,0,0,0,0,0
21610,1377,0,0,0,0,0
21870,1375,0,0,0,0,0
21713,1392,0,0,0,0,0
21300,1398,0,0,0,0,0
21675,1334,0,0,0,0,0

Raw Storage Info
========
Storage: Treasury ProposalCount (r:1 w:1)
Storage: Treasury Proposals (r:0 w:1)

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    21.75
              µs

Reads = 1
Writes = 2

Min Squares Analysis
========
-- Extrinsic Time --

Model:
Time ~=    21.75
              µs

Reads = 1
Writes = 2

Pallet: "pallet_treasury", Extrinsic: "reject_proposal", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
27721,1603,0,0,0,0,0
25709,1479,0,0,0,0,0
25565,1579,0,0,0,0,0
25148,1507,0,0,0,0,0
25049,1513,0,0,0,0,0
25196,1404,0,0,0,0,0
25057,1482,0,0,0,0,0
25305,1476,0,0,0,0,0
25256,1477,0,0,0,0,0
24789,1502,0,0,0,0,0
25566,1447,0,0,0,0,0
25400,1498,0,0,0,0,0
25692,1493,0,0,0,0,0
25723,1487,0,0,0,0,0
25380,1527,0,0,0,0,0
24864,1475,0,0,0,0,0
25337,1494,0,0,0,0,0
25371,1471,0,0,0,0,0
25769,1419,0,0,0,0,0
25582,1496,0,0,0,0,0

Raw Storage Info
========
Storage: Treasury Proposals (r:1 w:1)
Storage: System Account (r:1 w:1)

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    25.38
              µs

Reads = 2
Writes = 2

Min Squares Analysis
========
-- Extrinsic Time --

Model:
Time ~=    25.38
              µs

Reads = 2
Writes = 2

Pallet: "pallet_treasury", Extrinsic: "approve_proposal", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
p,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
0,7449,1519,0,0,0,0,0
0,5932,1327,0,0,0,0,0
0,5993,1276,0,0,0,0,0
0,6002,1270,0,0,0,0,0
0,5703,1258,0,0,0,0,0
0,5705,1286,0,0,0,0,0
0,5615,1285,0,0,0,0,0
0,5706,1287,0,0,0,0,0
0,5546,1225,0,0,0,0,0
0,5760,1276,0,0,0,0,0
0,5810,1270,0,0,0,0,0
0,5590,1263,0,0,0,0,0
0,5577,1357,0,0,0,0,0
0,5682,1225,0,0,0,0,0
0,5573,1267,0,0,0,0,0
0,5633,1228,0,0,0,0,0
0,5731,1305,0,0,0,0,0
0,5726,1256,0,0,0,0,0
0,5698,1278,0,0,0,0,0
0,5696,1226,0,0,0,0,0
1,7473,1450,0,0,0,0,0
1,6720,1340,0,0,0,0,0
1,6505,1351,0,0,0,0,0
1,6426,1265,0,0,0,0,0
1,6462,1284,0,0,0,0,0
1,6663,1331,0,0,0,0,0
1,6600,1301,0,0,0,0,0
1,6563,1307,0,0,0,0,0
1,6536,1298,0,0,0,0,0
1,6412,1225,0,0,0,0,0
1,6288,1275,0,0,0,0,0
1,6294,1285,0,0,0,0,0
1,6265,1319,0,0,0,0,0
1,6243,1259,0,0,0,0,0
1,6465,1227,0,0,0,0,0
1,6357,1286,0,0,0,0,0
1,6368,1298,0,0,0,0,0
1,6303,1319,0,0,0,0,0
1,6164,1302,0,0,0,0,0
1,6248,1295,0,0,0,0,0
2,7342,1420,0,0,0,0,0
2,6864,1295,0,0,0,0,0
2,6732,1295,0,0,0,0,0
2,6593,1301,0,0,0,0,0
2,6578,1275,0,0,0,0,0
2,6479,1257,0,0,0,0,0
2,6608,1247,0,0,0,0,0
2,6378,1278,0,0,0,0,0
2,6476,1287,0,0,0,0,0
2,6511,1285,0,0,0,0,0
2,6477,1278,0,0,0,0,0
2,6614,1340,0,0,0,0,0
2,6660,1270,0,0,0,0,0
2,6405,1314,0,0,0,0,0
2,6562,1227,0,0,0,0,0
2,6590,1286,0,0,0,0,0
2,6239,1234,0,0,0,0,0
2,6656,1259,0,0,0,0,0
2,6496,1274,0,0,0,0,0
2,6419,1250,0,0,0,0,0
3,7636,1446,0,0,0,0,0
3,7284,1296,0,0,0,0,0
3,6894,1279,0,0,0,0,0
3,6883,1323,0,0,0,0,0
3,6975,1308,0,0,0,0,0
3,7005,1291,0,0,0,0,0
3,6749,1267,0,0,0,0,0
3,6753,1295,0,0,0,0,0
3,6926,1298,0,0,0,0,0
3,7413,1291,0,0,0,0,0
3,9824,1398,0,0,0,0,0
3,7107,1265,0,0,0,0,0
