Pallet: "pallet_uniques", Extrinsic: "create", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
28593,1545,0,0,0,0,0
24754,1435,0,0,0,0,0
36338,1341,0,0,0,0,0
23646,1315,0,0,0,0,0
23533,1330,0,0,0,0,0
23355,1308,0,0,0,0,0
23298,1307,0,0,0,0,0
23032,1345,0,0,0,0,0
22886,1333,0,0,0,0,0
22789,1301,0,0,0,0,0
28630,1417,0,0,0,0,0
22819,1316,0,0,0,0,0
23330,1342,0,0,0,0,0
23220,1340,0,0,0,0,0
23071,1314,0,0,0,0,0
23305,1332,0,0,0,0,0
23085,1346,0,0,0,0,0
23137,1319,0,0,0,0,0
23267,1297,0,0,0,0,0
23160,1337,0,0,0,0,0

Raw Storage Info
========
Storage: Uniques Class (r:1 w:1)
Storage: Uniques ClassAccount (r:0 w:1)

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    23.29
              µs

Reads = 1
Writes = 2

Min Squares Analysis
========
-- Extrinsic Time --

Model:
Time ~=    23.29
              µs

Reads = 1
Writes = 2

Pallet: "pallet_uniques", Extrinsic: "force_create", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
18885,1418,0,0,0,0,0
13800,1235,0,0,0,0,0
13486,1151,0,0,0,0,0
13242,1128,0,0,0,0,0
12803,1140,0,0,0,0,0
13010,1084,0,0,0,0,0
12847,1085,0,0,0,0,0
12777,1114,0,0,0,0,0
12640,1115,0,0,0,0,0
12892,1107,0,0,0,0,0
12641,1075,0,0,0,0,0
12674,1130,0,0,0,0,0
12693,1154,0,0,0,0,0
12876,1152,0,0,0,0,0
12639,1143,0,0,0,0,0
12710,1076,0,0,0,0,0
12709,1086,0,0,0,0,0
12692,1079,0,0,0,0,0
12962,1130,0,0,0,0,0
12587,1144,0,0,0,0,0

Raw Storage Info
========
Storage: Uniques Class (r:1 w:1)
Storage: Uniques ClassAccount (r:0 w:1)

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=     12.8
              µs

Reads = 1
Writes = 2

Min Squares Analysis
========
-- Extrinsic Time --

Model:
Time ~=     12.8
              µs

Reads = 1
Writes = 2

Pallet: "pallet_uniques", Extrinsic: "destroy", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
n,m,a,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
0,1000,1000,1478481,2753,0,0,0,0,0
0,1000,1000,1431490,2670,0,0,0,0,0
0,1000,1000,1427406,2588,0,0,0,0,0
0,1000,1000,1438904,2791,0,0,0,0,0
0,1000,1000,1447376,3140,0,0,0,0,0
0,1000,1000,1422499,3121,0,0,0,0,0
0,1000,1000,1422797,2989,0,0,0,0,0
0,1000,1000,1444556,2726,0,0,0,0,0
0,1000,1000,1426052,3025,0,0,0,0,0
0,1000,1000,1464868,2917,0,0,0,0,0
0,1000,1000,1459979,2796,0,0,0,0,0
0,1000,1000,1437746,6830,0,0,0,0,0
0,1000,1000,1428329,2811,0,0,0,0,0
0,1000,1000,1427233,3095,0,0,0,0,0
0,1000,1000,1435726,2969,0,0,0,0,0
0,1000,1000,1434424,2723,0,0,0,0,0
0,1000,1000,1418354,2541,0,0,0,0,0
0,1000,1000,1424429,2741,0,0,0,0,0
0,1000,1000,1444766,3032,0,0,0,0,0
0,1000,1000,1438036,2555,0,0,0,0,0
20,1000,1000,1593480,2887,0,0,0,0,0
20,1000,1000,1594983,2769,0,0,0,0,0
20,1000,1000,1638026,3178,0,0,0,0,0
20,1000,1000,1587582,2877,0,0,0,0,0
20,1000,1000,1586157,3084,0,0,0,0,0
20,1000,1000,1591193,3386,0,0,0,0,0
20,1000,1000,1584716,2676,0,0,0,0,0
20,1000,1000,1608717,3042,0,0,0,0,0
20,1000,1000,1594355,3157,0,0,0,0,0
20,1000,1000,1592803,2936,0,0,0,0,0
20,1000,1000,1583055,2915,0,0,0,0,0
20,1000,1000,1593702,2879,0,0,0,0,0
20,1000,1000,1576869,2824,0,0,0,0,0
20,1000,1000,1591880,3014,0,0,0,0,0
20,1000,1000,1589063,3036,0,0,0,0,0
20,1000,1000,1589943,2586,0,0,0,0,0
20,1000,1000,1589103,3138,0,0,0,0,0
20,1000,1000,1592620,2812,0,0,0,0,0
20,1000,1000,1603726,3262,0,0,0,0,0
20,1000,1000,1595871,3149,0,0,0,0,0
40,1000,1000,1832775,3151,0,0,0,0,0
40,1000,1000,1748136,2748,0,0,0,0,0
40,1000,1000,1738177,2727,0,0,0,0,0
40,1000,1000,1816985,3027,0,0,0,0,0
40,1000,1000,1762605,2591,0,0,0,0,0
40,1000,1000,1752954,2768,0,0,0,0,0
40,1000,1000,1791257,2986,0,0,0,0,0
40,1000,1000,1752319,3026,0,0,0,0,0
40,1000,1000,1768436,3405,0,0,0,0,0
40,1000,1000,1732188,2929,0,0,0,0,0
40,1000,1000,1753662,3050,0,0,0,0,0
40,1000,1000,1746043,3137,0,0,0,0,0
40,1000,1000,1768212,2792,0,0,0,0,0
40,1000,1000,1793814,3013,0,0,0,0,0
40,1000,1000,1745379,2703,0,0,0,0,0
40,1000,1000,1761484,2870,0,0,0,0,0
40,1000,1000,1756263,2900,0,0,0,0,0
40,1000,1000,1759179,3055,0,0,0,0,0
40,1000,1000,1775495,2908,0,0,0,0,0
40,1000,1000,1749168,2945,0,0,0,0,0
60,1000,1000,1913129,3334,0,0,0,0,0
60,1000,1000,1949526,2773,0,0,0,0,0
60,1000,1000,1899667,2746,0,0,0,0,0
60,1000,1000,1901850,2863,0,0,0,0,0
60,1000,1000,1908730,3279,0,0,0,0,0
60,1000,1000,1898355,3159,0,0,0,0,0
60,1000,1000,1908587,3169,0,0,0,0,0
60,1000,1000,1914725,3182,0,0,0,0,0
60,1000,1000,1945458,3071,0,0,0,0,0
60,1000,1000,1924347,2959,0,0,0,0,0
60,1000,1000,1908791,3135,0,0,0,0,0
60,1000,1000,1923149,3275,0,0,0,0,0
