Pallet: "pallet_utility", Extrinsic: "batch", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
c,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
0,10743,1392,0,0,0,0,0
0,8572,1282,0,0,0,0,0
0,8530,1225,0,0,0,0,0
0,8412,1184,0,0,0,0,0
0,8350,1201,0,0,0,0,0
0,8129,1155,0,0,0,0,0
0,8086,1161,0,0,0,0,0
0,9625,1216,0,0,0,0,0
0,8061,1225,0,0,0,0,0
0,7983,1164,0,0,0,0,0
0,7930,1184,0,0,0,0,0
0,7986,1173,0,0,0,0,0
0,8061,1121,0,0,0,0,0
0,7933,1148,0,0,0,0,0
0,7914,1147,0,0,0,0,0
0,7990,1152,0,0,0,0,0
0,7902,1170,0,0,0,0,0
0,9558,1183,0,0,0,0,0
0,8054,1163,0,0,0,0,0
0,7843,1133,0,0,0,0,0
20,62976,1422,0,0,0,0,0
20,58809,1254,0,0,0,0,0
20,58331,1197,0,0,0,0,0
20,57035,1197,0,0,0,0,0
20,56822,1182,0,0,0,0,0
20,56717,1167,0,0,0,0,0
20,56939,1176,0,0,0,0,0
20,58606,1218,0,0,0,0,0
20,57312,1252,0,0,0,0,0
20,58510,1163,0,0,0,0,0
20,57179,1199,0,0,0,0,0
20,58514,1207,0,0,0,0,0
20,59831,1219,0,0,0,0,0
20,59349,1278,0,0,0,0,0
20,57754,1206,0,0,0,0,0
20,58235,1189,0,0,0,0,0
20,59585,1201,0,0,0,0,0
20,61454,1260,0,0,0,0,0
20,58329,1200,0,0,0,0,0
20,59247,1222,0,0,0,0,0
40,111818,1413,0,0,0,0,0
40,107262,1311,0,0,0,0,0
40,109362,1263,0,0,0,0,0
40,106096,1282,0,0,0,0,0
40,109423,1257,0,0,0,0,0
40,106194,1252,0,0,0,0,0
40,106942,1265,0,0,0,0,0
40,106600,1236,0,0,0,0,0
40,109463,1266,0,0,0,0,0
40,109157,1267,0,0,0,0,0
40,109298,1250,0,0,0,0,0
40,105868,1264,0,0,0,0,0
40,108908,1258,0,0,0,0,0
40,109176,1207,0,0,0,0,0
40,109393,1237,0,0,0,0,0
40,109224,1225,0,0,0,0,0
40,109138,1253,0,0,0,0,0
40,107980,1264,0,0,0,0,0
40,106142,1213,0,0,0,0,0
40,109057,1190,0,0,0,0,0
60,153594,1415,0,0,0,0,0
60,153482,1304,0,0,0,0,0
60,150895,1235,0,0,0,0,0
60,149544,1251,0,0,0,0,0
60,149203,1180,0,0,0,0,0
60,149167,1171,0,0,0,0,0
60,149397,1175,0,0,0,0,0
60,149694,1167,0,0,0,0,0
60,149763,1202,0,0,0,0,0
60,153866,1186,0,0,0,0,0
60,153454,1151,0,0,0,0,0
60,153221,1181,0,0,0,0,0
60,190127,1299,0,0,0,0,0
60,154140,1215,0,0,0,0,0
60,150271,1226,0,0,0,0,0
60,162956,1221,0,0,0,0,0
60,153228,1186,0,0,0,0,0
60,179594,1282,0,0,0,0,0
60,154120,1230,0,0,0,0,0
60,153581,1212,0,0,0,0,0
80,207339,1429,0,0,0,0,0
80,207336,1296,0,0,0,0,0
80,207485,1282,0,0,0,0,0
80,206758,1248,0,0,0,0,0
80,207250,1237,0,0,0,0,0
80,218751,1205,0,0,0,0,0
80,202881,1248,0,0,0,0,0
80,197927,1134,0,0,0,0,0
80,202704,1244,0,0,0,0,0
80,197164,1246,0,0,0,0,0
80,202813,1227,0,0,0,0,0
80,197170,1217,0,0,0,0,0
80,239651,1289,0,0,0,0,0
80,197442,1166,0,0,0,0,0
80,202744,1220,0,0,0,0,0
80,196966,1226,0,0,0,0,0
80,203067,1235,0,0,0,0,0
80,202805,1248,0,0,0,0,0
80,202156,1158,0,0,0,0,0
80,202722,1212,0,0,0,0,0
100,261056,1466,0,0,0,0,0
100,259215,1372,0,0,0,0,0
100,256870,1286,0,0,0,0,0
100,257130,1309,0,0,0,0,0
100,249760,1257,0,0,0,0,0
100,260177,1355,0,0,0,0,0
100,256657,1340,0,0,0,0,0
100,256823,1321,0,0,0,0,0
100,256398,1269,0,0,0,0,0
100,249582,1295,0,0,0,0,0
100,255486,1227,0,0,0,0,0
100,255255,1246,0,0,0,0,0
100,255744,1271,0,0,0,0,0
100,250899,1225,0,0,0,0,0
100,243564,1193,0,0,0,0,0
100,243830,1230,0,0,0,0,0
100,242731,1230,0,0,0,0,0
100,251439,1287,0,0,0,0,0
100,287038,1319,0,0,0,0,0
100,244479,1313,0,0,0,0,0
120,309408,1460,0,0,0,0,0
120,304612,1295,0,0,0,0,0
120,305017,1322,0,0,0,0,0
120,305742,1300,0,0,0,0,0
120,305022,1313,0,0,0,0,0
120,303592,1283,0,0,0,0,0
120,297744,1337,0,0,0,0,0
120,296313,1389,0,0,0,0,0
120,304245,1310,0,0,0,0,0
120,305547,1346,0,0,0,0,0
120,304038,1233,0,0,0,0,0
120,305163,1313,0,0,0,0,0
120,308913,1292,0,0,0,0,0
120,297750,1230,0,0,0,0,0
120,297114,1265,0,0,0,0,0
120,299055,1312,0,0,0,0,0
120,297776,1221,0,0,0,0,0
120,330524,1310,0,0,0,0,0
120,298327,1307,0,0,0,0,0
120,297954,1292,0,0,0,0,0
140,352097,1432,0,0,0,0,0
140,379606,1330,0,0,0,0,0
140,348260,1313,0,0,0,0,0
140,347246,1246,0,0,0,0,0
140,346912,1266,0,0,0,0,0
140,347429,1210,0,0,0,0,0
140,347203,1191,0,0,0,0,0
140,346588,1242,0,0,0,0,0
140,337826,1204,0,0,0,0,0
140,347225,1265,0,0,0,0,0
140,374089,1334,0,0,0,0,0
140,347833,1272,0,0,0,0,0
140,338556,1284,0,0,0,0,0
140,348169,1266,0,0,0,0,0
140,347645,1312,0,0,0,0,0
140,347529,1259,0,0,0,0,0
140,348873,1262,0,0,0,0,0
140,347448,1225,0,0,0,0,0
140,346872,1267,0,0,0,0,0
140,337058,1254,0,0,0,0,0
160,389538,1416,0,0,0,0,0
160,427221,1386,0,0,0,0,0
160,386030,1324,0,0,0,0,0
160,397158,1301,0,0,0,0,0
160,385646,1253,0,0,0,0,0
160,396413,1304,0,0,0,0,0
160,396317,1273,0,0,0,0,0
160,395756,1231,0,0,0,0,0
160,396857,1279,0,0,0,0,0
160,395823,1267,0,0,0,0,0
160,429595,1322,0,0,0,0,0
160,386513,1300,0,0,0,0,0
160,415824,1269,0,0,0,0,0
160,397873,1216,0,0,0,0,0
160,413282,1242,0,0,0,0,0
160,396362,1254,0,0,0,0,0
160,395879,1215,0,0,0,0,0
160,396566,1300,0,0,0,0,0
160,426979,1313,0,0,0,0,0
160,394196,1233,0,0,0,0,0
180,461388,1380,0,0,0,0,0
180,441515,1278,0,0,0,0,0
180,430148,1288,0,0,0,0,0
180,429564,1239,0,0,0,0,0
180,427545,1228,0,0,0,0,0
180,472585,1300,0,0,0,0,0
180,429127,1227,0,0,0,0,0
180,435182,1234,0,0,0,0,0
180,437878,1230,0,0,0,0,0
180,441297,1248,0,0,0,0,0
180,456363,1239,0,0,0,0,0
180,441582,1236,0,0,0,0,0
180,441225,1227,0,0,0,0,0
180,471011,1353,0,0,0,0,0
180,429086,1308,0,0,0,0,0
180,441567,1240,0,0,0,0,0
180,441032,1276,0,0,0,0,0
180,440518,1305,0,0,0,0,0
180,442350,1233,0,0,0,0,0
180,440118,1244,0,0,0,0,0
200,491650,1397,0,0,0,0,0
200,493739,1363,0,0,0,0,0
200,493321,1303,0,0,0,0,0
200,494306,1340,0,0,0,0,0
200,493892,1298,0,0,0,0,0
200,517643,1372,0,0,0,0,0
200,493577,1239,0,0,0,0,0
200,493202,1252,0,0,0,0,0
200,493405,1244,0,0,0,0,0
200,493586,1326,0,0,0,0,0
200,492454,1336,0,0,0,0,0
200,493772,1287,0,0,0,0,0
200,520467,1314,0,0,0,0,0
200,495010,1268,0,0,0,0,0
200,493634,1249,0,0,0,0,0
200,493835,1264,0,0,0,0,0
200,480545,1307,0,0,0,0,0
200,492701,1263,0,0,0,0,0
200,492748,1306,0,0,0,0,0
200,522531,1329,0,0,0,0,0
220,553175,1438,0,0,0,0,0
220,570014,1358,0,0,0,0,0
220,525250,1312,0,0,0,0,0
220,538987,1359,0,0,0,0,0
220,553281,1319,0,0,0,0,0
220,567256,1246,0,0,0,0,0
220,540560,1303,0,0,0,0,0
220,544251,1378,0,0,0,0,0
220,526128,1270,0,0,0,0,0
220,539171,1221,0,0,0,0,0
220,539619,1297,0,0,0,0,0
220,525315,1220,0,0,0,0,0
220,539711,1268,0,0,0,0,0
220,538892,1269,0,0,0,0,0
220,564189,1233,0,0,0,0,0
220,525043,1283,0,0,0,0,0
220,540421,1299,0,0,0,0,0
220,537595,1279,0,0,0,0,0
220,541344,1290,0,0,0,0,0
220,541308,1273,0,0,0,0,0
240,590027,1392,0,0,0,0,0
240,613036,1328,0,0,0,0,0
240,600633,1323,0,0,0,0,0
240,587019,1284,0,0,0,0,0
240,586497,1259,0,0,0,0,0
240,584186,1228,0,0,0,0,0
240,570312,1294,0,0,0,0,0
240,618746,1362,0,0,0,0,0
240,569523,1255,0,0,0,0,0
240,587262,1266,0,0,0,0,0
240,569992,1225,0,0,0,0,0
240,586081,1299,0,0,0,0,0
240,585682,1268,0,0,0,0,0
240,618104,1295,0,0,0,0,0
240,570197,1227,0,0,0,0,0
240,584036,1291,0,0,0,0,0
240,585972,1237,0,0,0,0,0
240,585819,1241,0,0,0,0,0
240,571192,1236,0,0,0,0,0
240,624821,1371,0,0,0,0,0
260,624726,1443,0,0,0,0,0
260,640410,1381,0,0,0,0,0
260,619731,1388,0,0,0,0,0
260,680665,1454,0,0,0,0,0
260,622075,1267,0,0,0,0,0
260,640667,1299,0,0,0,0,0
260,622542,1328,0,0,0,0,0
260,639797,1304,0,0,0,0,0
260,620142,1269,0,0,0,0,0
260,666853,1309,0,0,0,0,0
260,621782,1240,0,0,0,0,0
260,620789,1342,0,0,0,0,0
260,641110,1296,0,0,0,0,0
260,639073,1305,0,0,0,0,0
260,622902,1289,0,0,0,0,0
260,663563,1301,0,0,0,0,0
260,621624,1277,0,0,0,0,0
260,640249,1320,0,0,0,0,0
260,640840,1269,0,0,0,0,0
260,637604,1293,0,0,0,0,0
280,732640,1446,0,0,0,0,0
280,693458,1308,0,0,0,0,0
280,665205,1320,0,0,0,0,0
280,704939,1296,0,0,0,0,0
280,685119,1306,0,0,0,0,0
280,666511,1310,0,0,0,0,0
280,664222,1243,0,0,0,0,0
280,683697,1238,0,0,0,0,0
280,713691,1326,0,0,0,0,0
280,682744,1268,0,0,0,0,0
280,684472,1286,0,0,0,0,0
280,665609,1286,0,0,0,0,0
280,664592,1239,0,0,0,0,0
280,699373,1319,0,0,0,0,0
280,683763,1327,0,0,0,0,0
280,684490,1338,0,0,0,0,0
280,664384,1278,0,0,0,0,0
280,684131,1351,0,0,0,0,0
280,665852,1287,0,0,0,0,0
280,726576,1406,0,0,0,0,0
300,751339,1504,0,0,0,0,0
300,730223,1339,0,0,0,0,0
300,740977,1299,0,0,0,0,0
300,730479,1309,0,0,0,0,0
300,719653,21515,0,0,0,0,0
300,709848,1281,0,0,0,0,0
300,707974,1268,0,0,0,0,0
300,706714,1247,0,0,0,0,0
300,737857,1286,0,0,0,0,0
300,709263,21571,0,0,0,0,0
300,751917,1260,0,0,0,0,0
300,708894,1202,0,0,0,0,0
300,729011,1212,0,0,0,0,0
300,730751,1232,0,0,0,0,0
300,761584,1280,0,0,0,0,0
300,730286,1311,0,0,0,0,0
300,727316,1234,0,0,0,0,0
300,727844,1279,0,0,0,0,0
300,708453,1220,0,0,0,0,0
300,766264,1334,0,0,0,0,0
320,784889,1452,0,0,0,0,0
320,774657,1401,0,0,0,0,0
320,775470,1336,0,0,0,0,0
320,752626,1309,0,0,0,0,0
320,789186,1319,0,0,0,0,0
320,775572,1327,0,0,0,0,0
320,754143,1330,0,0,0,0,0
320,775365,1259,0,0,0,0,0
320,820477,1351,0,0,0,0,0
320,752785,1335,0,0,0,0,0
320,774337,1344,0,0,0,0,0
320,750837,1285,0,0,0,0,0
320,776374,1284,0,0,0,0,0
320,802754,1313,0,0,0,0,0
320,775281,1325,0,0,0,0,0
320,773075,1326,0,0,0,0,0
320,750347,1312,0,0,0,0,0
320,774819,1277,0,0,0,0,0
320,804568,1403,0,0,0,0,0
320,776630,1303,0,0,0,0,0
340,836407,1400,0,0,0,0,0
340,846651,1310,0,0,0,0,0
340,829776,1332,0,0,0,0,0
340,805431,1253,0,0,0,0,0
340,827506,1278,0,0,0,0,0
340,851230,1352,0,0,0,0,0
340,804325,1246,0,0,0,0,0
