Pallet: "pallet_vesting", Extrinsic: "vest_locked", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
l,s,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
0,28,30926,1554,0,0,0,0,0
0,28,29294,1418,0,0,0,0,0
0,28,29399,1404,0,0,0,0,0
0,28,29473,1456,0,0,0,0,0
0,28,28867,1378,0,0,0,0,0
0,28,29250,1499,0,0,0,0,0
0,28,28942,1439,0,0,0,0,0
0,28,29634,1454,0,0,0,0,0
0,28,29274,1394,0,0,0,0,0
0,28,28845,1439,0,0,0,0,0
0,28,29564,1459,0,0,0,0,0
0,28,28945,1386,0,0,0,0,0
0,28,29181,1369,0,0,0,0,0
0,28,29137,1410,0,0,0,0,0
0,28,28953,1381,0,0,0,0,0
0,28,29179,1390,0,0,0,0,0
0,28,29804,1443,0,0,0,0,0
0,28,32894,1435,0,0,0,0,0
0,28,29161,1429,0,0,0,0,0
0,28,29670,1416,0,0,0,0,0
1,28,31247,1613,0,0,0,0,0
1,28,29508,1430,0,0,0,0,0
1,28,29453,1460,0,0,0,0,0
1,28,29210,1438,0,0,0,0,0
1,28,29612,1362,0,0,0,0,0
1,28,29255,1429,0,0,0,0,0
1,28,29323,1454,0,0,0,0,0
1,28,29547,1433,0,0,0,0,0
1,28,29371,1451,0,0,0,0,0
1,28,29700,1396,0,0,0,0,0
1,28,29535,1388,0,0,0,0,0
1,28,29402,1453,0,0,0,0,0
1,28,29434,1462,0,0,0,0,0
1,28,29589,1427,0,0,0,0,0
1,28,29649,1437,0,0,0,0,0
1,28,29162,1422,0,0,0,0,0
1,28,29291,1406,0,0,0,0,0
1,28,31877,1411,0,0,0,0,0
1,28,29068,1453,0,0,0,0,0
1,28,29148,1460,0,0,0,0,0
2,28,30861,1493,0,0,0,0,0
2,28,29868,1393,0,0,0,0,0
2,28,29170,1432,0,0,0,0,0
2,28,28927,1448,0,0,0,0,0
2,28,29115,1366,0,0,0,0,0
2,28,29379,1383,0,0,0,0,0
2,28,28799,1392,0,0,0,0,0
2,28,29652,1386,0,0,0,0,0
2,28,29501,1411,0,0,0,0,0
2,28,29665,1449,0,0,0,0,0
2,28,29142,1471,0,0,0,0,0
2,28,29113,1406,0,0,0,0,0
2,28,30401,1410,0,0,0,0,0
2,28,29151,1402,0,0,0,0,0
2,28,29462,1383,0,0,0,0,0
2,28,28874,1422,0,0,0,0,0
