Pallet: "pallet_balances", Extrinsic: "transfer", Lowest values: [], Highest values: [], Steps: 50, Repeat: 200
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
69629,2150,0,0,0,0,0
64609,1940,0,0,0,0,0
64449,1970,0,0,0,0,0
64420,1880,0,0,0,0,0
64319,1920,0,0,0,0,0
63999,1910,0,0,0,0,0
64010,1850,0,0,0,0,0
64100,1890,0,0,0,0,0
64269,1810,0,0,0,0,0
64069,1810,0,0,0,0,0
64230,1950,0,0,0,0,0
64309,1920,0,0,0,0,0
64569,1870,0,0,0,0,0
64300,1890,0,0,0,0,0
64450,1880,0,0,0,0,0
64369,1940,0,0,0,0,0
64509,1990,0,0,0,0,0
63920,1980,0,0,0,0,0
64209,1860,0,0,0,0,0
64309,1930,0,0,0,0,0
63790,1900,0,0,0,0,0
68820,2010,0,0,0,0,0
64209,1870,0,0,0,0,0
64329,1920,0,0,0,0,0
63900,1900,0,0,0,0,0
64649,1889,0,0,0,0,0
64439,1870,0,0,0,0,0
64390,1910,0,0,0,0,0
64090,1920,0,0,0,0,0
64179,1920,0,0,0,0,0
64049,1900,0,0,0,0,0
64030,1950,0,0,0,0,0
64110,1920,0,0,0,0,0
64509,1940,0,0,0,0,0
64179,1910,0,0,0,0,0
63870,1920,0,0,0,0,0
64699,1950,0,0,0,0,0
64549,1980,0,0,0,0,0
64570,1870,0,0,0,0,0
63890,1890,0,0,0,0,0
64769,1910,0,0,0,0,0
65629,2030,0,0,0,0,0
64440,1890,0,0,0,0,0
64160,1880,0,0,0,0,0
64299,1910,0,0,0,0,0
64589,1940,0,0,0,0,0
64560,1950,0,0,0,0,0
64779,1950,0,0,0,0,0
64359,1940,0,0,0,0,0
64260,1940,0,0,0,0,0
64020,1890,0,0,0,0,0
64099,1920,0,0,0,0,0
64419,2020,0,0,0,0,0
64170,1890,0,0,0,0,0
63969,1980,0,0,0,0,0
64339,1890,0,0,0,0,0
65070,1820,0,0,0,0,0
64190,1890,0,0,0,0,0
64519,1890,0,0,0,0,0
64349,1850,0,0,0,0,0
64250,1880,0,0,0,0,0
64619,1960,0,0,0,0,0
64159,1940,0,0,0,0,0
64210,1970,0,0,0,0,0
64790,1889,0,0,0,0,0
64499,1920,0,0,0,0,0
64230,1910,0,0,0,0,0
64360,1880,0,0,0,0,0
64399,1920,0,0,0,0,0
64280,1840,0,0,0,0,0
64820,1900,0,0,0,0,0
63989,1820,0,0,0,0,0
64379,1930,0,0,0,0,0
64380,1850,0,0,0,0,0
64119,1900,0,0,0,0,0
64529,1950,0,0,0,0,0
64270,1890,0,0,0,0,0
64399,1900,0,0,0,0,0
64499,1890,0,0,0,0,0
63900,1890,0,0,0,0,0
65479,1970,0,0,0,0,0
64339,1900,0,0,0,0,0
64430,1900,0,0,0,0,0
64710,1850,0,0,0,0,0
