Pallet: "pallet_balances", Extrinsic: "transfer", Lowest values: [], Highest values: [], Steps: 50, Repeat: 200
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
85280,1920,0,0,0,0,0
51610,1940,0,0,0,0,0
46989,1510,0,0,0,0,0
45620,1520,0,0,0,0,0
45359,1520,0,0,0,0,0
46210,1470,0,0,0,0,0
46410,1520,0,0,0,0,0
46199,1520,0,0,0,0,0
46150,1480,0,0,0,0,0
45659,1460,0,0,0,0,0
46290,1820,0,0,0,0,0
46419,1490,0,0,0,0,0
45690,1569,0,0,0,0,0
46110,1510,0,0,0,0,0
45510,1510,0,0,0,0,0
45510,1510,0,0,0,0,0
45429,1530,0,0,0,0,0
45830,1470,0,0,0,0,0
45939,1810,0,0,0,0,0
56730,1480,0,0,0,0,0
45829,1520,0,0,0,0,0
45590,1550,0,0,0,0,0
45999,1500,0,0,0,0,0
45920,1470,0,0,0,0,0
45920,1530,0,0,0,0,0
45729,1450,0,0,0,0,0
46140,1580,0,0,0,0,0
46039,1520,0,0,0,0,0
45950,1490,0,0,0,0,0
45949,1470,0,0,0,0,0
45630,1520,0,0,0,0,0
45760,1480,0,0,0,0,0
45099,1520,0,0,0,0,0
45590,1560,0,0,0,0,0
46449,1490,0,0,0,0,0
45040,1480,0,0,0,0,0
45769,1490,0,0,0,0,0
45920,1490,0,0,0,0,0
45750,1470,0,0,0,0,0
45689,1490,0,0,0,0,0
45740,1480,0,0,0,0,0
45539,1500,0,0,0,0,0
56000,1890,0,0,0,0,0
46129,1500,0,0,0,0,0
45670,1510,0,0,0,0,0
45629,1470,0,0,0,0,0
45820,1450,0,0,0,0,0
46080,1450,0,0,0,0,0
56759,1809,0,0,0,0,0
45880,1460,0,0,0,0,0
45910,1470,0,0,0,0,0
45850,1480,0,0,0,0,0
45959,1450,0,0,0,0,0
46200,1500,0,0,0,0,0
45869,1450,0,0,0,0,0
46350,1500,0,0,0,0,0
46250,1540,0,0,0,0,0
46480,1590,0,0,0,0,0
45940,1480,0,0,0,0,0
45979,1460,0,0,0,0,0
46150,1510,0,0,0,0,0
45599,1460,0,0,0,0,0
45760,1480,0,0,0,0,0
45400,1440,0,0,0,0,0
45679,1540,0,0,0,0,0
45900,1480,0,0,0,0,0
45709,1520,0,0,0,0,0
45810,1540,0,0,0,0,0
45229,1520,0,0,0,0,0
45620,1560,0,0,0,0,0
45560,1480,0,0,0,0,0
45599,1420,0,0,0,0,0
45250,1520,0,0,0,0,0
45559,1430,0,0,0,0,0
45930,1470,0,0,0,0,0
45950,1410,0,0,0,0,0
46229,1460,0,0,0,0,0
46560,1450,0,0,0,0,0
45769,1530,0,0,0,0,0
46140,1490,0,0,0,0,0
46409,1550,0,0,0,0,0
46080,1520,0,0,0,0,0
45630,1510,0,0,0,0,0
45789,1900,0,0,0,0,0
57219,1490,0,0,0,0,0
