Pallet: "pallet_balances", Extrinsic: "transfer", Lowest values: [], Highest values: [], Steps: 50, Repeat: 200
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
53590,1930,0,0,0,0,0
46500,1580,0,0,0,0,0
46800,1640,0,0,0,0,0
46390,1530,0,0,0,0,0
46370,1590,0,0,0,0,0
46939,1590,0,0,0,0,0
46070,1630,0,0,0,0,0
45899,1530,0,0,0,0,0
45700,1550,0,0,0,0,0
45579,1530,0,0,0,0,0
46680,1530,0,0,0,0,0
46459,1500,0,0,0,0,0
46220,1550,0,0,0,0,0
45819,1520,0,0,0,0,0
46250,1670,0,0,0,0,0
45850,1550,0,0,0,0,0
45580,1530,0,0,0,0,0
49680,1510,0,0,0,0,0
46360,1520,0,0,0,0,0
45680,1530,0,0,0,0,0
47760,1610,0,0,0,0,0
45990,1540,0,0,0,0,0
45980,1510,0,0,0,0,0
45580,1530,0,0,0,0,0
45269,1530,0,0,0,0,0
45750,1520,0,0,0,0,0
46239,1550,0,0,0,0,0
46360,1540,0,0,0,0,0
45699,1550,0,0,0,0,0
45000,1590,0,0,0,0,0
46009,1450,0,0,0,0,0
45840,1530,0,0,0,0,0
46320,1560,0,0,0,0,0
46220,1580,0,0,0,0,0
45330,1550,0,0,0,0,0
45679,1550,0,0,0,0,0
45680,1580,0,0,0,0,0
45859,1520,0,0,0,0,0
46030,1590,0,0,0,0,0
45919,1540,0,0,0,0,0
46310,1550,0,0,0,0,0
45429,1600,0,0,0,0,0
45270,1620,0,0,0,0,0
54619,1620,0,0,0,0,0
46200,1580,0,0,0,0,0
46250,1520,0,0,0,0,0
45900,1570,0,0,0,0,0
46200,1520,0,0,0,0,0
45899,1580,0,0,0,0,0
45600,1530,0,0,0,0,0
46239,1540,0,0,0,0,0
45670,1510,0,0,0,0,0
45809,1540,0,0,0,0,0
46250,1530,0,0,0,0,0
45819,1600,0,0,0,0,0
45910,1520,0,0,0,0,0
45800,1610,0,0,0,0,0
45849,1600,0,0,0,0,0
45750,1550,0,0,0,0,0
45999,1540,0,0,0,0,0
45720,1610,0,0,0,0,0
45849,1550,0,0,0,0,0
45440,1580,0,0,0,0,0
45899,1580,0,0,0,0,0
45490,1580,0,0,0,0,0
46439,1540,0,0,0,0,0
46590,1689,0,0,0,0,0
45909,1700,0,0,0,0,0
46350,1650,0,0,0,0,0
46350,1700,0,0,0,0,0
46380,1670,0,0,0,0,0
45850,1520,0,0,0,0,0
46139,1560,0,0,0,0,0
46510,1490,0,0,0,0,0
45659,1700,0,0,0,0,0
46270,1580,0,0,0,0,0
45709,1530,0,0,0,0,0
46270,1550,0,0,0,0,0
45919,1740,0,0,0,0,0
46900,1729,0,0,0,0,0
46199,1550,0,0,0,0,0
46320,1680,0,0,0,0,0
46750,1660,0,0,0,0,0
46059,1520,0,0,0,0,0
45530,1530,0,0,0,0,0
46319,1510,0,0,0,0,0
46850,1670,0,0,0,0,0
45869,1500,0,0,0,0,0
