Pallet: "pallet_balances", Extrinsic: "transfer", Lowest values: [], Highest values: [], Steps: 50, Repeat: 200
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
70170,2340,0,0,0,0,0
64549,1870,0,0,0,0,0
63909,1940,0,0,0,0,0
64190,1900,0,0,0,0,0
64700,1970,0,0,0,0,0
63959,1920,0,0,0,0,0
66239,1990,0,0,0,0,0
63950,1860,0,0,0,0,0
64970,1900,0,0,0,0,0
64219,1900,0,0,0,0,0
63709,1890,0,0,0,0,0
63540,1920,0,0,0,0,0
63819,1920,0,0,0,0,0
63779,1940,0,0,0,0,0
64480,1920,0,0,0,0,0
63830,1920,0,0,0,0,0
64459,1910,0,0,0,0,0
64249,1970,0,0,0,0,0
64500,1870,0,0,0,0,0
64020,1940,0,0,0,0,0
63979,1910,0,0,0,0,0
64020,1890,0,0,0,0,0
63860,1920,0,0,0,0,0
64009,1960,0,0,0,0,0
64409,1960,0,0,0,0,0
63760,2120,0,0,0,0,0
63760,1960,0,0,0,0,0
63989,1920,0,0,0,0,0
64489,1940,0,0,0,0,0
64410,1960,0,0,0,0,0
63559,1970,0,0,0,0,0
63469,1880,0,0,0,0,0
63890,1880,0,0,0,0,0
64400,1910,0,0,0,0,0
63809,2030,0,0,0,0,0
64079,1930,0,0,0,0,0
63620,1920,0,0,0,0,0
64669,2000,0,0,0,0,0
63949,1950,0,0,0,0,0
63770,1980,0,0,0,0,0
64040,1970,0,0,0,0,0
64469,1970,0,0,0,0,0
63709,1930,0,0,0,0,0
63780,1990,0,0,0,0,0
64619,1970,0,0,0,0,0
70089,2770,0,0,0,0,0
64310,1940,0,0,0,0,0
64160,1950,0,0,0,0,0
64019,1950,0,0,0,0,0
64099,1920,0,0,0,0,0
64450,1950,0,0,0,0,0
63890,1900,0,0,0,0,0
64499,1910,0,0,0,0,0
64350,1930,0,0,0,0,0
64220,1940,0,0,0,0,0
64209,1960,0,0,0,0,0
64289,1960,0,0,0,0,0
63690,1920,0,0,0,0,0
63979,1960,0,0,0,0,0
64409,1950,0,0,0,0,0
63860,1970,0,0,0,0,0
63980,1940,0,0,0,0,0
69019,1880,0,0,0,0,0
64169,1920,0,0,0,0,0
63920,1950,0,0,0,0,0
65480,1930,0,0,0,0,0
64079,1930,0,0,0,0,0
63740,1930,0,0,0,0,0
63660,1930,0,0,0,0,0
63699,1930,0,0,0,0,0
64180,1920,0,0,0,0,0
64390,1910,0,0,0,0,0
63949,1930,0,0,0,0,0
63820,1960,0,0,0,0,0
64080,1880,0,0,0,0,0
64179,1980,0,0,0,0,0
63809,1940,0,0,0,0,0
63850,1930,0,0,0,0,0
65179,1950,0,0,0,0,0
64279,1850,0,0,0,0,0
63720,1930,0,0,0,0,0
63439,1930,0,0,0,0,0
63779,1960,0,0,0,0,0
63540,1910,0,0,0,0,0
63479,2030,0,0,0,0,0
64259,1890,0,0,0,0,0
64210,1950,0,0,0,0,0
64220,1950,0,0,0,0,0
64129,1900,0,0,0,0,0
64439,1940,0,0,0,0,0
64450,1880,0,0,0,0,0
64019,1970,0,0,0,0,0
64619,1910,0,0,0,0,0
64140,1980,0,0,0,0,0
64010,1940,0,0,0,0,0
64049,1890,0,0,0,0,0
63679,1950,0,0,0,0,0
63440,1950,0,0,0,0,0
63979,1910,0,0,0,0,0
64119,1970,0,0,0,0,0
64510,1890,0,0,0,0,0
63730,1900,0,0,0,0,0
63749,1930,0,0,0,0,0
64540,1930,0,0,0,0,0
63860,1940,0,0,0,0,0
63899,1950,0,0,0,0,0
63649,1900,0,0,0,0,0
63770,1920,0,0,0,0,0
63459,1900,0,0,0,0,0
63689,1920,0,0,0,0,0
63920,1940,0,0,0,0,0
63790,1850,0,0,0,0,0
63169,1840,0,0,0,0,0
63809,1910,0,0,0,0,0
63910,1920,0,0,0,0,0
63799,1910,0,0,0,0,0
64169,1800,0,0,0,0,0
63740,1940,0,0,0,0,0
63379,1920,0,0,0,0,0
64249,1940,0,0,0,0,0
64130,1890,0,0,0,0,0
64310,1890,0,0,0,0,0
64139,1860,0,0,0,0,0
64310,1860,0,0,0,0,0
76030,1950,0,0,0,0,0
64249,1980,0,0,0,0,0
64319,1820,0,0,0,0,0
63860,1850,0,0,0,0,0
63760,1960,0,0,0,0,0
64479,1940,0,0,0,0,0
63859,2020,0,0,0,0,0
63520,1900,0,0,0,0,0
63849,1850,0,0,0,0,0
64119,1910,0,0,0,0,0
63520,1900,0,0,0,0,0
63850,1920,0,0,0,0,0
63869,1900,0,0,0,0,0
63980,1920,0,0,0,0,0
63360,1930,0,0,0,0,0
63109,1880,0,0,0,0,0
64169,1940,0,0,0,0,0
64040,1930,0,0,0,0,0
63709,1930,0,0,0,0,0
63439,1960,0,0,0,0,0
69460,1960,0,0,0,0,0
64300,1910,0,0,0,0,0
63359,1880,0,0,0,0,0
63599,1840,0,0,0,0,0
63330,1860,0,0,0,0,0
63819,1900,0,0,0,0,0
63659,1900,0,0,0,0,0
63400,1930,0,0,0,0,0
63809,1840,0,0,0,0,0
63709,1920,0,0,0,0,0
64180,1920,0,0,0,0,0
63550,1960,0,0,0,0,0
