Pallet: "pallet_balances", Extrinsic: "transfer", Lowest values: [], Highest values: [], Steps: 100, Repeat: 200
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
69850,2230,0,0,0,0,0
65200,1900,0,0,0,0,0
64419,1910,0,0,0,0,0
64469,1840,0,0,0,0,0
64600,1870,0,0,0,0,0
64959,1840,0,0,0,0,0
86339,1960,0,0,0,0,0
65639,2540,0,0,0,0,0
64710,2650,0,0,0,0,0
64670,1839,0,0,0,0,0
64799,1910,0,0,0,0,0
64910,1840,0,0,0,0,0
64950,1860,0,0,0,0,0
64509,1850,0,0,0,0,0
65179,1880,0,0,0,0,0
65450,1860,0,0,0,0,0
65089,1900,0,0,0,0,0
63929,1900,0,0,0,0,0
65420,1850,0,0,0,0,0
64240,1930,0,0,0,0,0
64259,1890,0,0,0,0,0
64699,1930,0,0,0,0,0
64280,1880,0,0,0,0,0
64479,1840,0,0,0,0,0
64349,1860,0,0,0,0,0
64980,1960,0,0,0,0,0
64650,1850,0,0,0,0,0
64939,2290,0,0,0,0,0
65249,1830,0,0,0,0,0
65290,1820,0,0,0,0,0
64429,1820,0,0,0,0,0
64569,1900,0,0,0,0,0
64140,1880,0,0,0,0,0
64520,1870,0,0,0,0,0
64739,1890,0,0,0,0,0
65299,1900,0,0,0,0,0
64680,1830,0,0,0,0,0
64709,1810,0,0,0,0,0
64499,1880,0,0,0,0,0
64470,1900,0,0,0,0,0
64890,1860,0,0,0,0,0
64659,1820,0,0,0,0,0
64400,1860,0,0,0,0,0
65120,1990,0,0,0,0,0
64609,1970,0,0,0,0,0
65889,2450,0,0,0,0,0
65430,1840,0,0,0,0,0
65320,1840,0,0,0,0,0
64599,1900,0,0,0,0,0
64170,1890,0,0,0,0,0
65680,1830,0,0,0,0,0
65329,1860,0,0,0,0,0
65089,1840,0,0,0,0,0
65410,1910,0,0,0,0,0
64839,1830,0,0,0,0,0
64719,1940,0,0,0,0,0
65510,1840,0,0,0,0,0
64660,1830,0,0,0,0,0
64709,1900,0,0,0,0,0
65409,1870,0,0,0,0,0
64880,1890,0,0,0,0,0
65199,1950,0,0,0,0,0
64579,1940,0,0,0,0,0
65300,1840,0,0,0,0,0
79220,2070,0,0,0,0,0
64879,1880,0,0,0,0,0
64439,1840,0,0,0,0,0
65240,1890,0,0,0,0,0
64099,1780,0,0,0,0,0
64449,1880,0,0,0,0,0
64010,1830,0,0,0,0,0
64040,1879,0,0,0,0,0
63659,1860,0,0,0,0,0
63820,1790,0,0,0,0,0
64700,1830,0,0,0,0,0
64429,1840,0,0,0,0,0
64430,1830,0,0,0,0,0
64520,1870,0,0,0,0,0
64309,1850,0,0,0,0,0
64260,1830,0,0,0,0,0
64410,1820,0,0,0,0,0
64339,1820,0,0,0,0,0
63859,1840,0,0,0,0,0
64360,1840,0,0,0,0,0
64299,1830,0,0,0,0,0
64359,1910,0,0,0,0,0
64370,1870,0,0,0,0,0
64049,1820,0,0,0,0,0
64339,1860,0,0,0,0,0
64360,1830,0,0,0,0,0
64150,1879,0,0,0,0,0
64339,1890,0,0,0,0,0
64250,1830,0,0,0,0,0
64820,1860,0,0,0,0,0
64309,1840,0,0,0,0,0
64310,1860,0,0,0,0,0
64840,1850,0,0,0,0,0
64619,1830,0,0,0,0,0
64769,1860,0,0,0,0,0
64270,1860,0,0,0,0,0
64329,1850,0,0,0,0,0
64269,1830,0,0,0,0,0
64290,1810,0,0,0,0,0
64669,1860,0,0,0,0,0
64599,1880,0,0,0,0,0
64190,1840,0,0,0,0,0
64320,1840,0,0,0,0,0
63929,1870,0,0,0,0,0
64060,1810,0,0,0,0,0
64190,1830,0,0,0,0,0
64809,1810,0,0,0,0,0
64110,1860,0,0,0,0,0
64140,1870,0,0,0,0,0
63819,1830,0,0,0,0,0
64229,1830,0,0,0,0,0
64330,1880,0,0,0,0,0
64119,1910,0,0,0,0,0
64709,1870,0,0,0,0,0
64520,1930,0,0,0,0,0
64139,1880,0,0,0,0,0
63899,1830,0,0,0,0,0
63880,1880,0,0,0,0,0
63879,1830,0,0,0,0,0
65579,1860,0,0,0,0,0
64160,1880,0,0,0,0,0
63690,1830,0,0,0,0,0
63379,1830,0,0,0,0,0
64339,1880,0,0,0,0,0
64100,1850,0,0,0,0,0
64409,1810,0,0,0,0,0
64289,1850,0,0,0,0,0
64230,1830,0,0,0,0,0
63929,1840,0,0,0,0,0
64319,1830,0,0,0,0,0
64250,1800,0,0,0,0,0
63949,1800,0,0,0,0,0
64809,1820,0,0,0,0,0
64180,1810,0,0,0,0,0
64230,1840,0,0,0,0,0
64609,1860,0,0,0,0,0
63960,1870,0,0,0,0,0
64520,1790,0,0,0,0,0
63949,1820,0,0,0,0,0
64639,1910,0,0,0,0,0
63390,1870,0,0,0,0,0
