Pallet: "pallet_balances", Extrinsic: "transfer", Lowest values: [], Highest values: [], Steps: 100, Repeat: 200
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
106000,2320,0,0,0,0,0
65620,1890,0,0,0,0,0
65570,1810,0,0,0,0,0
65669,1860,0,0,0,0,0
66469,1850,0,0,0,0,0
64930,1870,0,0,0,0,0
66900,1960,0,0,0,0,0
64929,1940,0,0,0,0,0
65039,1900,0,0,0,0,0
64610,1840,0,0,0,0,0
64739,1900,0,0,0,0,0
65619,1870,0,0,0,0,0
64880,2270,0,0,0,0,0
65290,1930,0,0,0,0,0
64469,1830,0,0,0,0,0
65119,1820,0,0,0,0,0
64190,1850,0,0,0,0,0
64760,1880,0,0,0,0,0
64639,1830,0,0,0,0,0
65020,1900,0,0,0,0,0
64460,1900,0,0,0,0,0
64479,1920,0,0,0,0,0
65149,1870,0,0,0,0,0
64850,1890,0,0,0,0,0
64480,1900,0,0,0,0,0
75519,2080,0,0,0,0,0
65269,1890,0,0,0,0,0
65140,2170,0,0,0,0,0
65400,1920,0,0,0,0,0
64779,2090,0,0,0,0,0
64209,2190,0,0,0,0,0
64490,1910,0,0,0,0,0
65059,1860,0,0,0,0,0
64359,1920,0,0,0,0,0
65470,1920,0,0,0,0,0
64190,1800,0,0,0,0,0
64549,1850,0,0,0,0,0
65129,1840,0,0,0,0,0
64810,1850,0,0,0,0,0
64770,1880,0,0,0,0,0
64999,1800,0,0,0,0,0
65869,1830,0,0,0,0,0
65220,1890,0,0,0,0,0
64739,1890,0,0,0,0,0
71639,1940,0,0,0,0,0
65270,1940,0,0,0,0,0
64730,2290,0,0,0,0,0
64529,2090,0,0,0,0,0
65319,1880,0,0,0,0,0
64680,2220,0,0,0,0,0
65450,1920,0,0,0,0,0
64669,1930,0,0,0,0,0
65199,1920,0,0,0,0,0
64890,2620,0,0,0,0,0
65719,1820,0,0,0,0,0
64559,1870,0,0,0,0,0
65160,1790,0,0,0,0,0
64400,1820,0,0,0,0,0
64639,1870,0,0,0,0,0
64869,1870,0,0,0,0,0
65220,1890,0,0,0,0,0
65129,2200,0,0,0,0,0
64489,1950,0,0,0,0,0
64570,2110,0,0,0,0,0
64720,1870,0,0,0,0,0
64479,1780,0,0,0,0,0
64159,1800,0,0,0,0,0
64010,1850,0,0,0,0,0
64230,1860,0,0,0,0,0
64239,1740,0,0,0,0,0
64200,1860,0,0,0,0,0
64600,1860,0,0,0,0,0
63689,1800,0,0,0,0,0
63820,1780,0,0,0,0,0
64350,1890,0,0,0,0,0
64579,1790,0,0,0,0,0
64189,1850,0,0,0,0,0
64140,1820,0,0,0,0,0
63539,1870,0,0,0,0,0
64299,1870,0,0,0,0,0
64200,1830,0,0,0,0,0
64439,1810,0,0,0,0,0
64509,1830,0,0,0,0,0
74860,1960,0,0,0,0,0
64040,1830,0,0,0,0,0
64439,1800,0,0,0,0,0
64119,1810,0,0,0,0,0
64400,1790,0,0,0,0,0
65039,1800,0,0,0,0,0
64419,1920,0,0,0,0,0
63990,1860,0,0,0,0,0
64879,1870,0,0,0,0,0
64589,1810,0,0,0,0,0
64830,1890,0,0,0,0,0
64470,1900,0,0,0,0,0
64599,1910,0,0,0,0,0
64280,1850,0,0,0,0,0
64120,1880,0,0,0,0,0
64109,1780,0,0,0,0,0
64899,1850,0,0,0,0,0
65240,1850,0,0,0,0,0
64839,1880,0,0,0,0,0
64549,1920,0,0,0,0,0
64630,1880,0,0,0,0,0
64359,1870,0,0,0,0,0
64599,1860,0,0,0,0,0
64150,1810,0,0,0,0,0
63720,1890,0,0,0,0,0
64139,1870,0,0,0,0,0
63610,1860,0,0,0,0,0
64000,1880,0,0,0,0,0
64459,1770,0,0,0,0,0
65019,1850,0,0,0,0,0
64570,1830,0,0,0,0,0
64519,1900,0,0,0,0,0
64669,1850,0,0,0,0,0
65120,1880,0,0,0,0,0
64830,1819,0,0,0,0,0
64559,1800,0,0,0,0,0
65160,1830,0,0,0,0,0
64600,1820,0,0,0,0,0
64599,1810,0,0,0,0,0
75369,1910,0,0,0,0,0
64380,1810,0,0,0,0,0
64189,1890,0,0,0,0,0
64339,1840,0,0,0,0,0
64570,1830,0,0,0,0,0
63829,1850,0,0,0,0,0
64079,1840,0,0,0,0,0
64520,1740,0,0,0,0,0
63900,1850,0,0,0,0,0
64089,1810,0,0,0,0,0
64349,1850,0,0,0,0,0
64580,1820,0,0,0,0,0
64319,1850,0,0,0,0,0
63969,1840,0,0,0,0,0
64260,1860,0,0,0,0,0
64599,1830,0,0,0,0,0
64209,1880,0,0,0,0,0
64730,1810,0,0,0,0,0
64759,1890,0,0,0,0,0
64689,1800,0,0,0,0,0
64750,1960,0,0,0,0,0
64480,1880,0,0,0,0,0
64399,1870,0,0,0,0,0
64629,1860,0,0,0,0,0
64410,1850,0,0,0,0,0
64009,1910,0,0,0,0,0
64189,1770,0,0,0,0,0
64180,1870,0,0,0,0,0
64459,1850,0,0,0,0,0
64369,1830,0,0,0,0,0
64310,1850,0,0,0,0,0
64369,1820,0,0,0,0,0
